Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2141,0.2282,0.2408,0.07845,0.03994,0.06466,0.02874,0.02040,0.02414,0.02874,0.02213,0.03075,0.06695,0.1172,0.08592,0.03391,0.05948,0.05460
0.2141, 1.000,0.06322,0.07730,0.1014,0.1253,0.2397,0.02414,0.02529,0.01839,0.02385,0.02701,0.04023,0.09397,0.1178,0.06580,0.03448,0.06552,0.06006
0.2282,0.06322, 1.000,0.09828,0.03103,0.02299,0.03994,0.07845,0.02213,0.02672,0.03822,0.02155,0.02299,0.04224,0.09655,0.1040,0.03046,0.03477,0.03851
0.2408,0.07730,0.09828, 1.000,0.09655,0.03592,0.03046,0.02500,0.02931,0.02615,0.02644,0.02098,0.04339,0.03649,0.05230,0.06178,0.05057,0.06207,0.07500
0.07845,0.1014,0.03103,0.09655, 1.000,0.1925,0.04828,0.03132,0.02385,0.03937,0.02931,0.02557,0.09684,0.04483,0.03563,0.03420,0.05172,0.09799,0.08276
0.03994,0.1253,0.02299,0.03592,0.1925, 1.000,0.1805,0.03448,0.02385,0.02529,0.03966,0.03362,0.08477,0.06724,0.03822,0.03506,0.03046,0.08017,0.05833
0.06466,0.2397,0.03994,0.03046,0.04828,0.1805, 1.000,0.02184,0.02787,0.02586,0.01868,0.03793,0.03966,0.09339,0.09109,0.04282,0.02816,0.05862,0.04569
0.02874,0.02414,0.07845,0.02500,0.03132,0.03448,0.02184, 1.000,0.02615,0.04052,0.04511,0.02299,0.04828,0.02586,0.03305,0.05460,0.02586,0.01897,0.02270
0.02040,0.02529,0.02213,0.02931,0.02385,0.02385,0.02787,0.02615, 1.000,0.03736,0.02845,0.04483,0.02155,0.04971,0.02586,0.02270,0.04885,0.02960,0.03305
0.02414,0.01839,0.02672,0.02615,0.03937,0.02529,0.02586,0.04052,0.03736, 1.000,0.04626,0.02615,0.03305,0.02615,0.03707,0.01695,0.02557,0.03822,0.03391
0.02874,0.02385,0.03822,0.02644,0.02931,0.03966,0.01868,0.04511,0.02845,0.04626, 1.000,0.05747,0.05057,0.02960,0.02644,0.03276,0.02098,0.04339,0.01954
0.02213,0.02701,0.02155,0.02098,0.02557,0.03362,0.03793,0.02299,0.04483,0.02615,0.05747, 1.000,0.04080,0.1101,0.04511,0.02471,0.03793,0.05201,0.02902
0.03075,0.04023,0.02299,0.04339,0.09684,0.08477,0.03966,0.04828,0.02155,0.03305,0.05057,0.04080, 1.000,0.08362,0.02328,0.02241,0.02845,0.1526,0.03362
0.06695,0.09397,0.04224,0.03649,0.04483,0.06724,0.09339,0.02586,0.04971,0.02615,0.02960,0.1101,0.08362, 1.000,0.07500,0.02155,0.02730,0.09080,0.03017
0.1172,0.1178,0.09655,0.05230,0.03563,0.03822,0.09109,0.03305,0.02586,0.03707,0.02644,0.04511,0.02328,0.07500, 1.000,0.08592,0.02845,0.03477,0.03362
0.08592,0.06580,0.1040,0.06178,0.03420,0.03506,0.04282,0.05460,0.02270,0.01695,0.03276,0.02471,0.02241,0.02155,0.08592, 1.000,0.06954,0.02701,0.06351
0.03391,0.03448,0.03046,0.05057,0.05172,0.03046,0.02816,0.02586,0.04885,0.02557,0.02098,0.03793,0.02845,0.02730,0.02845,0.06954, 1.000,0.03477,0.1106
0.05948,0.06552,0.03477,0.06207,0.09799,0.08017,0.05862,0.01897,0.02960,0.03822,0.04339,0.05201,0.1526,0.09080,0.03477,0.02701,0.03477, 1.000,0.06782
0.05460,0.06006,0.03851,0.07500,0.08276,0.05833,0.04569,0.02270,0.03305,0.03391,0.01954,0.02902,0.03362,0.03017,0.03362,0.06351,0.1106,0.06782, 1.000
