Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07267,0.05326,0.2188,0.1375,0.05285,0.05326,0.01899,0.02477,0.02849,0.02890,0.02684,0.03799,0.07308,0.03220,0.08588,0.03262,0.08464,0.08629
0.07267, 1.000,0.05450,0.06441,0.06193,0.2556,0.06771,0.02106,0.02890,0.06441,0.02890,0.02601,0.04211,0.07308,0.06276,0.04542,0.07680,0.1061,0.06276
0.05326,0.05450, 1.000,0.04583,0.01899,0.03840,0.05409,0.09744,0.02271,0.02890,0.02849,0.02684,0.03138,0.04459,0.1164,0.04666,0.03138,0.04088,0.02890
0.2188,0.06441,0.04583, 1.000,0.1255,0.05615,0.03675,0.01734,0.04211,0.03551,0.02601,0.02973,0.04748,0.05904,0.03551,0.07886,0.04789,0.08588,0.08258
0.1375,0.06193,0.01899,0.1255, 1.000,0.07308,0.03922,0.02106,0.03427,0.03509,0.02477,0.02808,0.07019,0.05120,0.03386,0.03840,0.04418,0.07514,0.07432
0.05285,0.2556,0.03840,0.05615,0.07308, 1.000,0.08299,0.03055,0.02725,0.05491,0.04666,0.02684,0.03509,0.09042,0.05491,0.02808,0.06400,0.1243,0.07267
0.05326,0.06771,0.05409,0.03675,0.03922,0.08299, 1.000,0.03014,0.02849,0.02601,0.02230,0.09249,0.02849,0.09414,0.08753,0.04046,0.03716,0.05037,0.05863
0.01899,0.02106,0.09744,0.01734,0.02106,0.03055,0.03014, 1.000,0.02023,0.03014,0.03675,0.04542,0.07102,0.02147,0.05739,0.03592,0.02601,0.01982,0.02808
0.02477,0.02890,0.02271,0.04211,0.03427,0.02725,0.02849,0.02023, 1.000,0.03303,0.02147,0.03592,0.02601,0.03014,0.03303,0.04253,0.03675,0.01363,0.04294
0.02849,0.06441,0.02890,0.03551,0.03509,0.05491,0.02601,0.03014,0.03303, 1.000,0.04046,0.06193,0.04955,0.02353,0.03220,0.02560,0.1800,0.03964,0.03303
0.02890,0.02890,0.02849,0.02601,0.02477,0.04666,0.02230,0.03675,0.02147,0.04046, 1.000,0.03138,0.03757,0.04666,0.02353,0.03592,0.02601,0.04913,0.02106
0.02684,0.02601,0.02684,0.02973,0.02808,0.02684,0.09249,0.04542,0.03592,0.06193,0.03138, 1.000,0.02849,0.04335,0.04170,0.02147,0.1016,0.02684,0.02766
0.03799,0.04211,0.03138,0.04748,0.07019,0.03509,0.02849,0.07102,0.02601,0.04955,0.03757,0.02849, 1.000,0.04583,0.02890,0.02064,0.04294,0.05285,0.02477
0.07308,0.07308,0.04459,0.05904,0.05120,0.09042,0.09414,0.02147,0.03014,0.02353,0.04666,0.04335,0.04583, 1.000,0.07102,0.03138,0.02230,0.1780,0.03592
0.03220,0.06276,0.1164,0.03551,0.03386,0.05491,0.08753,0.05739,0.03303,0.03220,0.02353,0.04170,0.02890,0.07102, 1.000,0.03344,0.03138,0.03716,0.03716
0.08588,0.04542,0.04666,0.07886,0.03840,0.02808,0.04046,0.03592,0.04253,0.02560,0.03592,0.02147,0.02064,0.03138,0.03344, 1.000,0.03509,0.02477,0.1020
0.03262,0.07680,0.03138,0.04789,0.04418,0.06400,0.03716,0.02601,0.03675,0.1800,0.02601,0.1016,0.04294,0.02230,0.03138,0.03509, 1.000,0.03427,0.03840
0.08464,0.1061,0.04088,0.08588,0.07514,0.1243,0.05037,0.01982,0.01363,0.03964,0.04913,0.02684,0.05285,0.1780,0.03716,0.02477,0.03427, 1.000,0.06606
0.08629,0.06276,0.02890,0.08258,0.07432,0.07267,0.05863,0.02808,0.04294,0.03303,0.02106,0.02766,0.02477,0.03592,0.03716,0.1020,0.03840,0.06606, 1.000
