Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1230,0.01180,0.1000,0.05901,0.06211,0.03292,0.02733,0.02422,0.01988,0.02795,0.02174,0.02981,0.08199,0.05528,0.06087,0.02112,0.05652,0.05155
0.1230, 1.000,0.03230,0.06087,0.03913,0.1062,0.02484,0.02484,0.02298,0.02112,0.03292,0.02733,0.01801,0.05901,0.06398,0.05901,0.03851,0.04907,0.04658
0.01180,0.03230, 1.000,0.02795,0.02857,0.02795,0.04286,0.03913,0.03043,0.02857,0.02857,0.03789,0.02547,0.03602,0.1093,0.04099,0.03043,0.03913,0.02050
0.1000,0.06087,0.02795, 1.000,0.03975,0.04286,0.01491,0.01988,0.02609,0.01615,0.03043,0.01925,0.02360,0.05155,0.05093,0.04596,0.02609,0.06149,0.05839
0.05901,0.03913,0.02857,0.03975, 1.000,0.05155,0.01801,0.02484,0.03043,0.03975,0.03043,0.02112,0.04969,0.04720,0.02857,0.02547,0.02174,0.04099,0.05963
0.06211,0.1062,0.02795,0.04286,0.05155, 1.000,0.03416,0.03106,0.02547,0.02671,0.02360,0.03043,0.04348,0.07391,0.02919,0.04224,0.02050,0.05714,0.04596
0.03292,0.02484,0.04286,0.01491,0.01801,0.03416, 1.000,0.02609,0.02547,0.05652,0.02050,0.03665,0.01863,0.03789,0.03354,0.04286,0.02236,0.02422,0.03665
0.02733,0.02484,0.03913,0.01988,0.02484,0.03106,0.02609, 1.000,0.01739,0.02112,0.03540,0.02484,0.04534,0.01553,0.02733,0.02174,0.01801,0.03789,0.01366
0.02422,0.02298,0.03043,0.02609,0.03043,0.02547,0.02547,0.01739, 1.000,0.02857,0.01242,0.03975,0.02857,0.04658,0.02484,0.01366,0.03975,0.02422,0.03665
0.01988,0.02112,0.02857,0.01615,0.03975,0.02671,0.05652,0.02112,0.02857, 1.000,0.02671,0.02609,0.03354,0.02112,0.03043,0.02981,0.03851,0.04099,0.01925
0.02795,0.03292,0.02857,0.03043,0.03043,0.02360,0.02050,0.03540,0.01242,0.02671, 1.000,0.04099,0.04596,0.02050,0.02733,0.03478,0.01863,0.03540,0.02174
0.02174,0.02733,0.03789,0.01925,0.02112,0.03043,0.03665,0.02484,0.03975,0.02609,0.04099, 1.000,0.01863,0.02422,0.02360,0.02671,0.02609,0.02112,0.02795
0.02981,0.01801,0.02547,0.02360,0.04969,0.04348,0.01863,0.04534,0.02857,0.03354,0.04596,0.01863, 1.000,0.02484,0.01801,0.02422,0.02112,0.04534,0.03354
0.08199,0.05901,0.03602,0.05155,0.04720,0.07391,0.03789,0.01553,0.04658,0.02112,0.02050,0.02422,0.02484, 1.000,0.05528,0.02981,0.01863,0.07391,0.02547
0.05528,0.06398,0.1093,0.05093,0.02857,0.02919,0.03354,0.02733,0.02484,0.03043,0.02733,0.02360,0.01801,0.05528, 1.000,0.05901,0.03727,0.04410,0.04037
0.06087,0.05901,0.04099,0.04596,0.02547,0.04224,0.04286,0.02174,0.01366,0.02981,0.03478,0.02671,0.02422,0.02981,0.05901, 1.000,0.04037,0.03292,0.07888
0.02112,0.03851,0.03043,0.02609,0.02174,0.02050,0.02236,0.01801,0.03975,0.03851,0.01863,0.02609,0.02112,0.01863,0.03727,0.04037, 1.000,0.02298,0.04224
0.05652,0.04907,0.03913,0.06149,0.04099,0.05714,0.02422,0.03789,0.02422,0.04099,0.03540,0.02112,0.04534,0.07391,0.04410,0.03292,0.02298, 1.000,0.06211
0.05155,0.04658,0.02050,0.05839,0.05963,0.04596,0.03665,0.01366,0.03665,0.01925,0.02174,0.02795,0.03354,0.02547,0.04037,0.07888,0.04224,0.06211, 1.000
