Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1164,0.01070,0.05017,0.04214,0.03813,0.03746,0.02074,0.01739,0.01472,0.03612,0.01338,0.03211,0.06221,0.04281,0.03746,0.02074,0.04214,0.06421
0.1164, 1.000,0.02074,0.02408,0.03278,0.08629,0.01672,0.01338,0.01806,0.01672,0.01940,0.02007,0.03144,0.06756,0.06555,0.03880,0.03746,0.06288,0.03411
0.01070,0.02074, 1.000,0.03077,0.02876,0.02475,0.02408,0.03946,0.03478,0.02341,0.01739,0.01873,0.02876,0.02007,0.09164,0.02475,0.02609,0.01538,0.02341
0.05017,0.02408,0.03077, 1.000,0.03746,0.03679,0.02341,0.02207,0.03344,0.02007,0.02742,0.02876,0.02140,0.02341,0.03679,0.04816,0.02542,0.02943,0.03545
0.04214,0.03278,0.02876,0.03746, 1.000,0.04281,0.01204,0.03144,0.02274,0.02475,0.03344,0.02341,0.04682,0.03880,0.01806,0.02408,0.05217,0.03010,0.06221
0.03813,0.08629,0.02475,0.03679,0.04281, 1.000,0.02341,0.03344,0.03211,0.01338,0.03010,0.01940,0.03077,0.05418,0.03278,0.01405,0.02475,0.05151,0.04080
0.03746,0.01672,0.02408,0.02341,0.01204,0.02341, 1.000,0.03010,0.02876,0.02943,0.01271,0.03144,0.02742,0.01873,0.03478,0.03813,0.01940,0.02074,0.01672
0.02074,0.01338,0.03946,0.02207,0.03144,0.03344,0.03010, 1.000,0.02074,0.01672,0.02542,0.03010,0.03278,0.03813,0.02408,0.02274,0.02676,0.02475,0.02140
0.01739,0.01806,0.03478,0.03344,0.02274,0.03211,0.02876,0.02074, 1.000,0.02609,0.02007,0.03211,0.02207,0.02341,0.03278,0.01338,0.03612,0.01405,0.01672
0.01472,0.01672,0.02341,0.02007,0.02475,0.01338,0.02943,0.01672,0.02609, 1.000,0.02542,0.03612,0.03211,0.02408,0.02074,0.02274,0.02140,0.02876,0.02475
0.03612,0.01940,0.01739,0.02742,0.03344,0.03010,0.01271,0.02542,0.02007,0.02542, 1.000,0.01806,0.06355,0.03144,0.03077,0.03144,0.01605,0.03411,0.02943
0.01338,0.02007,0.01873,0.02876,0.02341,0.01940,0.03144,0.03010,0.03211,0.03612,0.01806, 1.000,0.02742,0.01672,0.01672,0.02274,0.02609,0.02876,0.01873
0.03211,0.03144,0.02876,0.02140,0.04682,0.03077,0.02742,0.03278,0.02207,0.03211,0.06355,0.02742, 1.000,0.03278,0.01271,0.02609,0.02408,0.04682,0.02074
0.06221,0.06756,0.02007,0.02341,0.03880,0.05418,0.01873,0.03813,0.02341,0.02408,0.03144,0.01672,0.03278, 1.000,0.02475,0.02207,0.02207,0.08495,0.02074
0.04281,0.06555,0.09164,0.03679,0.01806,0.03278,0.03478,0.02408,0.03278,0.02074,0.03077,0.01672,0.01271,0.02475, 1.000,0.06355,0.01472,0.03545,0.03278
0.03746,0.03880,0.02475,0.04816,0.02408,0.01405,0.03813,0.02274,0.01338,0.02274,0.03144,0.02274,0.02609,0.02207,0.06355, 1.000,0.02609,0.04615,0.06756
0.02074,0.03746,0.02609,0.02542,0.05217,0.02475,0.01940,0.02676,0.03612,0.02140,0.01605,0.02609,0.02408,0.02207,0.01472,0.02609, 1.000,0.04281,0.05819
0.04214,0.06288,0.01538,0.02943,0.03010,0.05151,0.02074,0.02475,0.01405,0.02876,0.03411,0.02876,0.04682,0.08495,0.03545,0.04615,0.04281, 1.000,0.04816
0.06421,0.03411,0.02341,0.03545,0.06221,0.04080,0.01672,0.02140,0.01672,0.02475,0.02943,0.01873,0.02074,0.02074,0.03278,0.06756,0.05819,0.04816, 1.000
