Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04135,0.07342,0.1916,0.1646,0.03966,0.02785,0.02954,0.02194,0.01519,0.03629,0.02278,0.03460,0.04473,0.02447,0.06582,0.03966,0.03797,0.06498
0.04135, 1.000,0.02869,0.03376,0.03291,0.1494,0.06835,0.02785,0.03797,0.02363,0.02194,0.03629,0.03376,0.07173,0.08270,0.03629,0.02278,0.04810,0.03291
0.07342,0.02869, 1.000,0.07004,0.02616,0.02785,0.02785,0.07257,0.03713,0.02363,0.04641,0.02954,0.02110,0.02025,0.02785,0.07679,0.02447,0.02616,0.05485
0.1916,0.03376,0.07004, 1.000,0.1705,0.03882,0.03629,0.03629,0.05907,0.02194,0.03122,0.02700,0.03122,0.03122,0.03207,0.08692,0.03713,0.03797,0.1004
0.1646,0.03291,0.02616,0.1705, 1.000,0.05063,0.02025,0.03207,0.03376,0.02616,0.01941,0.02447,0.02869,0.04219,0.02194,0.03797,0.03376,0.04810,0.1038
0.03966,0.1494,0.02785,0.03882,0.05063, 1.000,0.05401,0.06414,0.03376,0.05738,0.05738,0.03207,0.06498,0.09198,0.04895,0.02954,0.02194,0.09114,0.03207
0.02785,0.06835,0.02785,0.03629,0.02025,0.05401, 1.000,0.04219,0.06245,0.02447,0.04219,0.05654,0.02700,0.05401,0.04388,0.01857,0.02532,0.04473,0.03122
0.02954,0.02785,0.07257,0.03629,0.03207,0.06414,0.04219, 1.000,0.07511,0.03038,0.09873,0.03291,0.07089,0.04304,0.03629,0.06076,0.02616,0.03122,0.03797
0.02194,0.03797,0.03713,0.05907,0.03376,0.03376,0.06245,0.07511, 1.000,0.02194,0.03713,0.06076,0.02700,0.04557,0.03376,0.04219,0.04135,0.03038,0.05654
0.01519,0.02363,0.02363,0.02194,0.02616,0.05738,0.02447,0.03038,0.02194, 1.000,0.06076,0.03038,0.04557,0.03376,0.02616,0.02194,0.02616,0.04557,0.01941
0.03629,0.02194,0.04641,0.03122,0.01941,0.05738,0.04219,0.09873,0.03713,0.06076, 1.000,0.07342,0.07257,0.03713,0.02025,0.04557,0.01857,0.03544,0.02194
0.02278,0.03629,0.02954,0.02700,0.02447,0.03207,0.05654,0.03291,0.06076,0.03038,0.07342, 1.000,0.03460,0.06414,0.01857,0.03882,0.06835,0.04557,0.02785
0.03460,0.03376,0.02110,0.03122,0.02869,0.06498,0.02700,0.07089,0.02700,0.04557,0.07257,0.03460, 1.000,0.09873,0.03544,0.02869,0.03291,0.1224,0.02194
0.04473,0.07173,0.02025,0.03122,0.04219,0.09198,0.05401,0.04304,0.04557,0.03376,0.03713,0.06414,0.09873, 1.000,0.03629,0.02194,0.03882,0.1333,0.02616
0.02447,0.08270,0.02785,0.03207,0.02194,0.04895,0.04388,0.03629,0.03376,0.02616,0.02025,0.01857,0.03544,0.03629, 1.000,0.02700,0.01350,0.03376,0.02700
0.06582,0.03629,0.07679,0.08692,0.03797,0.02954,0.01857,0.06076,0.04219,0.02194,0.04557,0.03882,0.02869,0.02194,0.02700, 1.000,0.05907,0.02025,0.1013
0.03966,0.02278,0.02447,0.03713,0.03376,0.02194,0.02532,0.02616,0.04135,0.02616,0.01857,0.06835,0.03291,0.03882,0.01350,0.05907, 1.000,0.02363,0.04726
0.03797,0.04810,0.02616,0.03797,0.04810,0.09114,0.04473,0.03122,0.03038,0.04557,0.03544,0.04557,0.1224,0.1333,0.03376,0.02025,0.02363, 1.000,0.03544
0.06498,0.03291,0.05485,0.1004,0.1038,0.03207,0.03122,0.03797,0.05654,0.01941,0.02194,0.02785,0.02194,0.02616,0.02700,0.1013,0.04726,0.03544, 1.000
