Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1435,0.04325,0.09436,0.1055,0.09436,0.05046,0.02883,0.02752,0.02687,0.03145,0.02752,0.08585,0.1075,0.03539,0.06160,0.04849,0.09502,0.06553
0.1435, 1.000,0.05242,0.05242,0.06750,0.1298,0.05046,0.03211,0.02228,0.01900,0.02425,0.03342,0.03997,0.06291,0.05046,0.08912,0.07667,0.06553,0.03408
0.04325,0.05242, 1.000,0.03735,0.03473,0.03539,0.04128,0.04849,0.02556,0.01900,0.02556,0.02883,0.02228,0.05242,0.08847,0.04456,0.02883,0.03997,0.02490
0.09436,0.05242,0.03735, 1.000,0.06488,0.04718,0.03211,0.02425,0.03997,0.02556,0.03539,0.01900,0.03014,0.03801,0.03211,0.04587,0.05242,0.07208,0.05439
0.1055,0.06750,0.03473,0.06488, 1.000,0.1225,0.03014,0.03801,0.02359,0.03670,0.02818,0.03014,0.09502,0.07798,0.03080,0.05898,0.03604,0.08257,0.08978
0.09436,0.1298,0.03539,0.04718,0.1225, 1.000,0.03539,0.03277,0.02097,0.04325,0.03539,0.02818,0.04587,0.06356,0.04587,0.05570,0.08126,0.07012,0.08191
0.05046,0.05046,0.04128,0.03211,0.03014,0.03539, 1.000,0.02752,0.04718,0.02556,0.02359,0.06225,0.02949,0.03932,0.03932,0.03670,0.02490,0.03014,0.02490
0.02883,0.03211,0.04849,0.02425,0.03801,0.03277,0.02752, 1.000,0.03735,0.01573,0.02949,0.02097,0.03604,0.01966,0.03211,0.02228,0.03735,0.02490,0.03145
0.02752,0.02228,0.02556,0.03997,0.02359,0.02097,0.04718,0.03735, 1.000,0.03277,0.02752,0.04128,0.02228,0.03473,0.02425,0.02752,0.04194,0.03145,0.03932
0.02687,0.01900,0.01900,0.02556,0.03670,0.04325,0.02556,0.01573,0.03277, 1.000,0.04128,0.04194,0.03801,0.02818,0.02425,0.02883,0.06291,0.03670,0.03932
0.03145,0.02425,0.02556,0.03539,0.02818,0.03539,0.02359,0.02949,0.02752,0.04128, 1.000,0.02949,0.03539,0.03277,0.03211,0.02752,0.03145,0.03539,0.02556
0.02752,0.03342,0.02883,0.01900,0.03014,0.02818,0.06225,0.02097,0.04128,0.04194,0.02949, 1.000,0.02687,0.03145,0.03277,0.02752,0.06815,0.02621,0.02163
0.08585,0.03997,0.02228,0.03014,0.09502,0.04587,0.02949,0.03604,0.02228,0.03801,0.03539,0.02687, 1.000,0.06225,0.01835,0.02687,0.02752,0.09436,0.05439
0.1075,0.06291,0.05242,0.03801,0.07798,0.06356,0.03932,0.01966,0.03473,0.02818,0.03277,0.03145,0.06225, 1.000,0.03473,0.03604,0.03014,0.1199,0.04063
0.03539,0.05046,0.08847,0.03211,0.03080,0.04587,0.03932,0.03211,0.02425,0.02425,0.03211,0.03277,0.01835,0.03473, 1.000,0.05767,0.02425,0.02818,0.02163
0.06160,0.08912,0.04456,0.04587,0.05898,0.05570,0.03670,0.02228,0.02752,0.02883,0.02752,0.02752,0.02687,0.03604,0.05767, 1.000,0.06422,0.01442,0.06160
0.04849,0.07667,0.02883,0.05242,0.03604,0.08126,0.02490,0.03735,0.04194,0.06291,0.03145,0.06815,0.02752,0.03014,0.02425,0.06422, 1.000,0.02359,0.05767
0.09502,0.06553,0.03997,0.07208,0.08257,0.07012,0.03014,0.02490,0.03145,0.03670,0.03539,0.02621,0.09436,0.1199,0.02818,0.01442,0.02359, 1.000,0.06619
0.06553,0.03408,0.02490,0.05439,0.08978,0.08191,0.02490,0.03145,0.03932,0.03932,0.02556,0.02163,0.05439,0.04063,0.02163,0.06160,0.05767,0.06619, 1.000
