Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4643,0.4625,0.5068,0.2878,0.2479,0.1656,0.09209,0.05106,0.06257,0.03719,0.03394,0.05077,0.06198,0.05844,0.1620,0.08383,0.1417,0.1629
0.4643, 1.000,0.2234,0.3253,0.3288,0.4315,0.3022,0.06966,0.04221,0.07113,0.04221,0.04723,0.06228,0.06612,0.06316,0.1346,0.08294,0.1464,0.1632
0.4625,0.2234, 1.000,0.3217,0.1446,0.1308,0.1201,0.1535,0.04339,0.04457,0.02834,0.02981,0.03660,0.04752,0.06375,0.1730,0.08294,0.09799,0.1464
0.5068,0.3253,0.3217, 1.000,0.4274,0.2674,0.1086,0.08796,0.06966,0.09799,0.03483,0.02863,0.05519,0.04427,0.04516,0.1526,0.1130,0.1266,0.1862
0.2878,0.3288,0.1446,0.4274, 1.000,0.4802,0.1151,0.05224,0.06198,0.1331,0.04427,0.03453,0.06612,0.05106,0.03689,0.1063,0.1012,0.1426,0.1508
0.2479,0.4315,0.1308,0.2674,0.4802, 1.000,0.1983,0.04900,0.05372,0.09947,0.05667,0.03955,0.08117,0.06464,0.04782,0.09002,0.07822,0.1502,0.1437
0.1656,0.3022,0.1201,0.1086,0.1151,0.1983, 1.000,0.05844,0.03335,0.04250,0.03365,0.07910,0.04693,0.06907,0.07113,0.08707,0.04811,0.09386,0.1018
0.09209,0.06966,0.1535,0.08796,0.05224,0.04900,0.05844, 1.000,0.06139,0.03985,0.02538,0.02922,0.04103,0.02745,0.05519,0.1671,0.07409,0.05047,0.09061
0.05106,0.04221,0.04339,0.06966,0.06198,0.05372,0.03335,0.06139, 1.000,0.07172,0.02863,0.02893,0.02656,0.02893,0.02243,0.04959,0.08087,0.04486,0.07674
0.06257,0.07113,0.04457,0.09799,0.1331,0.09947,0.04250,0.03985,0.07172, 1.000,0.05815,0.01978,0.04929,0.02863,0.02686,0.05195,0.09179,0.07290,0.09711
0.03719,0.04221,0.02834,0.03483,0.04427,0.05667,0.03365,0.02538,0.02863,0.05815, 1.000,0.03867,0.05519,0.03306,0.02125,0.02066,0.02834,0.05047,0.03719
0.03394,0.04723,0.02981,0.02863,0.03453,0.03955,0.07910,0.02922,0.02893,0.01978,0.03867, 1.000,0.03985,0.08737,0.06110,0.03483,0.02214,0.05047,0.02538
0.05077,0.06228,0.03660,0.05519,0.06612,0.08117,0.04693,0.04103,0.02656,0.04929,0.05519,0.03985, 1.000,0.1216,0.03365,0.03158,0.02952,0.1228,0.03749
0.06198,0.06612,0.04752,0.04427,0.05106,0.06464,0.06907,0.02745,0.02893,0.02863,0.03306,0.08737,0.1216, 1.000,0.06494,0.02686,0.03424,0.08471,0.03630
0.05844,0.06316,0.06375,0.04516,0.03689,0.04782,0.07113,0.05519,0.02243,0.02686,0.02125,0.06110,0.03365,0.06494, 1.000,0.07379,0.02568,0.04723,0.04398
0.1620,0.1346,0.1730,0.1526,0.1063,0.09002,0.08707,0.1671,0.04959,0.05195,0.02066,0.03483,0.03158,0.02686,0.07379, 1.000,0.1381,0.04782,0.1541
0.08383,0.08294,0.08294,0.1130,0.1012,0.07822,0.04811,0.07409,0.08087,0.09179,0.02834,0.02214,0.02952,0.03424,0.02568,0.1381, 1.000,0.05106,0.1904
0.1417,0.1464,0.09799,0.1266,0.1426,0.1502,0.09386,0.05047,0.04486,0.07290,0.05047,0.05047,0.1228,0.08471,0.04723,0.04782,0.05106, 1.000,0.08825
0.1629,0.1632,0.1464,0.1862,0.1508,0.1437,0.1018,0.09061,0.07674,0.09711,0.03719,0.02538,0.03749,0.03630,0.04398,0.1541,0.1904,0.08825, 1.000
