Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04127,0.06032,0.02413,0.02603,0.04889,0.02667,0.04317,0.02476,0.03429,0.2940,0.1600,0.03175,0.03238,0.01778,0.02794,0.04063,0.05524,0.04254
0.04127, 1.000,0.04635,0.02095,0.05714,0.2203,0.2394,0.05714,0.06159,0.02032,0.04000,0.03746,0.03937,0.04317,0.03429,0.02857,0.04127,0.06413,0.3073
0.06032,0.04635, 1.000,0.02222,0.03302,0.04508,0.02540,0.2241,0.02603,0.08571,0.1911,0.02159,0.04444,0.02286,0.03492,0.06159,0.02286,0.04508,0.03683
0.02413,0.02095,0.02222, 1.000,0.1003,0.03429,0.01841,0.02222,0.01587,0.01905,0.01714,0.02413,0.03937,0.06857,0.06222,0.02667,0.03365,0.04381,0.02603
0.02603,0.05714,0.03302,0.1003, 1.000,0.1803,0.02603,0.07238,0.03365,0.02603,0.02667,0.02476,0.1384,0.2603,0.05143,0.02413,0.02667,0.1371,0.04000
0.04889,0.2203,0.04508,0.03429,0.1803, 1.000,0.1117,0.05778,0.07556,0.01714,0.04952,0.05079,0.06794,0.1244,0.04444,0.02984,0.02349,0.1435,0.09587
0.02667,0.2394,0.02540,0.01841,0.02603,0.1117, 1.000,0.03365,0.1143,0.02095,0.02159,0.04444,0.02921,0.03683,0.04952,0.05968,0.08063,0.02794,0.1524
0.04317,0.05714,0.2241,0.02222,0.07238,0.05778,0.03365, 1.000,0.03111,0.1003,0.08889,0.02857,0.1359,0.03365,0.02921,0.04889,0.03746,0.1003,0.03556
0.02476,0.06159,0.02603,0.01587,0.03365,0.07556,0.1143,0.03111, 1.000,0.03492,0.02794,0.02286,0.03746,0.05333,0.02794,0.02667,0.02095,0.02857,0.02286
0.03429,0.02032,0.08571,0.01905,0.02603,0.01714,0.02095,0.1003,0.03492, 1.000,0.06540,0.02286,0.04317,0.02476,0.02730,0.02286,0.02032,0.03619,0.02984
0.2940,0.04000,0.1911,0.01714,0.02667,0.04952,0.02159,0.08889,0.02794,0.06540, 1.000,0.06921,0.04889,0.02921,0.02095,0.03048,0.03492,0.07619,0.04508
0.1600,0.03746,0.02159,0.02413,0.02476,0.05079,0.04444,0.02857,0.02286,0.02286,0.06921, 1.000,0.02857,0.03048,0.02222,0.01778,0.06667,0.02857,0.04825
0.03175,0.03937,0.04444,0.03937,0.1384,0.06794,0.02921,0.1359,0.03746,0.04317,0.04889,0.02857, 1.000,0.07111,0.02730,0.03048,0.04571,0.2190,0.02857
0.03238,0.04317,0.02286,0.06857,0.2603,0.1244,0.03683,0.03365,0.05333,0.02476,0.02921,0.03048,0.07111, 1.000,0.04508,0.02413,0.01778,0.05524,0.02476
0.01778,0.03429,0.03492,0.06222,0.05143,0.04444,0.04952,0.02921,0.02794,0.02730,0.02095,0.02222,0.02730,0.04508, 1.000,0.1308,0.03619,0.03111,0.04635
0.02794,0.02857,0.06159,0.02667,0.02413,0.02984,0.05968,0.04889,0.02667,0.02286,0.03048,0.01778,0.03048,0.02413,0.1308, 1.000,0.07619,0.02222,0.04762
0.04063,0.04127,0.02286,0.03365,0.02667,0.02349,0.08063,0.03746,0.02095,0.02032,0.03492,0.06667,0.04571,0.01778,0.03619,0.07619, 1.000,0.02159,0.09587
0.05524,0.06413,0.04508,0.04381,0.1371,0.1435,0.02794,0.1003,0.02857,0.03619,0.07619,0.02857,0.2190,0.05524,0.03111,0.02222,0.02159, 1.000,0.04317
0.04254,0.3073,0.03683,0.02603,0.04000,0.09587,0.1524,0.03556,0.02286,0.02984,0.04508,0.04825,0.02857,0.02476,0.04635,0.04762,0.09587,0.04317, 1.000
