Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1673,0.09728,0.05374,0.03265,0.04082,0.06871,0.02245,0.01429,0.02789,0.02041,0.02449,0.02721,0.05442,0.06259,0.09388,0.07619,0.05306,0.08027
0.1673, 1.000,0.04898,0.02449,0.02653,0.03878,0.2422,0.02313,0.03946,0.03197,0.01565,0.02857,0.02449,0.07823,0.07075,0.05714,0.03810,0.03741,0.05510
0.09728,0.04898, 1.000,0.1354,0.04694,0.03673,0.03061,0.06803,0.02177,0.03061,0.02517,0.01293,0.02585,0.06531,0.07483,0.1068,0.03741,0.03946,0.05306
0.05374,0.02449,0.1354, 1.000,0.07551,0.02721,0.02245,0.02653,0.03673,0.01701,0.01905,0.02857,0.02789,0.04082,0.05034,0.05442,0.09184,0.04490,0.07075
0.03265,0.02653,0.04694,0.07551, 1.000,0.07755,0.04082,0.01361,0.03878,0.04558,0.02517,0.01837,0.06871,0.04354,0.02857,0.03810,0.07279,0.04762,0.06667
0.04082,0.03878,0.03673,0.02721,0.07755, 1.000,0.1027,0.02925,0.03333,0.02585,0.02653,0.02381,0.08912,0.07959,0.05510,0.03878,0.02993,0.07007,0.04762
0.06871,0.2422,0.03061,0.02245,0.04082,0.1027, 1.000,0.02245,0.03741,0.02857,0.01497,0.04490,0.02721,0.1102,0.08299,0.03673,0.02517,0.03605,0.02789
0.02245,0.02313,0.06803,0.02653,0.01361,0.02925,0.02245, 1.000,0.03673,0.02925,0.05442,0.02789,0.05510,0.02517,0.02109,0.03197,0.01973,0.01905,0.02313
0.01429,0.03946,0.02177,0.03673,0.03878,0.03333,0.03741,0.03673, 1.000,0.05578,0.02585,0.09116,0.02449,0.03537,0.01497,0.02721,0.03469,0.04150,0.03878
0.02789,0.03197,0.03061,0.01701,0.04558,0.02585,0.02857,0.02925,0.05578, 1.000,0.04626,0.03469,0.02993,0.01973,0.05238,0.03197,0.02313,0.03333,0.02177
0.02041,0.01565,0.02517,0.01905,0.02517,0.02653,0.01497,0.05442,0.02585,0.04626, 1.000,0.03265,0.04694,0.03469,0.02041,0.02585,0.02109,0.03401,0.02245
0.02449,0.02857,0.01293,0.02857,0.01837,0.02381,0.04490,0.02789,0.09116,0.03469,0.03265, 1.000,0.02993,0.03469,0.02925,0.02517,0.05646,0.02993,0.02177
0.02721,0.02449,0.02585,0.02789,0.06871,0.08912,0.02721,0.05510,0.02449,0.02993,0.04694,0.02993, 1.000,0.08912,0.02381,0.01973,0.02381,0.1544,0.04694
0.05442,0.07823,0.06531,0.04082,0.04354,0.07959,0.1102,0.02517,0.03537,0.01973,0.03469,0.03469,0.08912, 1.000,0.07891,0.04762,0.03946,0.06871,0.03537
0.06259,0.07075,0.07483,0.05034,0.02857,0.05510,0.08299,0.02109,0.01497,0.05238,0.02041,0.02925,0.02381,0.07891, 1.000,0.1224,0.03197,0.02857,0.04626
0.09388,0.05714,0.1068,0.05442,0.03810,0.03878,0.03673,0.03197,0.02721,0.03197,0.02585,0.02517,0.01973,0.04762,0.1224, 1.000,0.08639,0.03333,0.06735
0.07619,0.03810,0.03741,0.09184,0.07279,0.02993,0.02517,0.01973,0.03469,0.02313,0.02109,0.05646,0.02381,0.03946,0.03197,0.08639, 1.000,0.03061,0.1150
0.05306,0.03741,0.03946,0.04490,0.04762,0.07007,0.03605,0.01905,0.04150,0.03333,0.03401,0.02993,0.1544,0.06871,0.02857,0.03333,0.03061, 1.000,0.1184
0.08027,0.05510,0.05306,0.07075,0.06667,0.04762,0.02789,0.02313,0.03878,0.02177,0.02245,0.02177,0.04694,0.03537,0.04626,0.06735,0.1150,0.1184, 1.000
