Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2771,0.3553,0.3325,0.1017,0.2347,0.08409,0.03585,0.02803,0.01173,0.03651,0.02542,0.05020,0.08018,0.1271,0.08279,0.05997,0.1173,0.08735
0.2771, 1.000,0.1897,0.08344,0.07171,0.2262,0.2529,0.04889,0.02738,0.01108,0.04824,0.02999,0.04954,0.1402,0.1571,0.08149,0.04433,0.09518,0.06714
0.3553,0.1897, 1.000,0.2503,0.05867,0.1382,0.07171,0.03977,0.02347,0.01565,0.04302,0.03390,0.02999,0.06584,0.1089,0.09257,0.05020,0.06454,0.05997
0.3325,0.08344,0.2503, 1.000,0.1851,0.1265,0.03781,0.02803,0.03585,0.01956,0.01890,0.04107,0.07627,0.04954,0.06454,0.05606,0.1173,0.1199,0.1695
0.1017,0.07171,0.05867,0.1851, 1.000,0.1506,0.06258,0.03259,0.02477,0.04237,0.02347,0.03325,0.09387,0.05150,0.04237,0.06910,0.1349,0.2471,0.3716
0.2347,0.2262,0.1382,0.1265,0.1506, 1.000,0.1643,0.04302,0.03455,0.03129,0.02673,0.03194,0.04433,0.1154,0.1930,0.1408,0.07627,0.1682,0.1649
0.08409,0.2529,0.07171,0.03781,0.06258,0.1643, 1.000,0.02673,0.02868,0.01825,0.02803,0.04889,0.04107,0.2979,0.1395,0.05280,0.03325,0.1004,0.03846
0.03585,0.04889,0.03977,0.02803,0.03259,0.04302,0.02673, 1.000,0.01760,0.05802,0.1017,0.01890,0.09061,0.02673,0.06649,0.07692,0.02934,0.03716,0.03390
0.02803,0.02738,0.02347,0.03585,0.02477,0.03455,0.02868,0.01760, 1.000,0.04042,0.03390,0.04172,0.03259,0.02934,0.02673,0.03585,0.07627,0.02673,0.05802
0.01173,0.01108,0.01565,0.01956,0.04237,0.03129,0.01825,0.05802,0.04042, 1.000,0.06193,0.03520,0.03846,0.02282,0.04498,0.01825,0.02999,0.01630,0.04368
0.03651,0.04824,0.04302,0.01890,0.02347,0.02673,0.02803,0.1017,0.03390,0.06193, 1.000,0.02412,0.04107,0.02803,0.02608,0.04172,0.02086,0.03585,0.02086
0.02542,0.02999,0.03390,0.04107,0.03325,0.03194,0.04889,0.01890,0.04172,0.03520,0.02412, 1.000,0.02803,0.04824,0.02412,0.02542,0.1102,0.02803,0.04302
0.05020,0.04954,0.02999,0.07627,0.09387,0.04433,0.04107,0.09061,0.03259,0.03846,0.04107,0.02803, 1.000,0.06454,0.02868,0.02673,0.03259,0.1643,0.05085
0.08018,0.1402,0.06584,0.04954,0.05150,0.1154,0.2979,0.02673,0.02934,0.02282,0.02803,0.04824,0.06454, 1.000,0.08279,0.03325,0.03651,0.1232,0.04237
0.1271,0.1571,0.1089,0.06454,0.04237,0.1930,0.1395,0.06649,0.02673,0.04498,0.02608,0.02412,0.02868,0.08279, 1.000,0.1069,0.03390,0.07757,0.05932
0.08279,0.08149,0.09257,0.05606,0.06910,0.1408,0.05280,0.07692,0.03585,0.01825,0.04172,0.02542,0.02673,0.03325,0.1069, 1.000,0.1121,0.05541,0.09844
0.05997,0.04433,0.05020,0.1173,0.1349,0.07627,0.03325,0.02934,0.07627,0.02999,0.02086,0.1102,0.03259,0.03651,0.03390,0.1121, 1.000,0.07040,0.2112
0.1173,0.09518,0.06454,0.1199,0.2471,0.1682,0.1004,0.03716,0.02673,0.01630,0.03585,0.02803,0.1643,0.1232,0.07757,0.05541,0.07040, 1.000,0.1877
0.08735,0.06714,0.05997,0.1695,0.3716,0.1649,0.03846,0.03390,0.05802,0.04368,0.02086,0.04302,0.05085,0.04237,0.05932,0.09844,0.2112,0.1877, 1.000
