Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1701,0.03161,0.2115,0.1730,0.09368,0.02644,0.02874,0.02701,0.05690,0.05977,0.02184,0.02874,0.05805,0.1161,0.8006,0.04483,0.03966,0.1264
0.1701, 1.000,0.02529,0.1264,0.03678,0.04023,0.04253,0.02471,0.08218,0.02874,0.05747,0.06322,0.02989,0.2529,0.7374,0.1379,0.02586,0.03793,0.04540
0.03161,0.02529, 1.000,0.02759,0.07184,0.3580,0.03678,0.03103,0.02931,0.05057,0.3494,0.01897,0.07529,0.03448,0.02241,0.03793,0.1270,0.5707,0.2517
0.2115,0.1264,0.02759, 1.000,0.05230,0.03103,0.02816,0.05057,0.03908,0.02874,0.02759,0.02759,0.04023,0.03851,0.1057,0.1638,0.02759,0.02586,0.03506
0.1730,0.03678,0.07184,0.05230, 1.000,0.1828,0.02299,0.03678,0.03851,0.3402,0.07644,0.03793,0.02471,0.01839,0.02816,0.2368,0.2443,0.06322,0.2615
0.09368,0.04023,0.3580,0.03103,0.1828, 1.000,0.03333,0.02414,0.02644,0.08448,0.4977,0.01839,0.04598,0.05345,0.03046,0.1264,0.1448,0.4471,0.7690
0.02644,0.04253,0.03678,0.02816,0.02299,0.03333, 1.000,0.4305,0.04023,0.03103,0.06494,0.1667,0.4552,0.1598,0.05402,0.02586,0.02471,0.05517,0.02471
0.02874,0.02471,0.03103,0.05057,0.03678,0.02414,0.4305, 1.000,0.03678,0.04828,0.03678,0.1540,0.3983,0.06322,0.03103,0.02989,0.02701,0.03736,0.02299
0.02701,0.08218,0.02931,0.03908,0.03851,0.02644,0.04023,0.03678, 1.000,0.1109,0.02241,0.2144,0.01897,0.05920,0.1132,0.02356,0.1276,0.02069,0.02989
0.05690,0.02874,0.05057,0.02874,0.3402,0.08448,0.03103,0.04828,0.1109, 1.000,0.04195,0.1000,0.02184,0.01782,0.02874,0.07184,0.4770,0.04023,0.1000
0.05977,0.05747,0.3494,0.02759,0.07644,0.4977,0.06494,0.03678,0.02241,0.04195, 1.000,0.02011,0.08391,0.1115,0.04483,0.07356,0.06552,0.6655,0.3816
0.02184,0.06322,0.01897,0.02759,0.03793,0.01839,0.1667,0.1540,0.2144,0.1000,0.02011, 1.000,0.07414,0.09943,0.08793,0.02414,0.06609,0.01897,0.02011
0.02874,0.02989,0.07529,0.04023,0.02471,0.04598,0.4552,0.3983,0.01897,0.02184,0.08391,0.07414, 1.000,0.08448,0.03276,0.03161,0.02299,0.1000,0.03793
0.05805,0.2529,0.03448,0.03851,0.01839,0.05345,0.1598,0.06322,0.05920,0.01782,0.1115,0.09943,0.08448, 1.000,0.2908,0.06034,0.01724,0.07069,0.05115
0.1161,0.7374,0.02241,0.1057,0.02816,0.03046,0.05402,0.03103,0.1132,0.02874,0.04483,0.08793,0.03276,0.2908, 1.000,0.09598,0.02471,0.02989,0.03563
0.8006,0.1379,0.03793,0.1638,0.2368,0.1264,0.02586,0.02989,0.02356,0.07184,0.07356,0.02414,0.03161,0.06034,0.09598, 1.000,0.05402,0.05057,0.1741
0.04483,0.02586,0.1270,0.02759,0.2443,0.1448,0.02471,0.02701,0.1276,0.4770,0.06552,0.06609,0.02299,0.01724,0.02471,0.05402, 1.000,0.07586,0.1569
0.03966,0.03793,0.5707,0.02586,0.06322,0.4471,0.05517,0.03736,0.02069,0.04023,0.6655,0.01897,0.1000,0.07069,0.02989,0.05057,0.07586, 1.000,0.3126
0.1264,0.04540,0.2517,0.03506,0.2615,0.7690,0.02471,0.02299,0.02989,0.1000,0.3816,0.02011,0.03793,0.05115,0.03563,0.1741,0.1569,0.3126, 1.000
