Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1400,0.08918,0.1020,0.07196,0.05430,0.04459,0.02472,0.02384,0.01854,0.02119,0.02428,0.03929,0.05607,0.03664,0.05386,0.02826,0.04150,0.04371
0.1400, 1.000,0.04018,0.05607,0.09934,0.1444,0.1060,0.02119,0.01943,0.02075,0.03091,0.02384,0.04547,0.08565,0.05342,0.05033,0.03179,0.06137,0.04724
0.08918,0.04018, 1.000,0.06976,0.03797,0.02958,0.01898,0.08742,0.02472,0.01987,0.03002,0.02340,0.02517,0.03709,0.04768,0.06976,0.03091,0.03223,0.04194
0.1020,0.05607,0.06976, 1.000,0.1647,0.06225,0.02384,0.02914,0.04415,0.04018,0.03046,0.03179,0.03444,0.04901,0.03179,0.04327,0.04327,0.06755,0.06976
0.07196,0.09934,0.03797,0.1647, 1.000,0.2026,0.03532,0.03223,0.02384,0.07241,0.05254,0.02296,0.06269,0.05872,0.03400,0.04062,0.03709,0.07903,0.05166
0.05430,0.1444,0.02958,0.06225,0.2026, 1.000,0.08433,0.03532,0.01898,0.04283,0.07417,0.03046,0.06358,0.07991,0.04062,0.03709,0.03002,0.06313,0.04327
0.04459,0.1060,0.01898,0.02384,0.03532,0.08433, 1.000,0.02472,0.02781,0.03223,0.03753,0.09139,0.04415,0.07064,0.04283,0.02914,0.02075,0.04371,0.02649
0.02472,0.02119,0.08742,0.02914,0.03223,0.03532,0.02472, 1.000,0.02870,0.03532,0.05342,0.02340,0.05872,0.02870,0.03002,0.05607,0.03576,0.01766,0.03002
0.02384,0.01943,0.02472,0.04415,0.02384,0.01898,0.02781,0.02870, 1.000,0.03753,0.02340,0.03664,0.02340,0.03664,0.02384,0.02737,0.05386,0.02737,0.04503
0.01854,0.02075,0.01987,0.04018,0.07241,0.04283,0.03223,0.03532,0.03753, 1.000,0.06799,0.02870,0.04680,0.03046,0.03400,0.02208,0.03709,0.04989,0.03223
0.02119,0.03091,0.03002,0.03046,0.05254,0.07417,0.03753,0.05342,0.02340,0.06799, 1.000,0.04371,0.09536,0.04592,0.02605,0.04150,0.03091,0.06446,0.02649
0.02428,0.02384,0.02340,0.03179,0.02296,0.03046,0.09139,0.02340,0.03664,0.02870,0.04371, 1.000,0.03885,0.05121,0.03135,0.02340,0.04724,0.03532,0.02781
0.03929,0.04547,0.02517,0.03444,0.06269,0.06358,0.04415,0.05872,0.02340,0.04680,0.09536,0.03885, 1.000,0.08698,0.02826,0.03620,0.01634,0.1408,0.02075
0.05607,0.08565,0.03709,0.04901,0.05872,0.07991,0.07064,0.02870,0.03664,0.03046,0.04592,0.05121,0.08698, 1.000,0.06225,0.02031,0.02737,0.07020,0.02826
0.03664,0.05342,0.04768,0.03179,0.03400,0.04062,0.04283,0.03002,0.02384,0.03400,0.02605,0.03135,0.02826,0.06225, 1.000,0.06313,0.02208,0.03664,0.02605
0.05386,0.05033,0.06976,0.04327,0.04062,0.03709,0.02914,0.05607,0.02737,0.02208,0.04150,0.02340,0.03620,0.02031,0.06313, 1.000,0.06004,0.02826,0.05607
0.02826,0.03179,0.03091,0.04327,0.03709,0.03002,0.02075,0.03576,0.05386,0.03709,0.03091,0.04724,0.01634,0.02737,0.02208,0.06004, 1.000,0.02914,0.09492
0.04150,0.06137,0.03223,0.06755,0.07903,0.06313,0.04371,0.01766,0.02737,0.04989,0.06446,0.03532,0.1408,0.07020,0.03664,0.02826,0.02914, 1.000,0.04857
0.04371,0.04724,0.04194,0.06976,0.05166,0.04327,0.02649,0.03002,0.04503,0.03223,0.02649,0.02781,0.02075,0.02826,0.02605,0.05607,0.09492,0.04857, 1.000
