Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2169,0.1780,0.06441,0.06610,0.1271,0.02542,0.01017,0.01186,0.01017,0.01864,0.01186,0.03390,0.08983,0.1068,0.1085,0.02881,0.07119,0.09153
0.2169, 1.000,0.1017,0.02881,0.05254,0.1525,0.1068,0.01186,0.01017,0.02034,0.008475,0.03729,0.04237,0.1847,0.1085,0.08475,0.03898,0.05763,0.06102
0.1780,0.1017, 1.000,0.04746,0.03390,0.02881,0.04576,0.05763,0.02373,0.05763,0.03390,0.01356,0.003390,0.04407,0.2203,0.1881,0.02542,0.03729,0.04746
0.06441,0.02881,0.04746, 1.000,0.1508,0.06610,0.04068,0.04237,0.06949,0.02881,0.01186,0.05085,0.04237,0.03390,0.04407,0.06102,0.1373,0.06441,0.07627
0.06610,0.05254,0.03390,0.1508, 1.000,0.2085,0.01017,0.03220,0.006780,0.04237,0.03390,0.05254,0.07288,0.01864,0.006780,0.02712,0.1119,0.1000,0.09322
0.1271,0.1525,0.02881,0.06610,0.2085, 1.000,0.03729,0.02542,0.01695,0.01695,0.04746,0.03729,0.08475,0.1034,0.02034,0.04407,0.03559,0.1203,0.1085
0.02542,0.1068,0.04576,0.04068,0.01017,0.03729, 1.000,0.02542,0.04915,0.04746,0.04237,0.2644,0.03220,0.1356,0.09831,0.03051,0.03898,0.03898,0.03898
0.01017,0.01186,0.05763,0.04237,0.03220,0.02542,0.02542, 1.000,0.02712,0.1237,0.09661,0.03390,0.08136,0.03390,0.02881,0.07627,0.03220,0.04068,0.03390
0.01186,0.01017,0.02373,0.06949,0.006780,0.01695,0.04915,0.02712, 1.000,0.06949,0.02373,0.08814,0.04746,0.05932,0.02542,0.01695,0.06780,0.04237,0.05424
0.01017,0.02034,0.05763,0.02881,0.04237,0.01695,0.04746,0.1237,0.06949, 1.000,0.03051,0.04915,0.01864,0.03390,0.03390,0.02542,0.06780,0.06949,0.04746
0.01864,0.008475,0.03390,0.01186,0.03390,0.04746,0.04237,0.09661,0.02373,0.03051, 1.000,0.06102,0.1492,0.03898,0.03220,0.02373,0.03390,0.07966,0.03390
0.01186,0.03729,0.01356,0.05085,0.05254,0.03729,0.2644,0.03390,0.08814,0.04915,0.06102, 1.000,0.04746,0.06441,0.03220,0.02712,0.1153,0.02542,0.02881
0.03390,0.04237,0.003390,0.04237,0.07288,0.08475,0.03220,0.08136,0.04746,0.01864,0.1492,0.04746, 1.000,0.08305,0.008475,0.01356,0.04407,0.2000,0.06441
0.08983,0.1847,0.04407,0.03390,0.01864,0.1034,0.1356,0.03390,0.05932,0.03390,0.03898,0.06441,0.08305, 1.000,0.09322,0.06441,0.01695,0.1220,0.04915
0.1068,0.1085,0.2203,0.04407,0.006780,0.02034,0.09831,0.02881,0.02542,0.03390,0.03220,0.03220,0.008475,0.09322, 1.000,0.1153,0.02373,0.03220,0.04237
0.1085,0.08475,0.1881,0.06102,0.02712,0.04407,0.03051,0.07627,0.01695,0.02542,0.02373,0.02712,0.01356,0.06441,0.1153, 1.000,0.04407,0.02881,0.1169
0.02881,0.03898,0.02542,0.1373,0.1119,0.03559,0.03898,0.03220,0.06780,0.06780,0.03390,0.1153,0.04407,0.01695,0.02373,0.04407, 1.000,0.03898,0.09322
0.07119,0.05763,0.03729,0.06441,0.1000,0.1203,0.03898,0.04068,0.04237,0.06949,0.07966,0.02542,0.2000,0.1220,0.03220,0.02881,0.03898, 1.000,0.1712
0.09153,0.06102,0.04746,0.07627,0.09322,0.1085,0.03898,0.03390,0.05424,0.04746,0.03390,0.02881,0.06441,0.04915,0.04237,0.1169,0.09322,0.1712, 1.000
