Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4153,0.2712,0.1695,0.1751,0.2119,0.1045,0.02825,0.03672,0.03955,0.02542,0.05932,0.06215,0.1497,0.3107,0.2006,0.05650,0.1356,0.1186
0.4153, 1.000,0.08475,0.07910,0.1017,0.3277,0.2345,0.008475,0.02825,0.03107,0.01695,0.04802,0.04237,0.2458,0.2203,0.08192,0.05650,0.1271,0.09322
0.2712,0.08475, 1.000,0.1582,0.05085,0.04520,0.04520,0.1271,0.05085,0.06780,0.08757,0.04237,0.03672,0.03955,0.2147,0.2203,0.07627,0.05085,0.05650
0.1695,0.07910,0.1582, 1.000,0.1667,0.1130,0.04802,0.03390,0.07627,0.03955,0.06497,0.06215,0.03955,0.06215,0.06215,0.1073,0.1441,0.1130,0.1469
0.1751,0.1017,0.05085,0.1667, 1.000,0.3079,0.05085,0.01977,0.02542,0.08475,0.04237,0.03107,0.09322,0.08475,0.05085,0.04237,0.09040,0.1808,0.1582
0.2119,0.3277,0.04520,0.1130,0.3079, 1.000,0.09322,0.03955,0.03672,0.03390,0.06215,0.02825,0.1808,0.1864,0.08192,0.04520,0.04802,0.2825,0.1667
0.1045,0.2345,0.04520,0.04802,0.05085,0.09322, 1.000,0.01412,0.1073,0.05932,0.02825,0.2910,0.01695,0.1469,0.1158,0.05367,0.05650,0.04520,0.04237
0.02825,0.008475,0.1271,0.03390,0.01977,0.03955,0.01412, 1.000,0.07062,0.07910,0.2825,0.01977,0.1723,0.03955,0.06215,0.09887,0.06215,0.07345,0.04802
0.03672,0.02825,0.05085,0.07627,0.02542,0.03672,0.1073,0.07062, 1.000,0.06215,0.07627,0.1356,0.05085,0.05085,0.03955,0.06780,0.1723,0.05932,0.03955
0.03955,0.03107,0.06780,0.03955,0.08475,0.03390,0.05932,0.07910,0.06215, 1.000,0.05650,0.08192,0.05367,0.03390,0.03672,0.02542,0.09322,0.05085,0.06215
0.02542,0.01695,0.08757,0.06497,0.04237,0.06215,0.02825,0.2825,0.07627,0.05650, 1.000,0.04237,0.2147,0.05367,0.04802,0.05650,0.07627,0.1271,0.06780
0.05932,0.04802,0.04237,0.06215,0.03107,0.02825,0.2910,0.01977,0.1356,0.08192,0.04237, 1.000,0.03107,0.05932,0.04802,0.05085,0.2203,0.005650,0.04520
0.06215,0.04237,0.03672,0.03955,0.09322,0.1808,0.01695,0.1723,0.05085,0.05367,0.2147,0.03107, 1.000,0.1130,0.04237,0.03107,0.02542,0.3616,0.05650
0.1497,0.2458,0.03955,0.06215,0.08475,0.1864,0.1469,0.03955,0.05085,0.03390,0.05367,0.05932,0.1130, 1.000,0.1412,0.02542,0.05367,0.1412,0.06215
0.3107,0.2203,0.2147,0.06215,0.05085,0.08192,0.1158,0.06215,0.03955,0.03672,0.04802,0.04802,0.04237,0.1412, 1.000,0.1638,0.03955,0.04802,0.08475
0.2006,0.08192,0.2203,0.1073,0.04237,0.04520,0.05367,0.09887,0.06780,0.02542,0.05650,0.05085,0.03107,0.02542,0.1638, 1.000,0.1158,0.07345,0.1356
0.05650,0.05650,0.07627,0.1441,0.09040,0.04802,0.05650,0.06215,0.1723,0.09322,0.07627,0.2203,0.02542,0.05367,0.03955,0.1158, 1.000,0.02260,0.2034
0.1356,0.1271,0.05085,0.1130,0.1808,0.2825,0.04520,0.07345,0.05932,0.05085,0.1271,0.005650,0.3616,0.1412,0.04802,0.07345,0.02260, 1.000,0.1638
0.1186,0.09322,0.05650,0.1469,0.1582,0.1667,0.04237,0.04802,0.03955,0.06215,0.06780,0.04520,0.05650,0.06215,0.08475,0.1356,0.2034,0.1638, 1.000
