Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3003,0.1302,0.2023,0.09102,0.08470,0.09545,0.02971,0.02971,0.04614,0.01707,0.02845,0.05626,0.04867,0.09671,0.07838,0.08154,0.09102,0.1220
0.3003, 1.000,0.06195,0.1327,0.1144,0.1441,0.1574,0.02023,0.03540,0.04930,0.03729,0.02086,0.05689,0.08850,0.08028,0.05879,0.06448,0.1138,0.09482
0.1302,0.06195, 1.000,0.07080,0.04551,0.03540,0.03413,0.1359,0.02528,0.03224,0.01960,0.01075,0.02339,0.03919,0.06700,0.06953,0.03413,0.03793,0.04614
0.2023,0.1327,0.07080, 1.000,0.2288,0.08660,0.05689,0.02718,0.04362,0.07901,0.01707,0.01707,0.03793,0.05120,0.05247,0.06574,0.08723,0.1030,0.1258
0.09102,0.1144,0.04551,0.2288, 1.000,0.1738,0.07459,0.01201,0.03477,0.07901,0.02718,0.01327,0.05247,0.05752,0.05436,0.04425,0.07901,0.1302,0.1157
0.08470,0.1441,0.03540,0.08660,0.1738, 1.000,0.1163,0.01896,0.02149,0.05752,0.04867,0.01960,0.05752,0.07522,0.04362,0.03097,0.04614,0.09798,0.09102
0.09545,0.1574,0.03413,0.05689,0.07459,0.1163, 1.000,0.01833,0.01517,0.03224,0.03793,0.03097,0.07269,0.1049,0.05942,0.03161,0.03729,0.06890,0.05626
0.02971,0.02023,0.1359,0.02718,0.01201,0.01896,0.01833, 1.000,0.02718,0.02592,0.02212,0.01960,0.01707,0.03224,0.02592,0.03161,0.02718,0.01896,0.02276
0.02971,0.03540,0.02528,0.04362,0.03477,0.02149,0.01517,0.02718, 1.000,0.04994,0.01517,0.02781,0.02465,0.02402,0.02149,0.06827,0.05879,0.01327,0.04930
0.04614,0.04930,0.03224,0.07901,0.07901,0.05752,0.03224,0.02592,0.04994, 1.000,0.04425,0.01454,0.02528,0.03413,0.02212,0.04172,0.05879,0.06195,0.05879
0.01707,0.03729,0.01960,0.01707,0.02718,0.04867,0.03793,0.02212,0.01517,0.04425, 1.000,0.03224,0.06131,0.03729,0.01011,0.01643,0.02528,0.04930,0.03666
0.02845,0.02086,0.01075,0.01707,0.01327,0.01960,0.03097,0.01960,0.02781,0.01454,0.03224, 1.000,0.07712,0.03161,0.03034,0.01960,0.03097,0.02465,0.02655
0.05626,0.05689,0.02339,0.03793,0.05247,0.05752,0.07269,0.01707,0.02465,0.02528,0.06131,0.07712, 1.000,0.09166,0.02402,0.02908,0.03224,0.1643,0.03540
0.04867,0.08850,0.03919,0.05120,0.05752,0.07522,0.1049,0.03224,0.02402,0.03413,0.03729,0.03161,0.09166, 1.000,0.06005,0.02276,0.03350,0.1144,0.03540
0.09671,0.08028,0.06700,0.05247,0.05436,0.04362,0.05942,0.02592,0.02149,0.02212,0.01011,0.03034,0.02402,0.06005, 1.000,0.1068,0.03603,0.03350,0.05942
0.07838,0.05879,0.06953,0.06574,0.04425,0.03097,0.03161,0.03161,0.06827,0.04172,0.01643,0.01960,0.02908,0.02276,0.1068, 1.000,0.07712,0.01833,0.07649
0.08154,0.06448,0.03413,0.08723,0.07901,0.04614,0.03729,0.02718,0.05879,0.05879,0.02528,0.03097,0.03224,0.03350,0.03603,0.07712, 1.000,0.04235,0.3723
0.09102,0.1138,0.03793,0.1030,0.1302,0.09798,0.06890,0.01896,0.01327,0.06195,0.04930,0.02465,0.1643,0.1144,0.03350,0.01833,0.04235, 1.000,0.05120
0.1220,0.09482,0.04614,0.1258,0.1157,0.09102,0.05626,0.02276,0.04930,0.05879,0.03666,0.02655,0.03540,0.03540,0.05942,0.07649,0.3723,0.05120, 1.000
