Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.02488,0.08134,0.1569,0.03636,0.02679,0.02010,0.04689,0.1091,0.02201,0.01914,0.02679,0.02871,0.02871,0.05646,0.1225,0.05837,0.04689
0.02488, 1.000,0.01435,0.05742,0.06794,0.1541,0.1550,0.04689,0.01818,0.07751,0.08612,0.08708,0.1091,0.2689,0.07177,0.02775,0.02775,0.1005
0.08134,0.01435, 1.000,0.06699,0.01627,0.04306,0.04976,0.08708,0.04211,0.04211,0.07464,0.03062,0.01435,0.02775,0.05837,0.05167,0.02679,0.009569
0.1569,0.05742,0.06699, 1.000,0.1684,0.06890,0.05646,0.01053,0.1120,0.06124,0.04498,0.07656,0.04689,0.03254,0.03062,0.1215,0.1187,0.09665
0.03636,0.06794,0.01627,0.1684, 1.000,0.1072,0.05167,0.01053,0.01531,0.07464,0.03254,0.04880,0.07847,0.03923,0.02392,0.03828,0.06603,0.05455
0.02679,0.1541,0.04306,0.06890,0.1072, 1.000,0.1196,0.07368,0.02679,0.08708,0.08517,0.04785,0.2268,0.1177,0.02392,0.02488,0.06986,0.1292
0.02010,0.1550,0.04976,0.05646,0.05167,0.1196, 1.000,0.05455,0.08038,0.06507,0.1072,0.1914,0.06507,0.2029,0.03445,0.02105,0.03349,0.06603
0.04689,0.04689,0.08708,0.01053,0.01053,0.07368,0.05455, 1.000,0.05742,0.03062,0.07751,0.05742,0.07464,0.06507,0.02201,0.02775,0.01722,0.03062
0.1091,0.01818,0.04211,0.1120,0.01531,0.02679,0.08038,0.05742, 1.000,0.01627,0.06029,0.1234,0.01722,0.03158,0.01531,0.07273,0.1091,0.02584
0.02201,0.07751,0.04211,0.06124,0.07464,0.08708,0.06507,0.03062,0.01627, 1.000,0.1014,0.06029,0.09378,0.05646,0.02679,0.03254,0.05742,0.04976
0.01914,0.08612,0.07464,0.04498,0.03254,0.08517,0.1072,0.07751,0.06029,0.1014, 1.000,0.07847,0.06986,0.05742,0.02967,0.03732,0.02967,0.05550
0.02679,0.08708,0.03062,0.07656,0.04880,0.04785,0.1914,0.05742,0.1234,0.06029,0.07847, 1.000,0.04880,0.1081,0.04976,0.03158,0.03062,0.05455
0.02871,0.1091,0.01435,0.04689,0.07847,0.2268,0.06507,0.07464,0.01722,0.09378,0.06986,0.04880, 1.000,0.08421,0.02488,0.008612,0.02967,0.1789
0.02871,0.2689,0.02775,0.03254,0.03923,0.1177,0.2029,0.06507,0.03158,0.05646,0.05742,0.1081,0.08421, 1.000,0.09474,0.02775,0.02584,0.08612
0.05646,0.07177,0.05837,0.03062,0.02392,0.02392,0.03445,0.02201,0.01531,0.02679,0.02967,0.04976,0.02488,0.09474, 1.000,0.07560,0.02201,0.02775
0.1225,0.02775,0.05167,0.1215,0.03828,0.02488,0.02105,0.02775,0.07273,0.03254,0.03732,0.03158,0.008612,0.02775,0.07560, 1.000,0.07560,0.04402
0.05837,0.02775,0.02679,0.1187,0.06603,0.06986,0.03349,0.01722,0.1091,0.05742,0.02967,0.03062,0.02967,0.02584,0.02201,0.07560, 1.000,0.05933
0.04689,0.1005,0.009569,0.09665,0.05455,0.1292,0.06603,0.03062,0.02584,0.04976,0.05550,0.05455,0.1789,0.08612,0.02775,0.04402,0.05933, 1.000
