Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.2569,0.5361,0.02958,0.03824,0.03896,0.1068,0.03463,0.03608,0.02597,0.09524,0.05916,0.02670,0.2323,0.1623,0.1392,0.02092,0.1169
0.2569, 1.000,0.3521,0.02092,0.02742,0.03247,0.09668,0.03319,0.02742,0.03247,0.07864,0.08947,0.02886,0.09524,0.09812,0.2193,0.03535,0.07937
0.5361,0.3521, 1.000,0.02670,0.03463,0.03535,0.09163,0.03030,0.03463,0.02886,0.07576,0.06061,0.02020,0.1926,0.1349,0.2388,0.02092,0.1227
0.02958,0.02092,0.02670, 1.000,0.6169,0.1602,0.03319,0.03030,0.03175,0.08369,0.03030,0.02886,0.03102,0.02525,0.03319,0.02165,0.06277,0.04690
0.03824,0.02742,0.03463,0.6169, 1.000,0.1934,0.02958,0.02742,0.03752,0.05844,0.03030,0.02309,0.03680,0.02958,0.03175,0.02597,0.07287,0.06566
0.03896,0.03247,0.03535,0.1602,0.1934, 1.000,0.03102,0.03247,0.03824,0.03752,0.03896,0.02381,0.02814,0.02020,0.02453,0.02309,0.1003,0.1392
0.1068,0.09668,0.09163,0.03319,0.02958,0.03102, 1.000,0.03608,0.07071,0.09019,0.3110,0.1551,0.01587,0.07287,0.2439,0.07937,0.03319,0.03968
0.03463,0.03319,0.03030,0.03030,0.02742,0.03247,0.03608, 1.000,0.02381,0.02886,0.02381,0.03680,0.1147,0.02597,0.06349,0.02525,0.01732,0.02525
0.03608,0.02742,0.03463,0.03175,0.03752,0.03824,0.07071,0.02381, 1.000,0.04762,0.1537,0.05628,0.01948,0.03391,0.02814,0.03247,0.03319,0.02092
0.02597,0.03247,0.02886,0.08369,0.05844,0.03752,0.09019,0.02886,0.04762, 1.000,0.05483,0.1544,0.02165,0.03319,0.03896,0.02814,0.05195,0.01804
0.09524,0.07864,0.07576,0.03030,0.03030,0.03896,0.3110,0.02381,0.1537,0.05483, 1.000,0.1154,0.02165,0.05628,0.09163,0.05483,0.02092,0.03030
0.05916,0.08947,0.06061,0.02886,0.02309,0.02381,0.1551,0.03680,0.05628,0.1544,0.1154, 1.000,0.01515,0.02742,0.09091,0.05700,0.01804,0.02381
0.02670,0.02886,0.02020,0.03102,0.03680,0.02814,0.01587,0.1147,0.01948,0.02165,0.02165,0.01515, 1.000,0.03030,0.01587,0.02381,0.02453,0.01587
0.2323,0.09524,0.1926,0.02525,0.02958,0.02020,0.07287,0.02597,0.03391,0.03319,0.05628,0.02742,0.03030, 1.000,0.08874,0.05988,0.02742,0.06854
0.1623,0.09812,0.1349,0.03319,0.03175,0.02453,0.2439,0.06349,0.02814,0.03896,0.09163,0.09091,0.01587,0.08874, 1.000,0.1089,0.02814,0.05772
0.1392,0.2193,0.2388,0.02165,0.02597,0.02309,0.07937,0.02525,0.03247,0.02814,0.05483,0.05700,0.02381,0.05988,0.1089, 1.000,0.02453,0.06926
0.02092,0.03535,0.02092,0.06277,0.07287,0.1003,0.03319,0.01732,0.03319,0.05195,0.02092,0.01804,0.02453,0.02742,0.02814,0.02453, 1.000,0.04401
0.1169,0.07937,0.1227,0.04690,0.06566,0.1392,0.03968,0.02525,0.02092,0.01804,0.03030,0.02381,0.01587,0.06854,0.05772,0.06926,0.04401, 1.000
