Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1822,0.1135,0.04620,0.03102,0.02970,0.02310,0.02574,0.05083,0.04422,0.03630,0.01518,0.02046,0.03498,0.05413,0.03366,0.02112,0.02244
0.1822, 1.000,0.03762,0.01914,0.02838,0.02772,0.03564,0.02178,0.04356,0.05479,0.02310,0.03564,0.01782,0.03366,0.03894,0.03894,0.03234,0.02574
0.1135,0.03762, 1.000,0.05149,0.02706,0.03498,0.02640,0.04686,0.01980,0.03696,0.04686,0.01518,0.03696,0.02970,0.03696,0.05875,0.02244,0.01716
0.04620,0.01914,0.05149, 1.000,0.05941,0.02508,0.02178,0.02112,0.03036,0.02178,0.03036,0.02838,0.02970,0.02640,0.03696,0.04620,0.05677,0.02772
0.03102,0.02838,0.02706,0.05941, 1.000,0.06139,0.02376,0.02706,0.02772,0.02508,0.02244,0.02772,0.04488,0.04026,0.02970,0.03828,0.03234,0.03696
0.02970,0.02772,0.03498,0.02508,0.06139, 1.000,0.03036,0.03102,0.04092,0.01980,0.02244,0.02574,0.04224,0.05149,0.02442,0.01980,0.02178,0.03828
0.02310,0.03564,0.02640,0.02178,0.02376,0.03036, 1.000,0.02244,0.03960,0.03366,0.01980,0.1696,0.02970,0.03960,0.02772,0.01848,0.05809,0.02838
0.02574,0.02178,0.04686,0.02112,0.02706,0.03102,0.02244, 1.000,0.02046,0.03102,0.03036,0.02508,0.1571,0.02178,0.02244,0.03366,0.02706,0.03168
0.05083,0.04356,0.01980,0.03036,0.02772,0.04092,0.03960,0.02046, 1.000,0.03960,0.03168,0.04950,0.02244,0.05677,0.02442,0.03168,0.07261,0.02376
0.04422,0.05479,0.03696,0.02178,0.02508,0.01980,0.03366,0.03102,0.03960, 1.000,0.03036,0.04488,0.02640,0.02244,0.03498,0.02574,0.03168,0.03960
0.03630,0.02310,0.04686,0.03036,0.02244,0.02244,0.01980,0.03036,0.03168,0.03036, 1.000,0.02442,0.05017,0.02046,0.02244,0.07789,0.02706,0.03564
0.01518,0.03564,0.01518,0.02838,0.02772,0.02574,0.1696,0.02508,0.04950,0.04488,0.02442, 1.000,0.03300,0.03036,0.02442,0.02706,0.1221,0.03498
0.02046,0.01782,0.03696,0.02970,0.04488,0.04224,0.02970,0.1571,0.02244,0.02640,0.05017,0.03300, 1.000,0.04884,0.02772,0.03168,0.02508,0.1993
0.03498,0.03366,0.02970,0.02640,0.04026,0.05149,0.03960,0.02178,0.05677,0.02244,0.02046,0.03036,0.04884, 1.000,0.05941,0.02178,0.04158,0.07459
0.05413,0.03894,0.03696,0.03696,0.02970,0.02442,0.02772,0.02244,0.02442,0.03498,0.02244,0.02442,0.02772,0.05941, 1.000,0.06535,0.02376,0.03630
0.03366,0.03894,0.05875,0.04620,0.03828,0.01980,0.01848,0.03366,0.03168,0.02574,0.07789,0.02706,0.03168,0.02178,0.06535, 1.000,0.07195,0.02244
0.02112,0.03234,0.02244,0.05677,0.03234,0.02178,0.05809,0.02706,0.07261,0.03168,0.02706,0.1221,0.02508,0.04158,0.02376,0.07195, 1.000,0.02970
0.02244,0.02574,0.01716,0.02772,0.03696,0.03828,0.02838,0.03168,0.02376,0.03960,0.03564,0.03498,0.1993,0.07459,0.03630,0.02244,0.02970, 1.000
