Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3131,0.1575,0.2406,0.2548,0.1829,0.07244,0.03141,0.03090,0.04205,0.02634,0.03242,0.07599,0.1175,0.1044,0.09220,0.09980,0.1246,0.1221
0.3131, 1.000,0.08055,0.1135,0.1788,0.2158,0.2173,0.02128,0.02584,0.03647,0.02938,0.03749,0.08409,0.1282,0.07345,0.06535,0.06484,0.1317,0.07447
0.1575,0.08055, 1.000,0.1069,0.06890,0.05623,0.04255,0.09929,0.03040,0.03242,0.03343,0.02938,0.03850,0.05826,0.1211,0.09777,0.03445,0.05420,0.05978
0.2406,0.1135,0.1069, 1.000,0.2700,0.1277,0.04914,0.02077,0.04509,0.05927,0.02330,0.03799,0.06991,0.07194,0.06332,0.06535,0.09980,0.1135,0.1525
0.2548,0.1788,0.06890,0.2700, 1.000,0.3546,0.05876,0.03040,0.03141,0.07497,0.03343,0.03597,0.09524,0.06839,0.04357,0.05978,0.1125,0.1418,0.1383
0.1829,0.2158,0.05623,0.1277,0.3546, 1.000,0.08156,0.02685,0.02533,0.06028,0.04509,0.02280,0.09929,0.07801,0.03343,0.05167,0.09524,0.1353,0.1145
0.07244,0.2173,0.04255,0.04914,0.05876,0.08156, 1.000,0.01317,0.02938,0.02077,0.01874,0.1185,0.03799,0.08156,0.08561,0.04610,0.03799,0.06332,0.05015
0.03141,0.02128,0.09929,0.02077,0.03040,0.02685,0.01317, 1.000,0.01874,0.02432,0.04205,0.02381,0.02888,0.01824,0.03850,0.04407,0.03141,0.02381,0.03546
0.03090,0.02584,0.03040,0.04509,0.03141,0.02533,0.02938,0.01874, 1.000,0.04255,0.01925,0.03495,0.03090,0.03141,0.02837,0.03141,0.04509,0.02330,0.04255
0.04205,0.03647,0.03242,0.05927,0.07497,0.06028,0.02077,0.02432,0.04255, 1.000,0.04306,0.03597,0.05674,0.03698,0.01976,0.02229,0.06636,0.04458,0.06332
0.02634,0.02938,0.03343,0.02330,0.03343,0.04509,0.01874,0.04205,0.01925,0.04306, 1.000,0.03546,0.03799,0.02229,0.03090,0.03901,0.02989,0.03394,0.02634
0.03242,0.03749,0.02938,0.03799,0.03597,0.02280,0.1185,0.02381,0.03495,0.03597,0.03546, 1.000,0.02938,0.04762,0.06079,0.02888,0.03040,0.03546,0.03647
0.07599,0.08409,0.03850,0.06991,0.09524,0.09929,0.03799,0.02888,0.03090,0.05674,0.03799,0.02938, 1.000,0.1201,0.03445,0.03445,0.03597,0.1960,0.04559
0.1175,0.1282,0.05826,0.07194,0.06839,0.07801,0.08156,0.01824,0.03141,0.03698,0.02229,0.04762,0.1201, 1.000,0.08156,0.03495,0.03799,0.1312,0.05066
0.1044,0.07345,0.1211,0.06332,0.04357,0.03343,0.08561,0.03850,0.02837,0.01976,0.03090,0.06079,0.03445,0.08156, 1.000,0.1059,0.02634,0.04610,0.03090
0.09220,0.06535,0.09777,0.06535,0.05978,0.05167,0.04610,0.04407,0.03141,0.02229,0.03901,0.02888,0.03445,0.03495,0.1059, 1.000,0.07548,0.03445,0.09068
0.09980,0.06484,0.03445,0.09980,0.1125,0.09524,0.03799,0.03141,0.04509,0.06636,0.02989,0.03040,0.03597,0.03799,0.02634,0.07548, 1.000,0.04255,0.3450
0.1246,0.1317,0.05420,0.1135,0.1418,0.1353,0.06332,0.02381,0.02330,0.04458,0.03394,0.03546,0.1960,0.1312,0.04610,0.03445,0.04255, 1.000,0.08359
0.1221,0.07447,0.05978,0.1525,0.1383,0.1145,0.05015,0.03546,0.04255,0.06332,0.02634,0.03647,0.04559,0.05066,0.03090,0.09068,0.3450,0.08359, 1.000
