Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1070,0.05910,0.09730,0.04324,0.02703,0.02775,0.02234,0.01946,0.02631,0.02739,0.01874,0.02234,0.05297,0.05189,0.03820,0.04252,0.03676
0.1070, 1.000,0.02811,0.03279,0.02955,0.01838,0.06739,0.01730,0.02739,0.02090,0.02486,0.02378,0.02378,0.03532,0.05117,0.02631,0.03423,0.03099
0.05910,0.02811, 1.000,0.03676,0.05658,0.02450,0.02090,0.02703,0.02090,0.02342,0.02234,0.02342,0.02414,0.03207,0.03387,0.03784,0.02486,0.02847
0.09730,0.03279,0.03676, 1.000,0.05405,0.02559,0.02703,0.02090,0.02523,0.02090,0.02667,0.02126,0.02667,0.02955,0.02991,0.02991,0.02739,0.02919
0.04324,0.02955,0.05658,0.05405, 1.000,0.03387,0.02847,0.02991,0.01874,0.02486,0.01946,0.02054,0.02811,0.02991,0.03279,0.03063,0.03748,0.04252
0.02703,0.01838,0.02450,0.02559,0.03387, 1.000,0.02270,0.01910,0.02414,0.02054,0.02450,0.02739,0.03459,0.02919,0.02523,0.02378,0.02595,0.03279
0.02775,0.06739,0.02090,0.02703,0.02847,0.02270, 1.000,0.02306,0.02667,0.02018,0.02234,0.06739,0.02450,0.03135,0.02703,0.02270,0.01910,0.02955
0.02234,0.01730,0.02703,0.02090,0.02991,0.01910,0.02306, 1.000,0.02811,0.02054,0.02559,0.02234,0.02631,0.02126,0.02126,0.02703,0.02234,0.02234
0.01946,0.02739,0.02090,0.02523,0.01874,0.02414,0.02667,0.02811, 1.000,0.01946,0.02342,0.03928,0.02775,0.02270,0.02090,0.02342,0.02991,0.02523
0.02631,0.02090,0.02342,0.02090,0.02486,0.02054,0.02018,0.02054,0.01946, 1.000,0.02595,0.02919,0.02667,0.01946,0.02486,0.01982,0.02450,0.02414
0.02739,0.02486,0.02234,0.02667,0.01946,0.02450,0.02234,0.02559,0.02342,0.02595, 1.000,0.02919,0.02198,0.02378,0.02595,0.02955,0.01910,0.01946
0.01874,0.02378,0.02342,0.02126,0.02054,0.02739,0.06739,0.02234,0.03928,0.02919,0.02919, 1.000,0.03532,0.02955,0.02883,0.01910,0.02667,0.03532
0.02234,0.02378,0.02414,0.02667,0.02811,0.03459,0.02450,0.02631,0.02775,0.02667,0.02198,0.03532, 1.000,0.04252,0.01766,0.02090,0.01874,0.07351
0.05297,0.03532,0.03207,0.02955,0.02991,0.02919,0.03135,0.02126,0.02270,0.01946,0.02378,0.02955,0.04252, 1.000,0.05586,0.02342,0.02486,0.04793
0.05189,0.05117,0.03387,0.02991,0.03279,0.02523,0.02703,0.02126,0.02090,0.02486,0.02595,0.02883,0.01766,0.05586, 1.000,0.04360,0.01802,0.02775
0.03820,0.02631,0.03784,0.02991,0.03063,0.02378,0.02270,0.02703,0.02342,0.01982,0.02955,0.01910,0.02090,0.02342,0.04360, 1.000,0.03135,0.01802
0.04252,0.03423,0.02486,0.02739,0.03748,0.02595,0.01910,0.02234,0.02991,0.02450,0.01910,0.02667,0.01874,0.02486,0.01802,0.03135, 1.000,0.01802
0.03676,0.03099,0.02847,0.02919,0.04252,0.03279,0.02955,0.02234,0.02523,0.02414,0.01946,0.03532,0.07351,0.04793,0.02775,0.01802,0.01802, 1.000
