Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1586,0.1225,0.2054,0.1640,0.06667,0.04144,0.04685,0.04505,0.07568,0.05946,0.04505,0.05045,0.09369,0.1189,0.1207,0.05586,0.08468
0.1586, 1.000,0.05405,0.04865,0.04324,0.05225,0.1532,0.03063,0.03784,0.03423,0.04685,0.04324,0.04865,0.07387,0.1063,0.1045,0.07568,0.03604
0.1225,0.05405, 1.000,0.07748,0.1045,0.04505,0.04685,0.04324,0.05225,0.03784,0.05766,0.03784,0.01441,0.04505,0.05586,0.07207,0.02703,0.03243
0.2054,0.04865,0.07748, 1.000,0.2144,0.05586,0.05766,0.05766,0.07027,0.09550,0.06306,0.03964,0.04685,0.05766,0.05586,0.07748,0.06486,0.09550
0.1640,0.04324,0.1045,0.2144, 1.000,0.1171,0.04324,0.04685,0.04685,0.09910,0.05405,0.03423,0.1225,0.08288,0.05946,0.04865,0.07027,0.1351
0.06667,0.05225,0.04505,0.05586,0.1171, 1.000,0.04324,0.04685,0.02703,0.06126,0.06667,0.02703,0.05766,0.07207,0.05586,0.03964,0.03243,0.09009
0.04144,0.1532,0.04685,0.05766,0.04324,0.04324, 1.000,0.04144,0.03604,0.03784,0.04685,0.2072,0.01622,0.05225,0.05586,0.05045,0.02523,0.03063
0.04685,0.03063,0.04324,0.05766,0.04685,0.04685,0.04144, 1.000,0.05045,0.02883,0.05045,0.02342,0.02883,0.01802,0.04324,0.05225,0.04144,0.02523
0.04505,0.03784,0.05225,0.07027,0.04685,0.02703,0.03604,0.05045, 1.000,0.05586,0.01622,0.07027,0.03243,0.03784,0.04685,0.03243,0.03964,0.03063
0.07568,0.03423,0.03784,0.09550,0.09910,0.06126,0.03784,0.02883,0.05586, 1.000,0.03784,0.04685,0.07928,0.03784,0.05045,0.03423,0.07207,0.08288
0.05946,0.04685,0.05766,0.06306,0.05405,0.06667,0.04685,0.05045,0.01622,0.03784, 1.000,0.04324,0.04324,0.03604,0.03243,0.05946,0.03964,0.05405
0.04505,0.04324,0.03784,0.03964,0.03423,0.02703,0.2072,0.02342,0.07027,0.04685,0.04324, 1.000,0.03063,0.05225,0.07027,0.02883,0.03063,0.02523
0.05045,0.04865,0.01441,0.04685,0.1225,0.05766,0.01622,0.02883,0.03243,0.07928,0.04324,0.03063, 1.000,0.1027,0.06847,0.02703,0.03423,0.1712
0.09369,0.07387,0.04505,0.05766,0.08288,0.07207,0.05225,0.01802,0.03784,0.03784,0.03604,0.05225,0.1027, 1.000,0.1568,0.03784,0.01982,0.09550
0.1189,0.1063,0.05586,0.05586,0.05946,0.05586,0.05586,0.04324,0.04685,0.05045,0.03243,0.07027,0.06847,0.1568, 1.000,0.1117,0.04865,0.07387
0.1207,0.1045,0.07207,0.07748,0.04865,0.03964,0.05045,0.05225,0.03243,0.03423,0.05946,0.02883,0.02703,0.03784,0.1117, 1.000,0.1171,0.01802
0.05586,0.07568,0.02703,0.06486,0.07027,0.03243,0.02523,0.04144,0.03964,0.07207,0.03964,0.03063,0.03423,0.01982,0.04865,0.1171, 1.000,0.04324
0.08468,0.03604,0.03243,0.09550,0.1351,0.09009,0.03063,0.02523,0.03063,0.08288,0.05405,0.02523,0.1712,0.09550,0.07387,0.01802,0.04324, 1.000
