Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2263,0.09947,0.1362,0.1135,0.04873,0.03471,0.03405,0.04072,0.04539,0.01669,0.02603,0.04272,0.06876,0.09746,0.1108,0.05007,0.08011,0.1081
0.2263, 1.000,0.06075,0.07276,0.07610,0.09947,0.1048,0.02203,0.03805,0.03471,0.02069,0.02937,0.05073,0.08344,0.09746,0.08545,0.04005,0.09680,0.06542
0.09947,0.06075, 1.000,0.06208,0.03071,0.02737,0.03538,0.07009,0.03471,0.02537,0.03471,0.02003,0.01068,0.03405,0.07009,0.09947,0.04005,0.03338,0.05541
0.1362,0.07276,0.06208, 1.000,0.1475,0.05274,0.02470,0.02136,0.06742,0.04940,0.02737,0.02603,0.04206,0.04806,0.05674,0.08478,0.09012,0.07610,0.1375
0.1135,0.07610,0.03071,0.1475, 1.000,0.1569,0.02136,0.01869,0.02804,0.07677,0.02603,0.02069,0.06943,0.04206,0.04673,0.05340,0.07477,0.1108,0.1121
0.04873,0.09947,0.02737,0.05274,0.1569, 1.000,0.07009,0.01936,0.03071,0.04606,0.02670,0.01736,0.06142,0.06075,0.04206,0.04406,0.05407,0.09746,0.08812
0.03471,0.1048,0.03538,0.02470,0.02136,0.07009, 1.000,0.02603,0.02737,0.01602,0.03204,0.04206,0.04072,0.09279,0.03939,0.03405,0.01535,0.04139,0.03738
0.03405,0.02203,0.07009,0.02136,0.01869,0.01936,0.02603, 1.000,0.02403,0.03538,0.07410,0.02670,0.04139,0.01469,0.02403,0.02403,0.02537,0.02937,0.02336
0.04072,0.03805,0.03471,0.06742,0.02804,0.03071,0.02737,0.02403, 1.000,0.05274,0.02003,0.05808,0.02937,0.05140,0.03004,0.05007,0.05607,0.03738,0.06208
0.04539,0.03471,0.02537,0.04940,0.07677,0.04606,0.01602,0.03538,0.05274, 1.000,0.06943,0.02804,0.04940,0.02336,0.03338,0.01736,0.04673,0.07009,0.05007
0.01669,0.02069,0.03471,0.02737,0.02603,0.02670,0.03204,0.07410,0.02003,0.06943, 1.000,0.01402,0.04473,0.02470,0.01602,0.01936,0.02069,0.04272,0.02336
0.02603,0.02937,0.02003,0.02603,0.02069,0.01736,0.04206,0.02670,0.05808,0.02804,0.01402, 1.000,0.02603,0.03004,0.01869,0.02537,0.06475,0.02470,0.02470
0.04272,0.05073,0.01068,0.04206,0.06943,0.06142,0.04072,0.04139,0.02937,0.04940,0.04473,0.02603, 1.000,0.06475,0.01736,0.01469,0.02870,0.1322,0.04406
0.06876,0.08344,0.03405,0.04806,0.04206,0.06075,0.09279,0.01469,0.05140,0.02336,0.02470,0.03004,0.06475, 1.000,0.1295,0.04072,0.02804,0.06542,0.03605
0.09746,0.09746,0.07009,0.05674,0.04673,0.04206,0.03939,0.02403,0.03004,0.03338,0.01602,0.01869,0.01736,0.1295, 1.000,0.09546,0.03271,0.03738,0.04072
0.1108,0.08545,0.09947,0.08478,0.05340,0.04406,0.03405,0.02403,0.05007,0.01736,0.01936,0.02537,0.01469,0.04072,0.09546, 1.000,0.06742,0.03138,0.1015
0.05007,0.04005,0.04005,0.09012,0.07477,0.05407,0.01535,0.02537,0.05607,0.04673,0.02069,0.06475,0.02870,0.02804,0.03271,0.06742, 1.000,0.04139,0.1896
0.08011,0.09680,0.03338,0.07610,0.1108,0.09746,0.04139,0.02937,0.03738,0.07009,0.04272,0.02470,0.1322,0.06542,0.03738,0.03138,0.04139, 1.000,0.08678
0.1081,0.06542,0.05541,0.1375,0.1121,0.08812,0.03738,0.02336,0.06208,0.05007,0.02336,0.02470,0.04406,0.03605,0.04072,0.1015,0.1896,0.08678, 1.000
