Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1922,0.1873,0.1286,0.1057,0.09224,0.1000,0.04694,0.04122,0.04327,0.03837,0.03918,0.05388,0.08694,0.1314,0.1678,0.08490,0.07592,0.1053
0.1922, 1.000,0.1012,0.1073,0.1339,0.1282,0.1473,0.03510,0.04408,0.03388,0.03388,0.04694,0.06694,0.1233,0.1294,0.1000,0.07265,0.08286,0.08694
0.1873,0.1012, 1.000,0.1155,0.07265,0.06327,0.07061,0.06571,0.03388,0.04612,0.04776,0.05306,0.03143,0.07592,0.1290,0.1963,0.06735,0.05837,0.1049
0.1286,0.1073,0.1155, 1.000,0.1441,0.07878,0.06531,0.03388,0.06980,0.04776,0.02939,0.05102,0.04408,0.06898,0.08939,0.09633,0.1196,0.1029,0.1588
0.1057,0.1339,0.07265,0.1441, 1.000,0.1637,0.07755,0.03347,0.04408,0.05265,0.03551,0.05143,0.08163,0.08245,0.06122,0.08000,0.09714,0.1449,0.1592
0.09224,0.1282,0.06327,0.07878,0.1637, 1.000,0.1392,0.03714,0.03551,0.03469,0.04327,0.04163,0.06735,0.1127,0.08327,0.07837,0.06612,0.1322,0.1000
0.1000,0.1473,0.07061,0.06531,0.07755,0.1392, 1.000,0.03592,0.04939,0.04816,0.03347,0.07347,0.05633,0.1294,0.1135,0.07918,0.05918,0.07673,0.07020
0.04694,0.03510,0.06571,0.03388,0.03347,0.03714,0.03592, 1.000,0.02408,0.05265,0.06327,0.03143,0.04816,0.05265,0.06245,0.06816,0.03224,0.03061,0.03388
0.04122,0.04408,0.03388,0.06980,0.04408,0.03551,0.04939,0.02408, 1.000,0.05347,0.03020,0.1314,0.04612,0.07714,0.05714,0.03224,0.08327,0.04163,0.05551
0.04327,0.03388,0.04612,0.04776,0.05265,0.03469,0.04816,0.05265,0.05347, 1.000,0.04327,0.07837,0.06245,0.02939,0.05796,0.04000,0.06041,0.03918,0.04245
0.03837,0.03388,0.04776,0.02939,0.03551,0.04327,0.03347,0.06327,0.03020,0.04327, 1.000,0.03306,0.04449,0.04286,0.03510,0.06816,0.03184,0.03633,0.03633
0.03918,0.04694,0.05306,0.05102,0.05143,0.04163,0.07347,0.03143,0.1314,0.07837,0.03306, 1.000,0.03837,0.06816,0.09102,0.03673,0.1033,0.04041,0.04816
0.05388,0.06694,0.03143,0.04408,0.08163,0.06735,0.05633,0.04816,0.04612,0.06245,0.04449,0.03837, 1.000,0.06490,0.04571,0.03347,0.03714,0.09837,0.04816
0.08694,0.1233,0.07592,0.06898,0.08245,0.1127,0.1294,0.05265,0.07714,0.02939,0.04286,0.06816,0.06490, 1.000,0.1094,0.05878,0.05510,0.09755,0.07429
0.1314,0.1294,0.1290,0.08939,0.06122,0.08327,0.1135,0.06245,0.05714,0.05796,0.03510,0.09102,0.04571,0.1094, 1.000,0.1437,0.06735,0.06571,0.08571
0.1678,0.1000,0.1963,0.09633,0.08000,0.07837,0.07918,0.06816,0.03224,0.04000,0.06816,0.03673,0.03347,0.05878,0.1437, 1.000,0.08735,0.05959,0.09633
0.08490,0.07265,0.06735,0.1196,0.09714,0.06612,0.05918,0.03224,0.08327,0.06041,0.03184,0.1033,0.03714,0.05510,0.06735,0.08735, 1.000,0.05265,0.1796
0.07592,0.08286,0.05837,0.1029,0.1449,0.1322,0.07673,0.03061,0.04163,0.03918,0.03633,0.04041,0.09837,0.09755,0.06571,0.05959,0.05265, 1.000,0.1298
0.1053,0.08694,0.1049,0.1588,0.1592,0.1000,0.07020,0.03388,0.05551,0.04245,0.03633,0.04816,0.04816,0.07429,0.08571,0.09633,0.1796,0.1298, 1.000
