Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06101,0.07232,0.07232,0.09131,0.05576,0.02505,0.02141,0.02626,0.02667,0.02707,0.02747,0.04202,0.08889,0.09899,0.08808,0.02747,0.06505,0.06667
0.06101, 1.000,0.03192,0.02949,0.04485,0.1374,0.1002,0.02747,0.02505,0.02424,0.02101,0.02869,0.05293,0.08323,0.09616,0.04727,0.03232,0.05253,0.05697
0.07232,0.03192, 1.000,0.02747,0.02667,0.02061,0.02141,0.04404,0.02465,0.03636,0.04283,0.03556,0.02263,0.03030,0.05131,0.04242,0.02465,0.02586,0.03273
0.07232,0.02949,0.02747, 1.000,0.07838,0.04000,0.02990,0.02990,0.03515,0.03071,0.02263,0.04404,0.03152,0.03434,0.03475,0.04606,0.05535,0.05414,0.07192
0.09131,0.04485,0.02667,0.07838, 1.000,0.1253,0.02303,0.03919,0.02465,0.02909,0.01939,0.04323,0.06343,0.05697,0.03596,0.03960,0.07192,0.07717,0.08606
0.05576,0.1374,0.02061,0.04000,0.1253, 1.000,0.09374,0.04566,0.03071,0.01455,0.02141,0.02990,0.06424,0.07919,0.03636,0.04848,0.02990,0.05010,0.06707
0.02505,0.1002,0.02141,0.02990,0.02303,0.09374, 1.000,0.02949,0.04283,0.03717,0.02343,0.04727,0.02909,0.06101,0.04929,0.03475,0.02182,0.02990,0.02586
0.02141,0.02747,0.04404,0.02990,0.03919,0.04566,0.02949, 1.000,0.02303,0.04242,0.05374,0.02505,0.05212,0.02949,0.02788,0.02343,0.02949,0.04687,0.02505
0.02626,0.02505,0.02465,0.03515,0.02465,0.03071,0.04283,0.02303, 1.000,0.04889,0.02061,0.04000,0.02303,0.04081,0.02990,0.02303,0.06545,0.02949,0.03354
0.02667,0.02424,0.03636,0.03071,0.02909,0.01455,0.03717,0.04242,0.04889, 1.000,0.04848,0.03960,0.02788,0.02101,0.03960,0.02869,0.03717,0.02505,0.03071
0.02707,0.02101,0.04283,0.02263,0.01939,0.02141,0.02343,0.05374,0.02061,0.04848, 1.000,0.02828,0.03273,0.02788,0.02949,0.03232,0.02909,0.02990,0.02424
0.02747,0.02869,0.03556,0.04404,0.04323,0.02990,0.04727,0.02505,0.04000,0.03960,0.02828, 1.000,0.02424,0.02747,0.02626,0.02505,0.04606,0.01818,0.03030
0.04202,0.05293,0.02263,0.03152,0.06343,0.06424,0.02909,0.05212,0.02303,0.02788,0.03273,0.02424, 1.000,0.05495,0.02788,0.01657,0.03354,0.1927,0.05253
0.08889,0.08323,0.03030,0.03434,0.05697,0.07919,0.06101,0.02949,0.04081,0.02101,0.02788,0.02747,0.05495, 1.000,0.08081,0.03030,0.02788,0.07798,0.04242
0.09899,0.09616,0.05131,0.03475,0.03596,0.03636,0.04929,0.02788,0.02990,0.03960,0.02949,0.02626,0.02788,0.08081, 1.000,0.09576,0.02586,0.03273,0.03434
0.08808,0.04727,0.04242,0.04606,0.03960,0.04848,0.03475,0.02343,0.02303,0.02869,0.03232,0.02505,0.01657,0.03030,0.09576, 1.000,0.03111,0.02222,0.05697
0.02747,0.03232,0.02465,0.05535,0.07192,0.02990,0.02182,0.02949,0.06545,0.03717,0.02909,0.04606,0.03354,0.02788,0.02586,0.03111, 1.000,0.04202,0.1059
0.06505,0.05253,0.02586,0.05414,0.07717,0.05010,0.02990,0.04687,0.02949,0.02505,0.02990,0.01818,0.1927,0.07798,0.03273,0.02222,0.04202, 1.000,0.1362
0.06667,0.05697,0.03273,0.07192,0.08606,0.06707,0.02586,0.02505,0.03354,0.03071,0.02424,0.03030,0.05253,0.04242,0.03434,0.05697,0.1059,0.1362, 1.000
