Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2488,0.1662,0.1543,0.1282,0.08175,0.04074,0.01738,0.03150,0.03666,0.02662,0.03015,0.04617,0.1070,0.08066,0.1124,0.07224,0.05649,0.1114
0.2488, 1.000,0.06437,0.06953,0.1228,0.1684,0.07958,0.02797,0.02933,0.02634,0.03015,0.02227,0.05323,0.1442,0.1067,0.08528,0.06138,0.09750,0.1086
0.1662,0.06437, 1.000,0.1046,0.03748,0.03748,0.03504,0.04155,0.02988,0.02716,0.03205,0.02607,0.02906,0.05052,0.09288,0.1143,0.04807,0.04047,0.06980
0.1543,0.06953,0.1046, 1.000,0.1575,0.06735,0.02607,0.02417,0.05921,0.06111,0.03178,0.03938,0.05405,0.04508,0.04074,0.07930,0.1187,0.08881,0.1410
0.1282,0.1228,0.03748,0.1575, 1.000,0.1722,0.03178,0.02281,0.04318,0.1010,0.04101,0.03286,0.08229,0.06192,0.03775,0.05405,0.1078,0.1282,0.1209
0.08175,0.1684,0.03748,0.06735,0.1722, 1.000,0.05622,0.03802,0.03178,0.05540,0.06301,0.02146,0.09153,0.07903,0.04047,0.04644,0.07061,0.1608,0.1086
0.04074,0.07958,0.03504,0.02607,0.03178,0.05622, 1.000,0.02634,0.03015,0.02879,0.02499,0.03965,0.03911,0.06382,0.05160,0.04590,0.03178,0.06138,0.05052
0.01738,0.02797,0.04155,0.02417,0.02281,0.03802,0.02634, 1.000,0.02200,0.04183,0.04997,0.01983,0.08175,0.02200,0.02852,0.02254,0.03232,0.03232,0.02553
0.03150,0.02933,0.02988,0.05921,0.04318,0.03178,0.03015,0.02200, 1.000,0.05622,0.02309,0.03884,0.02689,0.03395,0.02417,0.02988,0.06382,0.02988,0.06382
0.03666,0.02634,0.02716,0.06111,0.1010,0.05540,0.02879,0.04183,0.05622, 1.000,0.05866,0.04916,0.05242,0.03558,0.03341,0.02988,0.07414,0.05378,0.05568
0.02662,0.03015,0.03205,0.03178,0.04101,0.06301,0.02499,0.04997,0.02309,0.05866, 1.000,0.02580,0.07279,0.03884,0.02444,0.03422,0.03585,0.06573,0.03721
0.03015,0.02227,0.02607,0.03938,0.03286,0.02146,0.03965,0.01983,0.03884,0.04916,0.02580, 1.000,0.02960,0.03178,0.02662,0.02010,0.03422,0.02770,0.02363
0.04617,0.05323,0.02906,0.05405,0.08229,0.09153,0.03911,0.08175,0.02689,0.05242,0.07279,0.02960, 1.000,0.05378,0.02662,0.02118,0.04210,0.1616,0.04590
0.1070,0.1442,0.05052,0.04508,0.06192,0.07903,0.06382,0.02200,0.03395,0.03558,0.03884,0.03178,0.05378, 1.000,0.1638,0.04481,0.03178,0.1282,0.04726
0.08066,0.1067,0.09288,0.04074,0.03775,0.04047,0.05160,0.02852,0.02417,0.03341,0.02444,0.02662,0.02662,0.1638, 1.000,0.1127,0.02716,0.05785,0.05133
0.1124,0.08528,0.1143,0.07930,0.05405,0.04644,0.04590,0.02254,0.02988,0.02988,0.03422,0.02010,0.02118,0.04481,0.1127, 1.000,0.06627,0.03694,0.1037
0.07224,0.06138,0.04807,0.1187,0.1078,0.07061,0.03178,0.03232,0.06382,0.07414,0.03585,0.03422,0.04210,0.03178,0.02716,0.06627, 1.000,0.05568,0.1841
0.05649,0.09750,0.04047,0.08881,0.1282,0.1608,0.06138,0.03232,0.02988,0.05378,0.06573,0.02770,0.1616,0.1282,0.05785,0.03694,0.05568, 1.000,0.1442
0.1114,0.1086,0.06980,0.1410,0.1209,0.1086,0.05052,0.02553,0.06382,0.05568,0.03721,0.02363,0.04590,0.04726,0.05133,0.1037,0.1841,0.1442, 1.000
