Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09531,0.07111,0.1783,0.06914,0.03210,0.02519,0.02469,0.01975,0.01926,0.02370,0.02173,0.04444,0.06617,0.04889,0.05827,0.04346,0.05037,0.03951
0.09531, 1.000,0.01580,0.02963,0.1007,0.06469,0.07111,0.02025,0.02272,0.02025,0.01432,0.03111,0.03704,0.1086,0.03951,0.03457,0.02914,0.04494,0.03358
0.07111,0.01580, 1.000,0.1319,0.02272,0.02667,0.01827,0.07210,0.03259,0.02519,0.04790,0.02123,0.02025,0.03111,0.06074,0.06420,0.05037,0.03012,0.05877
0.1783,0.02963,0.1319, 1.000,0.04099,0.02025,0.01679,0.02272,0.02914,0.02617,0.02864,0.02074,0.04543,0.03309,0.04148,0.07160,0.04444,0.05136,0.05481
0.06914,0.1007,0.02272,0.04099, 1.000,0.05630,0.02716,0.02568,0.01778,0.02963,0.02716,0.02914,0.03852,0.04099,0.03259,0.03358,0.02914,0.05235,0.03358
0.03210,0.06469,0.02667,0.02025,0.05630, 1.000,0.1086,0.02519,0.01975,0.01778,0.03309,0.02123,0.03309,0.03951,0.02272,0.02716,0.02272,0.03802,0.02420
0.02519,0.07111,0.01827,0.01679,0.02716,0.1086, 1.000,0.02716,0.02074,0.02568,0.02222,0.01877,0.02864,0.05481,0.04543,0.02222,0.01877,0.03012,0.01926
0.02469,0.02025,0.07210,0.02272,0.02568,0.02519,0.02716, 1.000,0.05037,0.02519,0.04444,0.02963,0.01975,0.02025,0.03457,0.03753,0.03012,0.02420,0.03160
0.01975,0.02272,0.03259,0.02914,0.01778,0.01975,0.02074,0.05037, 1.000,0.03309,0.02519,0.02667,0.02914,0.03160,0.02617,0.03210,0.04494,0.02370,0.05086
0.01926,0.02025,0.02519,0.02617,0.02963,0.01778,0.02568,0.02519,0.03309, 1.000,0.04296,0.02025,0.02519,0.02074,0.03259,0.02864,0.03457,0.02914,0.02370
0.02370,0.01432,0.04790,0.02864,0.02716,0.03309,0.02222,0.04444,0.02519,0.04296, 1.000,0.03062,0.02667,0.01432,0.02716,0.03506,0.02173,0.02765,0.02370
0.02173,0.03111,0.02123,0.02074,0.02914,0.02123,0.01877,0.02963,0.02667,0.02025,0.03062, 1.000,0.02074,0.01975,0.01827,0.02321,0.02123,0.02173,0.02123
0.04444,0.03704,0.02025,0.04543,0.03852,0.03309,0.02864,0.01975,0.02914,0.02519,0.02667,0.02074, 1.000,0.04296,0.02963,0.02074,0.01877,0.1230,0.02815
0.06617,0.1086,0.03111,0.03309,0.04099,0.03951,0.05481,0.02025,0.03160,0.02074,0.01432,0.01975,0.04296, 1.000,0.05432,0.03012,0.02222,0.07457,0.02469
0.04889,0.03951,0.06074,0.04148,0.03259,0.02272,0.04543,0.03457,0.02617,0.03259,0.02716,0.01827,0.02963,0.05432, 1.000,0.07852,0.02765,0.03457,0.03506
0.05827,0.03457,0.06420,0.07160,0.03358,0.02716,0.02222,0.03753,0.03210,0.02864,0.03506,0.02321,0.02074,0.03012,0.07852, 1.000,0.06025,0.02370,0.07111
0.04346,0.02914,0.05037,0.04444,0.02914,0.02272,0.01877,0.03012,0.04494,0.03457,0.02173,0.02123,0.01877,0.02222,0.02765,0.06025, 1.000,0.02025,0.08642
0.05037,0.04494,0.03012,0.05136,0.05235,0.03802,0.03012,0.02420,0.02370,0.02914,0.02765,0.02173,0.1230,0.07457,0.03457,0.02370,0.02025, 1.000,0.04642
0.03951,0.03358,0.05877,0.05481,0.03358,0.02420,0.01926,0.03160,0.05086,0.02370,0.02370,0.02123,0.02815,0.02469,0.03506,0.07111,0.08642,0.04642, 1.000
