Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1004,0.07839,0.2342,0.08770,0.03871,0.03871,0.01078,0.05977,0.03430,0.02793,0.03969,0.03234,0.04459,0.08133,0.1641,0.07104,0.06026,0.09799
0.1004, 1.000,0.03283,0.06320,0.08819,0.09211,0.05830,0.02254,0.03675,0.03871,0.02450,0.02793,0.06663,0.1681,0.09358,0.07447,0.05488,0.1240,0.1098
0.07839,0.03283, 1.000,0.05047,0.03038,0.02499,0.01960,0.1171,0.01960,0.03479,0.04557,0.03038,0.01568,0.03920,0.08525,0.08525,0.02401,0.03381,0.03724
0.2342,0.06320,0.05047, 1.000,0.1411,0.04214,0.02597,0.02303,0.06565,0.06075,0.02205,0.04067,0.03871,0.03724,0.04655,0.07643,0.06859,0.1039,0.1068
0.08770,0.08819,0.03038,0.1411, 1.000,0.1088,0.01323,0.02940,0.04459,0.09946,0.03381,0.02793,0.08182,0.04802,0.04459,0.04116,0.1019,0.1328,0.1142
0.03871,0.09211,0.02499,0.04214,0.1088, 1.000,0.05292,0.03773,0.03626,0.05830,0.05096,0.01274,0.1068,0.05781,0.02646,0.03136,0.05439,0.1112,0.07937
0.03871,0.05830,0.01960,0.02597,0.01323,0.05292, 1.000,0.01715,0.03234,0.01813,0.02548,0.03185,0.04361,0.06516,0.03234,0.02352,0.03381,0.03773,0.03332
0.01078,0.02254,0.1171,0.02303,0.02940,0.03773,0.01715, 1.000,0.03234,0.04655,0.06565,0.02597,0.04606,0.02401,0.04263,0.03822,0.01568,0.02009,0.01274
0.05977,0.03675,0.01960,0.06565,0.04459,0.03626,0.03234,0.03234, 1.000,0.05634,0.03185,0.03479,0.03822,0.02107,0.01421,0.02352,0.06810,0.05243,0.06222
0.03430,0.03871,0.03479,0.06075,0.09946,0.05830,0.01813,0.04655,0.05634, 1.000,0.06075,0.02989,0.03773,0.02793,0.02793,0.03430,0.05634,0.06859,0.05879
0.02793,0.02450,0.04557,0.02205,0.03381,0.05096,0.02548,0.06565,0.03185,0.06075, 1.000,0.02352,0.03969,0.02450,0.01911,0.02793,0.03038,0.03087,0.02695
0.03969,0.02793,0.03038,0.04067,0.02793,0.01274,0.03185,0.02597,0.03479,0.02989,0.02352, 1.000,0.01911,0.01372,0.03087,0.02499,0.02597,0.02695,0.02989
0.03234,0.06663,0.01568,0.03871,0.08182,0.1068,0.04361,0.04606,0.03822,0.03773,0.03969,0.01911, 1.000,0.05439,0.02303,0.02107,0.02597,0.1181,0.04410
0.04459,0.1681,0.03920,0.03724,0.04802,0.05781,0.06516,0.02401,0.02107,0.02793,0.02450,0.01372,0.05439, 1.000,0.1053,0.03381,0.03283,0.07888,0.04949
0.08133,0.09358,0.08525,0.04655,0.04459,0.02646,0.03234,0.04263,0.01421,0.02793,0.01911,0.03087,0.02303,0.1053, 1.000,0.09064,0.01862,0.03675,0.03626
0.1641,0.07447,0.08525,0.07643,0.04116,0.03136,0.02352,0.03822,0.02352,0.03430,0.02793,0.02499,0.02107,0.03381,0.09064, 1.000,0.05830,0.04116,0.08819
0.07104,0.05488,0.02401,0.06859,0.1019,0.05439,0.03381,0.01568,0.06810,0.05634,0.03038,0.02597,0.02597,0.03283,0.01862,0.05830, 1.000,0.06712,0.1979
0.06026,0.1240,0.03381,0.1039,0.1328,0.1112,0.03773,0.02009,0.05243,0.06859,0.03087,0.02695,0.1181,0.07888,0.03675,0.04116,0.06712, 1.000,0.1146
0.09799,0.1098,0.03724,0.1068,0.1142,0.07937,0.03332,0.01274,0.06222,0.05879,0.02695,0.02989,0.04410,0.04949,0.03626,0.08819,0.1979,0.1146, 1.000
