Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03253,0.07997,0.03185,0.02440,0.03253,0.02067,0.09793,0.01830,0.04812,0.06676,0.01898,0.02643,0.03897,0.1217,0.1247,0.01593,0.02474,0.03118
0.03253, 1.000,0.02711,0.02609,0.03965,0.1108,0.2565,0.02677,0.04338,0.02169,0.02203,0.04371,0.03795,0.07218,0.07997,0.03999,0.03084,0.06574,0.04338
0.07997,0.02711, 1.000,0.03592,0.02609,0.01728,0.02372,0.1623,0.02169,0.04304,0.05117,0.03355,0.02270,0.03423,0.05693,0.04575,0.01999,0.02169,0.02813
0.03185,0.02609,0.03592, 1.000,0.08167,0.04304,0.03355,0.03389,0.02304,0.03151,0.01830,0.02406,0.03829,0.03050,0.03558,0.04642,0.04202,0.06981,0.09658
0.02440,0.03965,0.02609,0.08167, 1.000,0.1894,0.02914,0.02779,0.03355,0.04405,0.02474,0.01525,0.1067,0.03829,0.02542,0.01728,0.03524,0.3565,0.09556
0.03253,0.1108,0.01728,0.04304,0.1894, 1.000,0.04676,0.03118,0.03016,0.02982,0.01898,0.02914,0.1206,0.05761,0.02677,0.01965,0.02643,0.2460,0.06032
0.02067,0.2565,0.02372,0.03355,0.02914,0.04676, 1.000,0.02643,0.04066,0.02440,0.02813,0.05117,0.03118,0.04710,0.05015,0.03050,0.02270,0.03728,0.03558
0.09793,0.02677,0.1623,0.03389,0.02779,0.03118,0.02643, 1.000,0.02406,0.03423,0.05151,0.02508,0.04304,0.02440,0.04676,0.05151,0.02508,0.02474,0.02575
0.01830,0.04338,0.02169,0.02304,0.03355,0.03016,0.04066,0.02406, 1.000,0.03592,0.01694,0.04914,0.02474,0.03592,0.03863,0.02101,0.02880,0.03253,0.02575
0.04812,0.02169,0.04304,0.03151,0.04405,0.02982,0.02440,0.03423,0.03592, 1.000,0.04744,0.02711,0.04710,0.01762,0.04100,0.01864,0.02846,0.02846,0.02338
0.06676,0.02203,0.05117,0.01830,0.02474,0.01898,0.02813,0.05151,0.01694,0.04744, 1.000,0.01762,0.02575,0.03050,0.02474,0.03829,0.02338,0.01999,0.02711
0.01898,0.04371,0.03355,0.02406,0.01525,0.02914,0.05117,0.02508,0.04914,0.02711,0.01762, 1.000,0.02304,0.03355,0.03389,0.02135,0.03185,0.02237,0.02372
0.02643,0.03795,0.02270,0.03829,0.1067,0.1206,0.03118,0.04304,0.02474,0.04710,0.02575,0.02304, 1.000,0.02982,0.01288,0.01491,0.02169,0.1447,0.03626
0.03897,0.07218,0.03423,0.03050,0.03829,0.05761,0.04710,0.02440,0.03592,0.01762,0.03050,0.03355,0.02982, 1.000,0.08234,0.02372,0.03050,0.07015,0.04033
0.1217,0.07997,0.05693,0.03558,0.02542,0.02677,0.05015,0.04676,0.03863,0.04100,0.02474,0.03389,0.01288,0.08234, 1.000,0.07726,0.02270,0.02338,0.04202
0.1247,0.03999,0.04575,0.04642,0.01728,0.01965,0.03050,0.05151,0.02101,0.01864,0.03829,0.02135,0.01491,0.02372,0.07726, 1.000,0.03456,0.01932,0.04981
0.01593,0.03084,0.01999,0.04202,0.03524,0.02643,0.02270,0.02508,0.02880,0.02846,0.02338,0.03185,0.02169,0.03050,0.02270,0.03456, 1.000,0.03795,0.1145
0.02474,0.06574,0.02169,0.06981,0.3565,0.2460,0.03728,0.02474,0.03253,0.02846,0.01999,0.02237,0.1447,0.07015,0.02338,0.01932,0.03795, 1.000,0.1267
0.03118,0.04338,0.02813,0.09658,0.09556,0.06032,0.03558,0.02575,0.02575,0.02338,0.02711,0.02372,0.03626,0.04033,0.04202,0.04981,0.1145,0.1267, 1.000
