Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03620,0.04783,0.1261,0.07240,0.02780,0.02456,0.01681,0.01616,0.02262,0.04848,0.02844,0.02715,0.03232,0.07046,0.09308,0.02909,0.06658,0.06206
0.03620, 1.000,0.04913,0.02262,0.01487,0.04202,0.08920,0.01745,0.02844,0.01745,0.01810,0.02262,0.01681,0.07886,0.09050,0.02133,0.02198,0.03297,0.01939
0.04783,0.04913, 1.000,0.02262,0.02844,0.02844,0.04525,0.01616,0.02521,0.03038,0.04977,0.02521,0.02069,0.04137,0.04396,0.06399,0.04008,0.02392,0.01939
0.1261,0.02262,0.02262, 1.000,0.05495,0.02069,0.02650,0.03103,0.03038,0.02650,0.02198,0.01745,0.03685,0.01487,0.009050,0.04137,0.02780,0.04137,0.04848
0.07240,0.01487,0.02844,0.05495, 1.000,0.08209,0.02392,0.02780,0.02198,0.03685,0.01422,0.01810,0.05495,0.02650,0.02973,0.04525,0.09696,0.06076,0.09179
0.02780,0.04202,0.02844,0.02069,0.08209, 1.000,0.02586,0.02973,0.009696,0.03103,0.03749,0.03620,0.04137,0.04137,0.03167,0.009696,0.03814,0.02521,0.05430
0.02456,0.08920,0.04525,0.02650,0.02392,0.02586, 1.000,0.02456,0.03878,0.03103,0.01357,0.01422,0.02392,0.03555,0.02973,0.01034,0.02004,0.05107,0.02456
0.01681,0.01745,0.01616,0.03103,0.02780,0.02973,0.02456, 1.000,0.02586,0.02456,0.02392,0.02521,0.04008,0.02198,0.03038,0.01745,0.02069,0.02456,0.03749
0.01616,0.02844,0.02521,0.03038,0.02198,0.009696,0.03878,0.02586, 1.000,0.02780,0.02392,0.04266,0.01551,0.03878,0.02521,0.009050,0.02780,0.02392,0.02780
0.02262,0.01745,0.03038,0.02650,0.03685,0.03103,0.03103,0.02456,0.02780, 1.000,0.02973,0.04266,0.03814,0.02586,0.03878,0.03167,0.08080,0.03297,0.04719
0.04848,0.01810,0.04977,0.02198,0.01422,0.03749,0.01357,0.02392,0.02392,0.02973, 1.000,0.02456,0.03943,0.02133,0.02521,0.04008,0.02521,0.02715,0.01939
0.02844,0.02262,0.02521,0.01745,0.01810,0.03620,0.01422,0.02521,0.04266,0.04266,0.02456, 1.000,0.01616,0.02456,0.02262,0.02327,0.04460,0.008403,0.05495
0.02715,0.01681,0.02069,0.03685,0.05495,0.04137,0.02392,0.04008,0.01551,0.03814,0.03943,0.01616, 1.000,0.02715,0.02392,0.02586,0.06012,0.1131,0.05947
0.03232,0.07886,0.04137,0.01487,0.02650,0.04137,0.03555,0.02198,0.03878,0.02586,0.02133,0.02456,0.02715, 1.000,0.1209,0.04396,0.01939,0.03297,0.02198
0.07046,0.09050,0.04396,0.009050,0.02973,0.03167,0.02973,0.03038,0.02521,0.03878,0.02521,0.02262,0.02392,0.1209, 1.000,0.05882,0.03103,0.03814,0.02198
0.09308,0.02133,0.06399,0.04137,0.04525,0.009696,0.01034,0.01745,0.009050,0.03167,0.04008,0.02327,0.02586,0.04396,0.05882, 1.000,0.03103,0.03620,0.02650
0.02909,0.02198,0.04008,0.02780,0.09696,0.03814,0.02004,0.02069,0.02780,0.08080,0.02521,0.04460,0.06012,0.01939,0.03103,0.03103, 1.000,0.06141,0.1170
0.06658,0.03297,0.02392,0.04137,0.06076,0.02521,0.05107,0.02456,0.02392,0.03297,0.02715,0.008403,0.1131,0.03297,0.03814,0.03620,0.06141, 1.000,0.1338
0.06206,0.01939,0.01939,0.04848,0.09179,0.05430,0.02456,0.03749,0.02780,0.04719,0.01939,0.05495,0.05947,0.02198,0.02198,0.02650,0.1170,0.1338, 1.000
