Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3455,0.2123,0.2953,0.1817,0.1472,0.1332,0.03123,0.04219,0.04020,0.04120,0.04319,0.05482,0.1090,0.1066,0.1628,0.09336,0.09136,0.1070
0.3455, 1.000,0.1110,0.1462,0.1704,0.2140,0.2429,0.03256,0.03920,0.03787,0.03821,0.03688,0.07342,0.1110,0.09402,0.1199,0.07143,0.1080,0.1003
0.2123,0.1110, 1.000,0.1741,0.07309,0.06113,0.06412,0.05249,0.03953,0.03821,0.05548,0.03189,0.03787,0.06578,0.1193,0.2030,0.06844,0.05349,0.07874
0.2953,0.1462,0.1741, 1.000,0.2734,0.1233,0.06811,0.02724,0.06013,0.05316,0.03289,0.04983,0.05415,0.06379,0.06312,0.1153,0.1558,0.09767,0.1498
0.1817,0.1704,0.07309,0.2734, 1.000,0.3193,0.07542,0.03189,0.04651,0.07110,0.03090,0.03953,0.1027,0.06877,0.04950,0.06179,0.1090,0.1445,0.1269
0.1472,0.2140,0.06113,0.1233,0.3193, 1.000,0.1223,0.04020,0.03056,0.05581,0.03422,0.02691,0.1213,0.08904,0.05382,0.06412,0.06146,0.1362,0.09236
0.1332,0.2429,0.06412,0.06811,0.07542,0.1223, 1.000,0.02691,0.05282,0.04120,0.03322,0.07741,0.05648,0.2017,0.1229,0.06944,0.03953,0.06877,0.05581
0.03123,0.03256,0.05249,0.02724,0.03189,0.04020,0.02691, 1.000,0.03355,0.05216,0.07043,0.03056,0.06545,0.03189,0.04718,0.05449,0.03389,0.03688,0.02957
0.04219,0.03920,0.03953,0.06013,0.04651,0.03056,0.05282,0.03355, 1.000,0.08306,0.02957,0.07741,0.02691,0.04518,0.04153,0.04153,0.1020,0.02757,0.07940
0.04020,0.03787,0.03821,0.05316,0.07110,0.05581,0.04120,0.05216,0.08306, 1.000,0.05714,0.05183,0.06844,0.04319,0.07375,0.04020,0.07841,0.07043,0.08106
0.04120,0.03821,0.05548,0.03289,0.03090,0.03422,0.03322,0.07043,0.02957,0.05714, 1.000,0.02525,0.06578,0.03953,0.05249,0.06512,0.03056,0.04352,0.03422
0.04319,0.03688,0.03189,0.04983,0.03953,0.02691,0.07741,0.03056,0.07741,0.05183,0.02525, 1.000,0.02791,0.05382,0.04718,0.03455,0.06179,0.03023,0.03754
0.05482,0.07342,0.03787,0.05415,0.1027,0.1213,0.05648,0.06545,0.02691,0.06844,0.06578,0.02791, 1.000,0.05615,0.03721,0.04120,0.03654,0.1661,0.05183
0.1090,0.1110,0.06578,0.06379,0.06877,0.08904,0.2017,0.03189,0.04518,0.04319,0.03953,0.05382,0.05615, 1.000,0.1429,0.06711,0.04252,0.09103,0.05116
0.1066,0.09402,0.1193,0.06312,0.04950,0.05382,0.1229,0.04718,0.04153,0.07375,0.05249,0.04718,0.03721,0.1429, 1.000,0.1385,0.04419,0.04651,0.04120
0.1628,0.1199,0.2030,0.1153,0.06179,0.06412,0.06944,0.05449,0.04153,0.04020,0.06512,0.03455,0.04120,0.06711,0.1385, 1.000,0.07841,0.04684,0.07243
0.09336,0.07143,0.06844,0.1558,0.1090,0.06146,0.03953,0.03389,0.1020,0.07841,0.03056,0.06179,0.03654,0.04252,0.04419,0.07841, 1.000,0.05847,0.2551
0.09136,0.1080,0.05349,0.09767,0.1445,0.1362,0.06877,0.03688,0.02757,0.07043,0.04352,0.03023,0.1661,0.09103,0.04651,0.04684,0.05847, 1.000,0.1213
0.1070,0.1003,0.07874,0.1498,0.1269,0.09236,0.05581,0.02957,0.07940,0.08106,0.03422,0.03754,0.05183,0.05116,0.04120,0.07243,0.2551,0.1213, 1.000
