Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1722,0.1374,0.1635,0.1200,0.06087,0.1357,0.02609,0.03478,0.02783,0.05565,0.06435,0.03826,0.05913,0.1009,0.1687,0.1600,0.08000,0.1391
0.1722, 1.000,0.07478,0.1235,0.1548,0.1339,0.1461,0.01043,0.03304,0.02261,0.02435,0.02957,0.08522,0.08174,0.08870,0.1165,0.1096,0.09739,0.1322
0.1374,0.07478, 1.000,0.06609,0.05913,0.08000,0.06609,0.06261,0.02087,0.03478,0.1078,0.05043,0.04870,0.06261,0.1113,0.08174,0.06957,0.06087,0.06957
0.1635,0.1235,0.06609, 1.000,0.1600,0.07826,0.03130,0.03130,0.02957,0.04174,0.02957,0.04696,0.08522,0.06261,0.06087,0.2122,0.2296,0.09913,0.1339
0.1200,0.1548,0.05913,0.1600, 1.000,0.1617,0.05043,0.05217,0.04522,0.07130,0.02957,0.05913,0.1461,0.1357,0.05391,0.1409,0.1687,0.1791,0.2017
0.06087,0.1339,0.08000,0.07826,0.1617, 1.000,0.06609,0.09217,0.02087,0.02609,0.05391,0.001739,0.1357,0.1217,0.09043,0.07652,0.06957,0.1322,0.1130
0.1357,0.1461,0.06609,0.03130,0.05043,0.06609, 1.000,0.01739,0.06261,0.02261,0.06435,0.09739,0.07478,0.1061,0.1113,0.04348,0.03652,0.05913,0.06261
0.02609,0.01043,0.06261,0.03130,0.05217,0.09217,0.01739, 1.000,0.03826,0.05391,0.07478,0.006957,0.04870,0.04696,0.04870,0.02783,0.02609,0.06261,0.02261
0.03478,0.03304,0.02087,0.02957,0.04522,0.02087,0.06261,0.03826, 1.000,0.08348,0.01565,0.1217,0.02783,0.02087,0.02261,0.04870,0.05391,0.04174,0.03478
0.02783,0.02261,0.03478,0.04174,0.07130,0.02609,0.02261,0.05391,0.08348, 1.000,0.06957,0.07304,0.02783,0.03304,0.05391,0.03130,0.02435,0.03130,0.01913
0.05565,0.02435,0.1078,0.02957,0.02957,0.05391,0.06435,0.07478,0.01565,0.06957, 1.000,0.03652,0.05391,0.05913,0.07652,0.05391,0.06087,0.03826,0.03652
0.06435,0.02957,0.05043,0.04696,0.05913,0.001739,0.09739,0.006957,0.1217,0.07304,0.03652, 1.000,0.02783,0.03304,0.03478,0.07304,0.07652,0.04522,0.02261
0.03826,0.08522,0.04870,0.08522,0.1461,0.1357,0.07478,0.04870,0.02783,0.02783,0.05391,0.02783, 1.000,0.6313,0.04174,0.03130,0.06609,0.5009,0.09565
0.05913,0.08174,0.06261,0.06261,0.1357,0.1217,0.1061,0.04696,0.02087,0.03304,0.05913,0.03304,0.6313, 1.000,0.04174,0.03304,0.07478,0.4243,0.07130
0.1009,0.08870,0.1113,0.06087,0.05391,0.09043,0.1113,0.04870,0.02261,0.05391,0.07652,0.03478,0.04174,0.04174, 1.000,0.03652,0.04522,0.03652,0.04174
0.1687,0.1165,0.08174,0.2122,0.1409,0.07652,0.04348,0.02783,0.04870,0.03130,0.05391,0.07304,0.03130,0.03304,0.03652, 1.000,0.5948,0.03478,0.2000
0.1600,0.1096,0.06957,0.2296,0.1687,0.06957,0.03652,0.02609,0.05391,0.02435,0.06087,0.07652,0.06609,0.07478,0.04522,0.5948, 1.000,0.06957,0.2348
0.08000,0.09739,0.06087,0.09913,0.1791,0.1322,0.05913,0.06261,0.04174,0.03130,0.03826,0.04522,0.5009,0.4243,0.03652,0.03478,0.06957, 1.000,0.1565
0.1391,0.1322,0.06957,0.1339,0.2017,0.1130,0.06261,0.02261,0.03478,0.01913,0.03652,0.02261,0.09565,0.07130,0.04174,0.2000,0.2348,0.1565, 1.000
