Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2108,0.1398,0.1161,0.1140,0.06667,0.07312,0.03226,0.03871,0.08602,0.09032,0.06237,0.07957,0.1527,0.1290,0.1570,0.07097,0.09892,0.09462
0.2108, 1.000,0.05376,0.04086,0.06022,0.1183,0.2000,0.02796,0.04301,0.07527,0.06452,0.04946,0.06022,0.1484,0.1527,0.1527,0.05161,0.06452,0.1161
0.1398,0.05376, 1.000,0.06237,0.02581,0.05376,0.02581,0.1075,0.03226,0.06882,0.1032,0.05806,0.05591,0.05806,0.07527,0.1183,0.08172,0.04516,0.06022
0.1161,0.04086,0.06237, 1.000,0.1785,0.07312,0.05161,0.04086,0.04301,0.04946,0.03871,0.06882,0.08602,0.06452,0.07527,0.1312,0.09892,0.09032,0.1097
0.1140,0.06022,0.02581,0.1785, 1.000,0.1462,0.01935,0.05376,0.03011,0.06452,0.05376,0.06022,0.1570,0.08602,0.05161,0.07742,0.1140,0.1527,0.1613
0.06667,0.1183,0.05376,0.07312,0.1462, 1.000,0.1333,0.05591,0.03656,0.02581,0.02796,0.03656,0.1011,0.1183,0.07312,0.07097,0.06237,0.1054,0.1290
0.07312,0.2000,0.02581,0.05161,0.01935,0.1333, 1.000,0.04516,0.07957,0.05161,0.04086,0.1355,0.09462,0.1527,0.1011,0.1075,0.02581,0.09892,0.06452
0.03226,0.02796,0.1075,0.04086,0.05376,0.05591,0.04516, 1.000,0.03011,0.03441,0.1011,0.02796,0.06667,0.02796,0.01505,0.03011,0.03226,0.03226,0.02151
0.03871,0.04301,0.03226,0.04301,0.03011,0.03656,0.07957,0.03011, 1.000,0.05591,0.03011,0.1011,0.03011,0.06452,0.03441,0.02151,0.04946,0.03441,0.01935
0.08602,0.07527,0.06882,0.04946,0.06452,0.02581,0.05161,0.03441,0.05591, 1.000,0.05591,0.07097,0.05161,0.04731,0.1118,0.05591,0.05806,0.03441,0.07097
0.09032,0.06452,0.1032,0.03871,0.05376,0.02796,0.04086,0.1011,0.03011,0.05591, 1.000,0.04946,0.04516,0.02581,0.03656,0.1204,0.07097,0.01935,0.03656
0.06237,0.04946,0.05806,0.06882,0.06022,0.03656,0.1355,0.02796,0.1011,0.07097,0.04946, 1.000,0.04946,0.06237,0.02796,0.05376,0.06882,0.03441,0.02796
0.07957,0.06022,0.05591,0.08602,0.1570,0.1011,0.09462,0.06667,0.03011,0.05161,0.04516,0.04946, 1.000,0.2108,0.06667,0.02796,0.04731,0.2753,0.06237
0.1527,0.1484,0.05806,0.06452,0.08602,0.1183,0.1527,0.02796,0.06452,0.04731,0.02581,0.06237,0.2108, 1.000,0.1398,0.05806,0.02796,0.1828,0.06667
0.1290,0.1527,0.07527,0.07527,0.05161,0.07312,0.1011,0.01505,0.03441,0.1118,0.03656,0.02796,0.06667,0.1398, 1.000,0.1398,0.05376,0.07312,0.1075
0.1570,0.1527,0.1183,0.1312,0.07742,0.07097,0.1075,0.03011,0.02151,0.05591,0.1204,0.05376,0.02796,0.05806,0.1398, 1.000,0.07957,0.06882,0.1892
0.07097,0.05161,0.08172,0.09892,0.1140,0.06237,0.02581,0.03226,0.04946,0.05806,0.07097,0.06882,0.04731,0.02796,0.05376,0.07957, 1.000,0.06452,0.2151
0.09892,0.06452,0.04516,0.09032,0.1527,0.1054,0.09892,0.03226,0.03441,0.03441,0.01935,0.03441,0.2753,0.1828,0.07312,0.06882,0.06452, 1.000,0.1935
0.09462,0.1161,0.06022,0.1097,0.1613,0.1290,0.06452,0.02151,0.01935,0.07097,0.03656,0.02796,0.06237,0.06667,0.1075,0.1892,0.2151,0.1935, 1.000
