Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06091,0.05178,0.1563,0.07005,0.04365,0.03249,0.06396,0.03046,0.02030,0.01218,0.04162,0.01624,0.04569,0.04670,0.04365,0.04467,0.07716,0.06497
0.06091, 1.000,0.02335,0.08020,0.07107,0.08122,0.03452,0.05178,0.02335,0.02944,0.01015,0.04873,0.05381,0.06701,0.03249,0.04569,0.06294,0.05279,0.08122
0.05178,0.02335, 1.000,0.06193,0.02335,0.03350,0.03655,0.03249,0.04162,0.02132,0.04975,0.05279,0.06396,0.03046,0.03655,0.04061,0.04670,0.05076,0.06396
0.1563,0.08020,0.06193, 1.000,0.06193,0.04365,0.02335,0.05482,0.03655,0.04365,0.01320,0.03858,0.04670,0.04467,0.03249,0.03553,0.08020,0.04975,0.06802
0.07005,0.07107,0.02335,0.06193, 1.000,0.09137,0.02640,0.03858,0.05076,0.04975,0.03756,0.02843,0.08122,0.03147,0.02741,0.01827,0.03046,0.05178,0.03959
0.04365,0.08122,0.03350,0.04365,0.09137, 1.000,0.05888,0.08223,0.04162,0.05076,0.02335,0.04975,0.07919,0.04670,0.01218,0.04061,0.05076,0.04975,0.05178
0.03249,0.03452,0.03655,0.02335,0.02640,0.05888, 1.000,0.01523,0.02234,0.01624,0.02843,0.08934,0.01624,0.02132,0.04162,0.03553,0.04162,0.02843,0.01827
0.06396,0.05178,0.03249,0.05482,0.03858,0.08223,0.01523, 1.000,0.04772,0.06193,0.04365,0.02640,0.04061,0.05076,0.03147,0.03046,0.02538,0.04264,0.03756
0.03046,0.02335,0.04162,0.03655,0.05076,0.04162,0.02234,0.04772, 1.000,0.05990,0.01624,0.06599,0.04873,0.04162,0.01218,0.07005,0.02944,0.03350,0.05279
0.02030,0.02944,0.02132,0.04365,0.04975,0.05076,0.01624,0.06193,0.05990, 1.000,0.01827,0.03249,0.05279,0.02538,0.03553,0.02640,0.05381,0.02234,0.03756
0.01218,0.01015,0.04975,0.01320,0.03756,0.02335,0.02843,0.04365,0.01624,0.01827, 1.000,0.01624,0.05076,0.03147,0.04467,0.03553,0.02030,0.01624,0.03249
0.04162,0.04873,0.05279,0.03858,0.02843,0.04975,0.08934,0.02640,0.06599,0.03249,0.01624, 1.000,0.02843,0.02234,0.03756,0.04162,0.06091,0.01827,0.02132
0.01624,0.05381,0.06396,0.04670,0.08122,0.07919,0.01624,0.04061,0.04873,0.05279,0.05076,0.02843, 1.000,0.03655,0.01726,0.02132,0.03959,0.06802,0.02437
0.04569,0.06701,0.03046,0.04467,0.03147,0.04670,0.02132,0.05076,0.04162,0.02538,0.03147,0.02234,0.03655, 1.000,0.03858,0.03452,0.03858,0.04772,0.05178
0.04670,0.03249,0.03655,0.03249,0.02741,0.01218,0.04162,0.03147,0.01218,0.03553,0.04467,0.03756,0.01726,0.03858, 1.000,0.06497,0.02538,0.02132,0.03756
0.04365,0.04569,0.04061,0.03553,0.01827,0.04061,0.03553,0.03046,0.07005,0.02640,0.03553,0.04162,0.02132,0.03452,0.06497, 1.000,0.04061,0.02132,0.04061
0.04467,0.06294,0.04670,0.08020,0.03046,0.05076,0.04162,0.02538,0.02944,0.05381,0.02030,0.06091,0.03959,0.03858,0.02538,0.04061, 1.000,0.04365,0.08832
0.07716,0.05279,0.05076,0.04975,0.05178,0.04975,0.02843,0.04264,0.03350,0.02234,0.01624,0.01827,0.06802,0.04772,0.02132,0.02132,0.04365, 1.000,0.04467
0.06497,0.08122,0.06396,0.06802,0.03959,0.05178,0.01827,0.03756,0.05279,0.03756,0.03249,0.02132,0.02437,0.05178,0.03756,0.04061,0.08832,0.04467, 1.000
