Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2145,0.1032,0.1505,0.1272,0.03230,0.03830,0.02464,0.02098,0.01532,0.03430,0.04229,0.05261,0.07393,0.06693,0.09091,0.1668,0.1232,0.1885
0.2145, 1.000,0.03430,0.07226,0.1419,0.1129,0.1079,0.01965,0.01965,0.01798,0.02664,0.03230,0.07226,0.1049,0.07992,0.05828,0.08991,0.1505,0.1359
0.1032,0.03430, 1.000,0.06494,0.03863,0.02764,0.01998,0.07792,0.02697,0.02065,0.07459,0.06260,0.01565,0.03230,0.04762,0.05927,0.05528,0.03097,0.04595
0.1505,0.07226,0.06494, 1.000,0.08924,0.02597,0.02564,0.03197,0.02298,0.02198,0.01898,0.03530,0.03164,0.04829,0.04029,0.05927,0.08525,0.07859,0.09257
0.1272,0.1419,0.03863,0.08924, 1.000,0.1079,0.04729,0.02864,0.03030,0.02464,0.03064,0.02697,0.1139,0.1299,0.05095,0.06094,0.07892,0.3460,0.1205
0.03230,0.1129,0.02764,0.02597,0.1079, 1.000,0.1312,0.04662,0.02930,0.03696,0.06027,0.04496,0.07626,0.08725,0.05761,0.04063,0.02464,0.08691,0.04562
0.03830,0.1079,0.01998,0.02564,0.04729,0.1312, 1.000,0.04995,0.03929,0.02897,0.03663,0.04163,0.04928,0.07160,0.05728,0.03696,0.02231,0.04063,0.03630
0.02464,0.01965,0.07792,0.03197,0.02864,0.04662,0.04995, 1.000,0.02797,0.03963,0.1948,0.03497,0.06827,0.03263,0.04229,0.03030,0.02364,0.03130,0.02797
0.02098,0.01965,0.02697,0.02298,0.03030,0.02930,0.03929,0.02797, 1.000,0.01965,0.02331,0.05162,0.02264,0.03463,0.02764,0.02597,0.03596,0.02930,0.02198
0.01532,0.01798,0.02065,0.02198,0.02464,0.03696,0.02897,0.03963,0.01965, 1.000,0.05395,0.02298,0.03963,0.02464,0.02098,0.01698,0.02531,0.03463,0.02131
0.03430,0.02664,0.07459,0.01898,0.03064,0.06027,0.03663,0.1948,0.02331,0.05395, 1.000,0.04362,0.07659,0.03497,0.02697,0.03663,0.02564,0.04562,0.02697
0.04229,0.03230,0.06260,0.03530,0.02697,0.04496,0.04163,0.03497,0.05162,0.02298,0.04362, 1.000,0.01865,0.02731,0.02031,0.02098,0.05428,0.02997,0.03397
0.05261,0.07226,0.01565,0.03164,0.1139,0.07626,0.04928,0.06827,0.02264,0.03963,0.07659,0.01865, 1.000,0.06793,0.02398,0.01532,0.02464,0.2644,0.02997
0.07393,0.1049,0.03230,0.04829,0.1299,0.08725,0.07160,0.03263,0.03463,0.02464,0.03497,0.02731,0.06793, 1.000,0.1572,0.04895,0.02597,0.1235,0.03263
0.06693,0.07992,0.04762,0.04029,0.05095,0.05761,0.05728,0.04229,0.02764,0.02098,0.02697,0.02031,0.02398,0.1572, 1.000,0.08758,0.02431,0.04429,0.04862
0.09091,0.05828,0.05927,0.05927,0.06094,0.04063,0.03696,0.03030,0.02597,0.01698,0.03663,0.02098,0.01532,0.04895,0.08758, 1.000,0.1046,0.03896,0.1039
0.1668,0.08991,0.05528,0.08525,0.07892,0.02464,0.02231,0.02364,0.03596,0.02531,0.02564,0.05428,0.02464,0.02597,0.02431,0.1046, 1.000,0.07026,0.3260
0.1232,0.1505,0.03097,0.07859,0.3460,0.08691,0.04063,0.03130,0.02930,0.03463,0.04562,0.02997,0.2644,0.1235,0.04429,0.03896,0.07026, 1.000,0.08691
0.1885,0.1359,0.04595,0.09257,0.1205,0.04562,0.03630,0.02797,0.02198,0.02131,0.02697,0.03397,0.02997,0.03263,0.04862,0.1039,0.3260,0.08691, 1.000
