Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4141,0.5193,0.5258,0.5172,0.2164,0.1992,0.2282,0.1203,0.02578,0.1063,0.1037,0.4033,0.3931,0.4339,0.4339,0.4817,0.4307,0.4678
0.4141, 1.000,0.3679,0.3921,0.3904,0.2589,0.2691,0.2798,0.1289,0.02524,0.1386,0.1584,0.4570,0.4302,0.4291,0.4092,0.4415,0.4501,0.4372
0.5193,0.3679, 1.000,0.5596,0.5365,0.1917,0.1821,0.1907,0.09882,0.02685,0.09774,0.09506,0.3738,0.3502,0.4114,0.4307,0.4495,0.4028,0.4533
0.5258,0.3921,0.5596, 1.000,0.5215,0.2073,0.2019,0.2105,0.1090,0.02524,0.1058,0.09560,0.3942,0.3641,0.4296,0.4307,0.4801,0.4076,0.4769
0.5172,0.3904,0.5365,0.5215, 1.000,0.1971,0.1955,0.2030,0.1042,0.02632,0.1047,0.1042,0.3915,0.3641,0.4189,0.4227,0.4850,0.3980,0.4651
0.2164,0.2589,0.1917,0.2073,0.1971, 1.000,0.2755,0.1933,0.1047,0.02256,0.1386,0.1622,0.2932,0.3008,0.2583,0.2180,0.2626,0.2782,0.2626
0.1992,0.2691,0.1821,0.2019,0.1955,0.2755, 1.000,0.2078,0.1133,0.02954,0.1423,0.2030,0.2879,0.2884,0.2653,0.2180,0.2433,0.2798,0.2615
0.2282,0.2798,0.1907,0.2105,0.2030,0.1933,0.2078, 1.000,0.1230,0.01933,0.1412,0.1525,0.2718,0.2578,0.2105,0.1837,0.2014,0.2395,0.2202
0.1203,0.1289,0.09882,0.1090,0.1042,0.1047,0.1133,0.1230, 1.000,0.02363,0.08217,0.07787,0.1198,0.1149,0.1015,0.09076,0.09774,0.1144,0.1026
0.02578,0.02524,0.02685,0.02524,0.02632,0.02256,0.02954,0.01933,0.02363, 1.000,0.01557,0.02095,0.02363,0.02148,0.02578,0.02793,0.02632,0.03115,0.02309
0.1063,0.1386,0.09774,0.1058,0.1047,0.1386,0.1423,0.1412,0.08217,0.01557, 1.000,0.1498,0.1418,0.1504,0.1289,0.1219,0.1187,0.1455,0.1192
0.1037,0.1584,0.09506,0.09560,0.1042,0.1622,0.2030,0.1525,0.07787,0.02095,0.1498, 1.000,0.1563,0.1713,0.1466,0.1133,0.1316,0.1649,0.1257
0.4033,0.4570,0.3738,0.3942,0.3915,0.2932,0.2879,0.2718,0.1198,0.02363,0.1418,0.1563, 1.000,0.4603,0.3915,0.3346,0.3969,0.4409,0.4071
0.3931,0.4302,0.3502,0.3641,0.3641,0.3008,0.2884,0.2578,0.1149,0.02148,0.1504,0.1713,0.4603, 1.000,0.3937,0.3319,0.3861,0.4205,0.3851
0.4339,0.4291,0.4114,0.4296,0.4189,0.2583,0.2653,0.2105,0.1015,0.02578,0.1289,0.1466,0.3915,0.3937, 1.000,0.3958,0.4565,0.4291,0.4501
0.4339,0.4092,0.4307,0.4307,0.4227,0.2180,0.2180,0.1837,0.09076,0.02793,0.1219,0.1133,0.3346,0.3319,0.3958, 1.000,0.4699,0.3818,0.4286
0.4817,0.4415,0.4495,0.4801,0.4850,0.2626,0.2433,0.2014,0.09774,0.02632,0.1187,0.1316,0.3969,0.3861,0.4565,0.4699, 1.000,0.4415,0.4882
0.4307,0.4501,0.4028,0.4076,0.3980,0.2782,0.2798,0.2395,0.1144,0.03115,0.1455,0.1649,0.4409,0.4205,0.4291,0.3818,0.4415, 1.000,0.4248
0.4678,0.4372,0.4533,0.4769,0.4651,0.2626,0.2615,0.2202,0.1026,0.02309,0.1192,0.1257,0.4071,0.3851,0.4501,0.4286,0.4882,0.4248, 1.000
