Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2522,0.2874,0.3759,0.3158,0.07056,0.06651,0.1336,0.09890,0.03065,0.03586,0.03817,0.2568,0.2290,0.2313,0.1683,0.2603,0.2261,0.2267
0.2522, 1.000,0.1417,0.2105,0.2140,0.1012,0.1082,0.1492,0.08039,0.02429,0.03991,0.06478,0.2805,0.2568,0.2348,0.1752,0.3077,0.2435,0.2660
0.2874,0.1417, 1.000,0.3164,0.3302,0.04396,0.04164,0.09890,0.08386,0.02892,0.02313,0.03065,0.1724,0.1405,0.1712,0.1567,0.1793,0.1521,0.1683
0.3759,0.2105,0.3164, 1.000,0.3233,0.05668,0.04974,0.1163,0.08849,0.02834,0.02603,0.02892,0.2273,0.1955,0.2134,0.1966,0.2290,0.1880,0.1903
0.3158,0.2140,0.3302,0.3233, 1.000,0.05437,0.04858,0.1382,0.1122,0.02834,0.02776,0.04974,0.2198,0.1735,0.1932,0.1712,0.2689,0.2146,0.1903
0.07056,0.1012,0.04396,0.05668,0.05437, 1.000,0.1255,0.1076,0.04453,0.01562,0.07519,0.07230,0.09427,0.09312,0.08329,0.09254,0.08502,0.09774,0.1018
0.06651,0.1082,0.04164,0.04974,0.04858,0.1255, 1.000,0.07345,0.04511,0.02198,0.07287,0.1070,0.09370,0.09485,0.09196,0.08502,0.1053,0.1087,0.1082
0.1336,0.1492,0.09890,0.1163,0.1382,0.1076,0.07345, 1.000,0.08039,0.03644,0.04222,0.07114,0.1544,0.1186,0.1446,0.1197,0.1405,0.1336,0.1284
0.09890,0.08039,0.08386,0.08849,0.1122,0.04453,0.04511,0.08039, 1.000,0.02082,0.02950,0.02024,0.08329,0.07519,0.06940,0.06246,0.08329,0.06420,0.07692
0.03065,0.02429,0.02892,0.02834,0.02834,0.01562,0.02198,0.03644,0.02082, 1.000,0.02660,0.01388,0.02140,0.03528,0.02545,0.01272,0.02140,0.01735,0.03123
0.03586,0.03991,0.02313,0.02603,0.02776,0.07519,0.07287,0.04222,0.02950,0.02660, 1.000,0.06015,0.05726,0.04916,0.04106,0.02024,0.03702,0.03470,0.04338
0.03817,0.06478,0.03065,0.02892,0.04974,0.07230,0.1070,0.07114,0.02024,0.01388,0.06015, 1.000,0.05205,0.07634,0.05899,0.06767,0.06420,0.07114,0.04800
0.2568,0.2805,0.1724,0.2273,0.2198,0.09427,0.09370,0.1544,0.08329,0.02140,0.05726,0.05205, 1.000,0.2285,0.2233,0.1637,0.2921,0.2481,0.2238
0.2290,0.2568,0.1405,0.1955,0.1735,0.09312,0.09485,0.1186,0.07519,0.03528,0.04916,0.07634,0.2285, 1.000,0.2099,0.1515,0.2256,0.2117,0.2227
0.2313,0.2348,0.1712,0.2134,0.1932,0.08329,0.09196,0.1446,0.06940,0.02545,0.04106,0.05899,0.2233,0.2099, 1.000,0.1683,0.2418,0.2105,0.2019
0.1683,0.1752,0.1567,0.1966,0.1712,0.09254,0.08502,0.1197,0.06246,0.01272,0.02024,0.06767,0.1637,0.1515,0.1683, 1.000,0.1891,0.1781,0.1891
0.2603,0.3077,0.1793,0.2290,0.2689,0.08502,0.1053,0.1405,0.08329,0.02140,0.03702,0.06420,0.2921,0.2256,0.2418,0.1891, 1.000,0.2389,0.2429
0.2261,0.2435,0.1521,0.1880,0.2146,0.09774,0.1087,0.1336,0.06420,0.01735,0.03470,0.07114,0.2481,0.2117,0.2105,0.1781,0.2389, 1.000,0.2053
0.2267,0.2660,0.1683,0.1903,0.1903,0.1018,0.1082,0.1284,0.07692,0.03123,0.04338,0.04800,0.2238,0.2227,0.2019,0.1891,0.2429,0.2053, 1.000
