Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1031,0.05609,0.1242,0.1055,0.06040,0.04794,0.02876,0.02637,0.02109,0.04554,0.04938,0.02780,0.02589,0.1232,0.1294,0.1520,0.06616,0.1477
0.1031, 1.000,0.03068,0.07335,0.09588,0.1021,0.06951,0.02013,0.02013,0.02828,0.03116,0.03404,0.05081,0.05992,0.07574,0.08533,0.1055,0.08150,0.1141
0.05609,0.03068, 1.000,0.07478,0.03308,0.02589,0.03116,0.06184,0.02780,0.03308,0.07239,0.06280,0.02780,0.02013,0.06903,0.05944,0.07670,0.03164,0.05944
0.1242,0.07335,0.07478, 1.000,0.08054,0.05177,0.02589,0.02589,0.01918,0.02924,0.05273,0.06184,0.03452,0.02685,0.09827,0.1136,0.1294,0.04267,0.1136
0.1055,0.09588,0.03308,0.08054, 1.000,0.07622,0.05705,0.02301,0.02253,0.02397,0.02828,0.03979,0.03595,0.03212,0.09779,0.07766,0.09875,0.08341,0.1107
0.06040,0.1021,0.02589,0.05177,0.07622, 1.000,0.07526,0.02685,0.02253,0.02972,0.02876,0.02972,0.05801,0.07287,0.05849,0.06711,0.06951,0.06951,0.08198
0.04794,0.06951,0.03116,0.02589,0.05705,0.07526, 1.000,0.02780,0.02397,0.02733,0.03020,0.01726,0.07239,0.06040,0.04410,0.04554,0.05081,0.07047,0.05417
0.02876,0.02013,0.06184,0.02589,0.02301,0.02685,0.02780, 1.000,0.03068,0.02109,0.05513,0.03643,0.03979,0.03691,0.03212,0.02733,0.03404,0.02301,0.02589
0.02637,0.02013,0.02780,0.01918,0.02253,0.02253,0.02397,0.03068, 1.000,0.02780,0.02637,0.01630,0.01774,0.02205,0.02589,0.02013,0.02733,0.02157,0.02205
0.02109,0.02828,0.03308,0.02924,0.02397,0.02972,0.02733,0.02109,0.02780, 1.000,0.01965,0.02828,0.03595,0.02157,0.02780,0.02780,0.02205,0.03116,0.02685
0.04554,0.03116,0.07239,0.05273,0.02828,0.02876,0.03020,0.05513,0.02637,0.01965, 1.000,0.06616,0.02253,0.02061,0.05034,0.03931,0.05177,0.01822,0.04794
0.04938,0.03404,0.06280,0.06184,0.03979,0.02972,0.01726,0.03643,0.01630,0.02828,0.06616, 1.000,0.02157,0.02972,0.02876,0.04027,0.03931,0.03068,0.03260
0.02780,0.05081,0.02780,0.03452,0.03595,0.05801,0.07239,0.03979,0.01774,0.03595,0.02253,0.02157, 1.000,0.08725,0.02685,0.02445,0.02637,0.05992,0.03212
0.02589,0.05992,0.02013,0.02685,0.03212,0.07287,0.06040,0.03691,0.02205,0.02157,0.02061,0.02972,0.08725, 1.000,0.02828,0.03308,0.02445,0.05609,0.02972
0.1232,0.07574,0.06903,0.09827,0.09779,0.05849,0.04410,0.03212,0.02589,0.02780,0.05034,0.02876,0.02685,0.02828, 1.000,0.09827,0.1385,0.05801,0.09204
0.1294,0.08533,0.05944,0.1136,0.07766,0.06711,0.04554,0.02733,0.02013,0.02780,0.03931,0.04027,0.02445,0.03308,0.09827, 1.000,0.1477,0.05465,0.09396
0.1520,0.1055,0.07670,0.1294,0.09875,0.06951,0.05081,0.03404,0.02733,0.02205,0.05177,0.03931,0.02637,0.02445,0.1385,0.1477, 1.000,0.07430,0.1649
0.06616,0.08150,0.03164,0.04267,0.08341,0.06951,0.07047,0.02301,0.02157,0.03116,0.01822,0.03068,0.05992,0.05609,0.05801,0.05465,0.07430, 1.000,0.06520
0.1477,0.1141,0.05944,0.1136,0.1107,0.08198,0.05417,0.02589,0.02205,0.02685,0.04794,0.03260,0.03212,0.02972,0.09204,0.09396,0.1649,0.06520, 1.000
