Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03233,0.06051,0.05133,0.01769,0.04456,0.04653,0.04937,0.04478,0.02075,0.06575,0.06356,0.03211,0.02031,0.02512,0.06182,0.07383,0.02163,0.04107
0.03233, 1.000,0.06881,0.07187,0.03386,0.1153,0.1005,0.1057,0.08585,0.07383,0.04893,0.04456,0.1175,0.08017,0.07973,0.02381,0.02206,0.05789,0.02097
0.06051,0.06881, 1.000,0.08475,0.02381,0.08956,0.07951,0.1077,0.07907,0.04391,0.08519,0.07165,0.09152,0.03735,0.05046,0.04675,0.05221,0.03386,0.02862
0.05133,0.07187,0.08475, 1.000,0.02294,0.07798,0.08191,0.09699,0.09567,0.04522,0.06859,0.06204,0.08257,0.04631,0.04128,0.04500,0.04522,0.03473,0.02949
0.01769,0.03386,0.02381,0.02294, 1.000,0.03014,0.02337,0.03670,0.03145,0.05832,0.02272,0.02010,0.04653,0.05264,0.05461,0.02578,0.03058,0.07711,0.04543
0.04456,0.1153,0.08956,0.07798,0.03014, 1.000,0.1114,0.09939,0.08628,0.05876,0.07230,0.07449,0.09611,0.05898,0.05745,0.03997,0.04128,0.03561,0.02621
0.04653,0.1005,0.07951,0.08191,0.02337,0.1114, 1.000,0.08541,0.08694,0.05417,0.07318,0.06990,0.09152,0.04740,0.06182,0.03735,0.04631,0.03364,0.02730
0.04937,0.1057,0.1077,0.09699,0.03670,0.09939,0.08541, 1.000,0.1287,0.05548,0.06859,0.06488,0.1636,0.06029,0.06182,0.03429,0.03604,0.03582,0.02184
0.04478,0.08585,0.07907,0.09567,0.03145,0.08628,0.08694,0.1287, 1.000,0.05308,0.06073,0.05723,0.1003,0.05614,0.04915,0.03844,0.03932,0.03626,0.02315
0.02075,0.07383,0.04391,0.04522,0.05832,0.05876,0.05417,0.05548,0.05308, 1.000,0.03648,0.03823,0.06924,0.06881,0.06837,0.02643,0.02993,0.05810,0.02796
0.06575,0.04893,0.08519,0.06859,0.02272,0.07230,0.07318,0.06859,0.06073,0.03648, 1.000,0.09699,0.05505,0.03823,0.03429,0.07733,0.08017,0.02534,0.04085
0.06356,0.04456,0.07165,0.06204,0.02010,0.07449,0.06990,0.06488,0.05723,0.03823,0.09699, 1.000,0.05417,0.03408,0.03167,0.06356,0.06509,0.02250,0.04216
0.03211,0.1175,0.09152,0.08257,0.04653,0.09611,0.09152,0.1636,0.1003,0.06924,0.05505,0.05417, 1.000,0.09109,0.07296,0.03102,0.02774,0.04762,0.02206
0.02031,0.08017,0.03735,0.04631,0.05264,0.05898,0.04740,0.06029,0.05614,0.06881,0.03823,0.03408,0.09109, 1.000,0.06662,0.02163,0.02206,0.05876,0.02141
0.02512,0.07973,0.05046,0.04128,0.05461,0.05745,0.06182,0.06182,0.04915,0.06837,0.03429,0.03167,0.07296,0.06662, 1.000,0.01529,0.02599,0.05657,0.02272
0.06182,0.02381,0.04675,0.04500,0.02578,0.03997,0.03735,0.03429,0.03844,0.02643,0.07733,0.06356,0.03102,0.02163,0.01529, 1.000,0.07623,0.01857,0.04784
0.07383,0.02206,0.05221,0.04522,0.03058,0.04128,0.04631,0.03604,0.03932,0.02993,0.08017,0.06509,0.02774,0.02206,0.02599,0.07623, 1.000,0.02490,0.06356
0.02163,0.05789,0.03386,0.03473,0.07711,0.03561,0.03364,0.03582,0.03626,0.05810,0.02534,0.02250,0.04762,0.05876,0.05657,0.01857,0.02490, 1.000,0.02905
0.04107,0.02097,0.02862,0.02949,0.04543,0.02621,0.02730,0.02184,0.02315,0.02796,0.04085,0.04216,0.02206,0.02141,0.02272,0.04784,0.06356,0.02905, 1.000
