Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02759,0.08579,0.4803,0.03061,0.03326,0.03704,0.08390,0.05782,0.04460,0.05064,0.04233,0.08390,0.05026,0.02570,0.1224,0.1277,0.03515,0.1198
0.02759, 1.000,0.07483,0.02872,0.4475,0.3416,0.2902,0.08201,0.02872,0.03855,0.2045,0.2041,0.08541,0.06727,0.03893,0.04384,0.04724,0.1489,0.03666
0.08579,0.07483, 1.000,0.07445,0.05064,0.1315,0.1508,0.5106,0.04044,0.04346,0.1640,0.1689,0.4803,0.1361,0.03326,0.03439,0.03666,0.04157,0.03061
0.4803,0.02872,0.07445, 1.000,0.03099,0.03326,0.03968,0.07672,0.05291,0.03741,0.05140,0.04497,0.07672,0.04082,0.02230,0.1236,0.1323,0.03401,0.1330
0.03061,0.4475,0.05064,0.03099, 1.000,0.2041,0.1538,0.05480,0.03137,0.03779,0.1119,0.1092,0.06198,0.04573,0.03666,0.07067,0.07218,0.1568,0.07067
0.03326,0.3416,0.1315,0.03326,0.2041, 1.000,0.4656,0.1417,0.03893,0.04119,0.3938,0.3968,0.1421,0.08466,0.03364,0.03817,0.04346,0.1020,0.03741
0.03704,0.2902,0.1508,0.03968,0.1538,0.4656, 1.000,0.1553,0.03250,0.04157,0.4550,0.4512,0.1625,0.09297,0.04233,0.03137,0.03477,0.09297,0.03250
0.08390,0.08201,0.5106,0.07672,0.05480,0.1417,0.1553, 1.000,0.04308,0.04422,0.1818,0.1822,0.5265,0.1353,0.03212,0.03099,0.03212,0.04157,0.03250
0.05782,0.02872,0.04044,0.05291,0.03137,0.03893,0.03250,0.04308, 1.000,0.3579,0.03628,0.03666,0.03477,0.03590,0.06311,0.06009,0.06689,0.02683,0.06009
0.04460,0.03855,0.04346,0.03741,0.03779,0.04119,0.04157,0.04422,0.3579, 1.000,0.04271,0.04686,0.04006,0.03930,0.07596,0.04875,0.05518,0.03553,0.04611
0.05064,0.2045,0.1640,0.05140,0.1119,0.3938,0.4550,0.1818,0.03628,0.04271, 1.000,0.5049,0.1686,0.09221,0.03628,0.03288,0.03855,0.08277,0.03326
0.04233,0.2041,0.1689,0.04497,0.1092,0.3968,0.4512,0.1822,0.03666,0.04686,0.5049, 1.000,0.1799,0.09410,0.03968,0.03364,0.03364,0.08314,0.03212
0.08390,0.08541,0.4803,0.07672,0.06198,0.1421,0.1625,0.5265,0.03477,0.04006,0.1686,0.1799, 1.000,0.1334,0.03250,0.03666,0.03741,0.04119,0.03779
0.05026,0.06727,0.1361,0.04082,0.04573,0.08466,0.09297,0.1353,0.03590,0.03930,0.09221,0.09410,0.1334, 1.000,0.02419,0.03061,0.03023,0.03930,0.02457
0.02570,0.03893,0.03326,0.02230,0.03666,0.03364,0.04233,0.03212,0.06311,0.07596,0.03628,0.03968,0.03250,0.02419, 1.000,0.02268,0.02268,0.02343,0.02608
0.1224,0.04384,0.03439,0.1236,0.07067,0.03817,0.03137,0.03099,0.06009,0.04875,0.03288,0.03364,0.03666,0.03061,0.02268, 1.000,0.6716,0.04989,0.6100
0.1277,0.04724,0.03666,0.1323,0.07218,0.04346,0.03477,0.03212,0.06689,0.05518,0.03855,0.03364,0.03741,0.03023,0.02268,0.6716, 1.000,0.05593,0.6466
0.03515,0.1489,0.04157,0.03401,0.1568,0.1020,0.09297,0.04157,0.02683,0.03553,0.08277,0.08314,0.04119,0.03930,0.02343,0.04989,0.05593, 1.000,0.05745
0.1198,0.03666,0.03061,0.1330,0.07067,0.03741,0.03250,0.03250,0.06009,0.04611,0.03326,0.03212,0.03779,0.02457,0.02608,0.6100,0.6466,0.05745, 1.000
