Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09388,0.05034,0.1306,0.1156,0.05034,0.03810,0.05034,0.03946,0.1211,0.05034,0.05034,0.1401,0.09932,0.05034,0.1347,0.1578,0.05034,0.1592
0.09388, 1.000,0.07075,0.1061,0.7197,0.07075,0.06667,0.07075,0.02041,0.03673,0.07075,0.07075,0.1224,0.1116,0.07075,0.1061,0.1116,0.07075,0.1170
0.05034,0.07075, 1.000,0.4204,0.07075, 1.000,0.03265, 1.000,0.04218,0.06803, 1.000, 1.000,0.02857,0.03401, 1.000,0.04354,0.04490, 1.000,0.03129
0.1306,0.1061,0.4204, 1.000,0.1075,0.4204,0.03537,0.4204,0.03129,0.1796,0.4204,0.4204,0.05034,0.04218,0.4204,0.1007,0.09660,0.4204,0.1116
0.1156,0.7197,0.07075,0.1075, 1.000,0.07075,0.07347,0.07075,0.02177,0.04626,0.07075,0.07075,0.1456,0.1061,0.07075,0.1116,0.1224,0.07075,0.1293
0.05034,0.07075, 1.000,0.4204,0.07075, 1.000,0.03265, 1.000,0.04218,0.06803, 1.000, 1.000,0.02857,0.03401, 1.000,0.04354,0.04490, 1.000,0.03129
0.03810,0.06667,0.03265,0.03537,0.07347,0.03265, 1.000,0.03265,0.01905,0.02857,0.03265,0.03265,0.06122,0.05714,0.03265,0.08299,0.08707,0.03265,0.08163
0.05034,0.07075, 1.000,0.4204,0.07075, 1.000,0.03265, 1.000,0.04218,0.06803, 1.000, 1.000,0.02857,0.03401, 1.000,0.04354,0.04490, 1.000,0.03129
0.03946,0.02041,0.04218,0.03129,0.02177,0.04218,0.01905,0.04218, 1.000,0.01905,0.04218,0.04218,0.02993,0.02313,0.04218,0.02857,0.03946,0.04218,0.03673
0.1211,0.03673,0.06803,0.1796,0.04626,0.06803,0.02857,0.06803,0.01905, 1.000,0.06803,0.06803,0.07211,0.04082,0.06803,0.1102,0.1170,0.06803,0.1143
0.05034,0.07075, 1.000,0.4204,0.07075, 1.000,0.03265, 1.000,0.04218,0.06803, 1.000, 1.000,0.02857,0.03401, 1.000,0.04354,0.04490, 1.000,0.03129
0.05034,0.07075, 1.000,0.4204,0.07075, 1.000,0.03265, 1.000,0.04218,0.06803, 1.000, 1.000,0.02857,0.03401, 1.000,0.04354,0.04490, 1.000,0.03129
0.1401,0.1224,0.02857,0.05034,0.1456,0.02857,0.06122,0.02857,0.02993,0.07211,0.02857,0.02857, 1.000,0.1143,0.02857,0.4585,0.5551,0.02857,0.5061
0.09932,0.1116,0.03401,0.04218,0.1061,0.03401,0.05714,0.03401,0.02313,0.04082,0.03401,0.03401,0.1143, 1.000,0.03401,0.09796,0.1143,0.03401,0.1279
0.05034,0.07075, 1.000,0.4204,0.07075, 1.000,0.03265, 1.000,0.04218,0.06803, 1.000, 1.000,0.02857,0.03401, 1.000,0.04354,0.04490, 1.000,0.03129
0.1347,0.1061,0.04354,0.1007,0.1116,0.04354,0.08299,0.04354,0.02857,0.1102,0.04354,0.04354,0.4585,0.09796,0.04354, 1.000,0.5973,0.04354,0.5891
0.1578,0.1116,0.04490,0.09660,0.1224,0.04490,0.08707,0.04490,0.03946,0.1170,0.04490,0.04490,0.5551,0.1143,0.04490,0.5973, 1.000,0.04490,0.6531
0.05034,0.07075, 1.000,0.4204,0.07075, 1.000,0.03265, 1.000,0.04218,0.06803, 1.000, 1.000,0.02857,0.03401, 1.000,0.04354,0.04490, 1.000,0.03129
0.1592,0.1170,0.03129,0.1116,0.1293,0.03129,0.08163,0.03129,0.03673,0.1143,0.03129,0.03129,0.5061,0.1279,0.03129,0.5891,0.6531,0.03129, 1.000
