Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03575,0.03865,0.03285,0.02802,0.02512,0.02705,0.02705,0.01836,0.02222,0.02609,0.01643,0.01546,0.02126,0.01836,0.01449,0.02319,0.02126,0.01256
0.03575, 1.000,0.05990,0.03285,0.03961,0.02029,0.03188,0.04251,0.02126,0.03285,0.02705,0.04734,0.02319,0.02029,0.02705,0.01836,0.02222,0.02899,0.01932
0.03865,0.05990, 1.000,0.03092,0.02995,0.02899,0.03478,0.03188,0.01836,0.02029,0.01449,0.03092,0.01836,0.02319,0.02126,0.01836,0.02319,0.02029,0.01739
0.03285,0.03285,0.03092, 1.000,0.02319,0.02029,0.01739,0.02222,0.02222,0.01739,0.02029,0.03382,0.02512,0.01353,0.02512,0.03382,0.02222,0.01449,0.02415
0.02802,0.03961,0.02995,0.02319, 1.000,0.01836,0.01836,0.02126,0.02705,0.01739,0.01836,0.02802,0.02995,0.02126,0.01836,0.01932,0.02995,0.02029,0.02222
0.02512,0.02029,0.02899,0.02029,0.01836, 1.000,0.01932,0.01449,0.02899,0.01643,0.01739,0.02609,0.02222,0.02029,0.02319,0.01932,0.02512,0.01932,0.02609
0.02705,0.03188,0.03478,0.01739,0.01836,0.01932, 1.000,0.02222,0.02029,0.02512,0.02415,0.02319,0.02995,0.02319,0.01932,0.02222,0.02222,0.02415,0.02415
0.02705,0.04251,0.03188,0.02222,0.02126,0.01449,0.02222, 1.000,0.02512,0.01836,0.03285,0.02802,0.02512,0.02222,0.02222,0.02415,0.02319,0.01449,0.02029
0.01836,0.02126,0.01836,0.02222,0.02705,0.02899,0.02029,0.02512, 1.000,0.01546,0.01932,0.01739,0.02802,0.02029,0.01836,0.01643,0.01643,0.01643,0.02029
0.02222,0.03285,0.02029,0.01739,0.01739,0.01643,0.02512,0.01836,0.01546, 1.000,0.03478,0.01932,0.02995,0.01256,0.02222,0.01739,0.01836,0.03092,0.03382
0.02609,0.02705,0.01449,0.02029,0.01836,0.01739,0.02415,0.03285,0.01932,0.03478, 1.000,0.01932,0.02899,0.02126,0.02029,0.02222,0.02222,0.02512,0.02222
0.01643,0.04734,0.03092,0.03382,0.02802,0.02609,0.02319,0.02802,0.01739,0.01932,0.01932, 1.000,0.02415,0.01932,0.02512,0.01159,0.02029,0.02222,0.01932
0.01546,0.02319,0.01836,0.02512,0.02995,0.02222,0.02995,0.02512,0.02802,0.02995,0.02899,0.02415, 1.000,0.02222,0.008696,0.01256,0.02415,0.02319,0.02222
0.02126,0.02029,0.02319,0.01353,0.02126,0.02029,0.02319,0.02222,0.02029,0.01256,0.02126,0.01932,0.02222, 1.000,0.01643,0.01449,0.02126,0.02802,0.02126
0.01836,0.02705,0.02126,0.02512,0.01836,0.02319,0.01932,0.02222,0.01836,0.02222,0.02029,0.02512,0.008696,0.01643, 1.000,0.01256,0.02222,0.02512,0.01256
0.01449,0.01836,0.01836,0.03382,0.01932,0.01932,0.02222,0.02415,0.01643,0.01739,0.02222,0.01159,0.01256,0.01449,0.01256, 1.000,0.02609,0.01932,0.01449
0.02319,0.02222,0.02319,0.02222,0.02995,0.02512,0.02222,0.02319,0.01643,0.01836,0.02222,0.02029,0.02415,0.02126,0.02222,0.02609, 1.000,0.02126,0.006763
0.02126,0.02899,0.02029,0.01449,0.02029,0.01932,0.02415,0.01449,0.01643,0.03092,0.02512,0.02222,0.02319,0.02802,0.02512,0.01932,0.02126, 1.000,0.01932
0.01256,0.01932,0.01739,0.02415,0.02222,0.02609,0.02415,0.02029,0.02029,0.03382,0.02222,0.01932,0.02222,0.02126,0.01256,0.01449,0.006763,0.01932, 1.000
