Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4331,0.4481,0.1240,0.1571,0.1085,0.07649,0.3664,0.3871,0.1101,0.1034,0.09871,0.09147,0.3809,0.3881,0.1080,0.07804,0.09302,0.1137
0.4331, 1.000,0.3912,0.1137,0.1855,0.09819,0.07339,0.3835,0.4057,0.1375,0.1121,0.1070,0.1054,0.3886,0.3793,0.09457,0.08165,0.09199,0.1158
0.4481,0.3912, 1.000,0.1483,0.2083,0.1204,0.1013,0.4315,0.4842,0.1638,0.1411,0.1245,0.1230,0.4181,0.4176,0.1183,0.1096,0.1127,0.1292
0.1240,0.1137,0.1483, 1.000,0.1525,0.1225,0.1426,0.1726,0.1426,0.1550,0.1659,0.1488,0.1504,0.1597,0.1576,0.1333,0.1292,0.1256,0.1628
0.1571,0.1855,0.2083,0.1525, 1.000,0.1540,0.1101,0.1974,0.2305,0.1845,0.1530,0.1411,0.1587,0.1995,0.1933,0.1375,0.1302,0.1411,0.1519
0.1085,0.09819,0.1204,0.1225,0.1540, 1.000,0.1127,0.1096,0.1173,0.1142,0.1220,0.1106,0.1142,0.1168,0.1132,0.1142,0.1075,0.1251,0.1333
0.07649,0.07339,0.1013,0.1426,0.1101,0.1127, 1.000,0.1080,0.09509,0.09147,0.1173,0.1245,0.09354,0.1106,0.1013,0.08527,0.09664,0.09561,0.1127
0.3664,0.3835,0.4315,0.1726,0.1974,0.1096,0.1080, 1.000,0.4708,0.1809,0.1959,0.1442,0.1509,0.5618,0.5406,0.1654,0.1654,0.1344,0.1638
0.3871,0.4057,0.4842,0.1426,0.2305,0.1173,0.09509,0.4708, 1.000,0.2398,0.1571,0.1245,0.2036,0.4522,0.4594,0.1504,0.1375,0.1664,0.1359
0.1101,0.1375,0.1638,0.1550,0.1845,0.1142,0.09147,0.1809,0.2398, 1.000,0.1700,0.1426,0.2062,0.1773,0.1922,0.1705,0.1406,0.1773,0.1556
0.1034,0.1121,0.1411,0.1659,0.1530,0.1220,0.1173,0.1959,0.1571,0.1700, 1.000,0.1530,0.1550,0.1850,0.1752,0.1561,0.1602,0.1328,0.1695
0.09871,0.1070,0.1245,0.1488,0.1411,0.1106,0.1245,0.1442,0.1245,0.1426,0.1530, 1.000,0.1276,0.1411,0.1375,0.1111,0.1364,0.1173,0.1659
0.09147,0.1054,0.1230,0.1504,0.1587,0.1142,0.09354,0.1509,0.2036,0.2062,0.1550,0.1276, 1.000,0.1690,0.1731,0.1452,0.1473,0.1907,0.1519
0.3809,0.3886,0.4181,0.1597,0.1995,0.1168,0.1106,0.5618,0.4522,0.1773,0.1850,0.1411,0.1690, 1.000,0.5979,0.1938,0.1778,0.1525,0.1680
0.3881,0.3793,0.4176,0.1576,0.1933,0.1132,0.1013,0.5406,0.4594,0.1922,0.1752,0.1375,0.1731,0.5979, 1.000,0.2062,0.1809,0.1499,0.1628
0.1080,0.09457,0.1183,0.1333,0.1375,0.1142,0.08527,0.1654,0.1504,0.1705,0.1561,0.1111,0.1452,0.1938,0.2062, 1.000,0.1716,0.1385,0.1690
0.07804,0.08165,0.1096,0.1292,0.1302,0.1075,0.09664,0.1654,0.1375,0.1406,0.1602,0.1364,0.1473,0.1778,0.1809,0.1716, 1.000,0.1220,0.1364
0.09302,0.09199,0.1127,0.1256,0.1411,0.1251,0.09561,0.1344,0.1664,0.1773,0.1328,0.1173,0.1907,0.1525,0.1499,0.1385,0.1220, 1.000,0.1504
0.1137,0.1158,0.1292,0.1628,0.1519,0.1333,0.1127,0.1638,0.1359,0.1556,0.1695,0.1659,0.1519,0.1680,0.1628,0.1690,0.1364,0.1504, 1.000
