Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04963,0.3354,0.02291,0.04200,0.05463,0.04347,0.04317,0.04816,0.06050,0.06637,0.07137,0.06725,0.06079,0.06990,0.05874,0.09016,0.06256,0.06902
0.04963, 1.000,0.04347,0.02115,0.02408,0.02555,0.01821,0.03231,0.9765,0.03319,0.02584,0.02438,0.03847,0.03260,0.03759,0.02408,0.04053,0.03025,0.03054
0.3354,0.04347, 1.000,0.01997,0.04846,0.05932,0.04875,0.03583,0.04376,0.06314,0.06814,0.07753,0.05786,0.05521,0.06256,0.06725,0.09427,0.05874,0.05932
0.02291,0.02115,0.01997, 1.000,0.02731,0.01997,0.01938,0.01997,0.02173,0.02614,0.02349,0.02408,0.02614,0.02056,0.02673,0.02291,0.02115,0.01909,0.02379
0.04200,0.02408,0.04846,0.02731, 1.000,0.03054,0.02173,0.01674,0.02496,0.02349,0.02555,0.03113,0.02849,0.02496,0.02614,0.02819,0.02173,0.02496,0.02320
0.05463,0.02555,0.05932,0.01997,0.03054, 1.000,0.03495,0.02349,0.02584,0.02379,0.03054,0.03172,0.02467,0.02115,0.03113,0.02878,0.03612,0.02907,0.02496
0.04347,0.01821,0.04875,0.01938,0.02173,0.03495, 1.000,0.01733,0.01703,0.02526,0.03113,0.04347,0.02849,0.02203,0.02584,0.02702,0.03231,0.02291,0.02555
0.04317,0.03231,0.03583,0.01997,0.01674,0.02349,0.01733, 1.000,0.03231,0.02819,0.02526,0.02349,0.03113,0.02907,0.03172,0.03025,0.02878,0.02702,0.02790
0.04816,0.9765,0.04376,0.02173,0.02496,0.02584,0.01703,0.03231, 1.000,0.03348,0.02614,0.02408,0.03847,0.03231,0.03730,0.02408,0.04141,0.02996,0.03054
0.06050,0.03319,0.06314,0.02614,0.02349,0.02379,0.02526,0.02819,0.03348, 1.000,0.03113,0.03201,0.04082,0.02996,0.03231,0.02966,0.03289,0.03054,0.03025
0.06637,0.02584,0.06814,0.02349,0.02555,0.03054,0.03113,0.02526,0.02614,0.03113, 1.000,0.03994,0.03025,0.03348,0.03201,0.03289,0.03612,0.03113,0.03201
0.07137,0.02438,0.07753,0.02408,0.03113,0.03172,0.04347,0.02349,0.02408,0.03201,0.03994, 1.000,0.02907,0.02673,0.03289,0.03289,0.04347,0.02467,0.03965
0.06725,0.03847,0.05786,0.02614,0.02849,0.02467,0.02849,0.03113,0.03847,0.04082,0.03025,0.02907, 1.000,0.03642,0.03935,0.03847,0.03465,0.03436,0.03025
0.06079,0.03260,0.05521,0.02056,0.02496,0.02115,0.02203,0.02907,0.03231,0.02996,0.03348,0.02673,0.03642, 1.000,0.03260,0.03260,0.03759,0.02291,0.02878
0.06990,0.03759,0.06256,0.02673,0.02614,0.03113,0.02584,0.03172,0.03730,0.03231,0.03201,0.03289,0.03935,0.03260, 1.000,0.03818,0.04317,0.03407,0.02996
0.05874,0.02408,0.06725,0.02291,0.02819,0.02878,0.02702,0.03025,0.02408,0.02966,0.03289,0.03289,0.03847,0.03260,0.03818, 1.000,0.03935,0.02790,0.03260
0.09016,0.04053,0.09427,0.02115,0.02173,0.03612,0.03231,0.02878,0.04141,0.03289,0.03612,0.04347,0.03465,0.03759,0.04317,0.03935, 1.000,0.03495,0.02966
0.06256,0.03025,0.05874,0.01909,0.02496,0.02907,0.02291,0.02702,0.02996,0.03054,0.03113,0.02467,0.03436,0.02291,0.03407,0.02790,0.03495, 1.000,0.03289
0.06902,0.03054,0.05932,0.02379,0.02320,0.02496,0.02555,0.02790,0.03054,0.03025,0.03201,0.03965,0.03025,0.02878,0.02996,0.03260,0.02966,0.03289, 1.000
