Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02301,0.01886,0.02274,0.02167,0.01753,0.02943,0.02181,0.02368,0.02863,0.01605,0.02542,0.02783,0.01833,0.03064,0.02876,0.03425,0.02060,0.02047
0.02301, 1.000,0.01900,0.01632,0.02328,0.04187,0.04522,0.01993,0.02970,0.03224,0.04388,0.04428,0.03786,0.03933,0.03706,0.03625,0.03839,0.03398,0.03077
0.01886,0.01900, 1.000,0.01793,0.01766,0.02261,0.03064,0.02435,0.01873,0.01793,0.02114,0.02555,0.02127,0.02502,0.01739,0.02060,0.02127,0.02314,0.01779
0.02274,0.01632,0.01793, 1.000,0.02515,0.01619,0.02020,0.02408,0.02421,0.02368,0.02234,0.01993,0.02528,0.02756,0.02181,0.02140,0.02355,0.02114,0.02247
0.02167,0.02328,0.01766,0.02515, 1.000,0.02234,0.02087,0.02288,0.02421,0.02100,0.01926,0.01686,0.02114,0.02488,0.01953,0.02301,0.02154,0.01753,0.02395
0.01753,0.04187,0.02261,0.01619,0.02234, 1.000,0.03786,0.02916,0.03264,0.02288,0.05271,0.05204,0.03666,0.03318,0.03746,0.03612,0.04334,0.04201,0.02957
0.02943,0.04522,0.03064,0.02020,0.02087,0.03786, 1.000,0.02635,0.02769,0.02488,0.04803,0.03773,0.03371,0.03746,0.03197,0.03104,0.03331,0.03799,0.03411
0.02181,0.01993,0.02435,0.02408,0.02288,0.02916,0.02635, 1.000,0.02702,0.01686,0.03184,0.02676,0.02247,0.02381,0.03171,0.02341,0.02542,0.02274,0.02301
0.02368,0.02970,0.01873,0.02421,0.02421,0.03264,0.02769,0.02702, 1.000,0.02475,0.02448,0.02515,0.02943,0.02247,0.02074,0.02528,0.02635,0.02435,0.02127
0.02863,0.03224,0.01793,0.02368,0.02100,0.02288,0.02488,0.01686,0.02475, 1.000,0.02662,0.03385,0.02649,0.02863,0.02408,0.01953,0.01806,0.02689,0.02488
0.01605,0.04388,0.02114,0.02234,0.01926,0.05271,0.04803,0.03184,0.02448,0.02662, 1.000,0.05057,0.03987,0.03264,0.04027,0.02903,0.04000,0.03813,0.04187
0.02542,0.04428,0.02555,0.01993,0.01686,0.05204,0.03773,0.02676,0.02515,0.03385,0.05057, 1.000,0.04789,0.03599,0.03706,0.03050,0.04161,0.03438,0.03104
0.02783,0.03786,0.02127,0.02528,0.02114,0.03666,0.03371,0.02247,0.02943,0.02649,0.03987,0.04789, 1.000,0.02609,0.02702,0.02582,0.03572,0.02609,0.02515
0.01833,0.03933,0.02502,0.02756,0.02488,0.03318,0.03746,0.02381,0.02247,0.02863,0.03264,0.03599,0.02609, 1.000,0.02876,0.02916,0.02569,0.02622,0.02609
0.03064,0.03706,0.01739,0.02181,0.01953,0.03746,0.03197,0.03171,0.02074,0.02408,0.04027,0.03706,0.02702,0.02876, 1.000,0.02395,0.02448,0.02408,0.02542
0.02876,0.03625,0.02060,0.02140,0.02301,0.03612,0.03104,0.02341,0.02528,0.01953,0.02903,0.03050,0.02582,0.02916,0.02395, 1.000,0.03278,0.02207,0.02983
0.03425,0.03839,0.02127,0.02355,0.02154,0.04334,0.03331,0.02542,0.02635,0.01806,0.04000,0.04161,0.03572,0.02569,0.02448,0.03278, 1.000,0.02488,0.03077
0.02060,0.03398,0.02314,0.02114,0.01753,0.04201,0.03799,0.02274,0.02435,0.02689,0.03813,0.03438,0.02609,0.02622,0.02408,0.02207,0.02488, 1.000,0.02903
0.02047,0.03077,0.01779,0.02247,0.02395,0.02957,0.03411,0.02301,0.02127,0.02488,0.04187,0.03104,0.02515,0.02609,0.02542,0.02983,0.03077,0.02903, 1.000
