Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03307,0.04252,0.02992,0.05197,0.02362,0.03780,0.007874,0.001575,0.03780,0.04252,0.02205,0.02677,0.03780,0.05039,0.03307,0.02992,0.02362,0.04724
0.03307, 1.000,0.02677,0.02835,0.02205,0.06142,0.1276,0.006299,0.02992,0.08661,0.03465,0.03780, 0.000,0.05039,0.03622,0.02835,0.01417,0.04094,0.04094
0.04252,0.02677, 1.000,0.07087,0.04094,0.01732,0.03307,0.06142,0.05039,0.06929,0.04567,0.009449,0.03307,0.02677,0.05039,0.04724,0.01732,0.05039,0.03150
0.02992,0.02835,0.07087, 1.000,0.07559,0.1071,0.02520,0.05354,0.08031,0.02047,0.03307,0.04252,0.02835,0.03307,0.04724,0.1197,0.03150,0.08504,0.1055
0.05197,0.02205,0.04094,0.07559, 1.000,0.1748,0.06614,0.02992,0.06142,0.05354,0.03150,0.02835,0.06614,0.02992,0.05354,0.03622,0.05984,0.05669,0.1528
0.02362,0.06142,0.01732,0.1071,0.1748, 1.000,0.06772,0.04409,0.05984,0.05669,0.03937,0.03465,0.03465,0.03622,0.02992,0.02520,0.02205,0.1071,0.1480
0.03780,0.1276,0.03307,0.02520,0.06614,0.06772, 1.000,0.003150,0.02205,0.1638,0.02835,0.07402,0.02205,0.02205,0.01260,0.02520,0.05039,0.01575,0.03622
0.007874,0.006299,0.06142,0.05354,0.02992,0.04409,0.003150, 1.000,0.06772,0.02047,0.04409,0.03465,0.1213,0.01260,0.01732,0.03150,0.03622,0.03307,0.04724
0.001575,0.02992,0.05039,0.08031,0.06142,0.05984,0.02205,0.06772, 1.000,0.08189,0.05669,0.08346,0.06299,0.03937,0.01575,0.04882,0.1197,0.01260,0.1024
0.03780,0.08661,0.06929,0.02047,0.05354,0.05669,0.1638,0.02047,0.08189, 1.000,0.03622,0.09449,0.03465,0.04094,0.01575,0.009449,0.05669,0.02047,0.02520
0.04252,0.03465,0.04567,0.03307,0.03150,0.03937,0.02835,0.04409,0.05669,0.03622, 1.000,0.02520,0.04882,0.02362,0.02677,0.04252,0.02205,0.07717,0.05354
0.02205,0.03780,0.009449,0.04252,0.02835,0.03465,0.07402,0.03465,0.08346,0.09449,0.02520, 1.000,0.02362,0.08031,0.01890,0.02047,0.1165,0.03780,0.02047
0.02677, 0.000,0.03307,0.02835,0.06614,0.03465,0.02205,0.1213,0.06299,0.03465,0.04882,0.02362, 1.000,0.05827,0.01260,0.03780,0.03622,0.03937,0.03937
0.03780,0.05039,0.02677,0.03307,0.02992,0.03622,0.02205,0.01260,0.03937,0.04094,0.02362,0.08031,0.05827, 1.000,0.05354,0.01732,0.02362,0.02677,0.004724
0.05039,0.03622,0.05039,0.04724,0.05354,0.02992,0.01260,0.01732,0.01575,0.01575,0.02677,0.01890,0.01260,0.05354, 1.000,0.02205,0.01732,0.06929,0.03622
0.03307,0.02835,0.04724,0.1197,0.03622,0.02520,0.02520,0.03150,0.04882,0.009449,0.04252,0.02047,0.03780,0.01732,0.02205, 1.000,0.03937,0.02205,0.07402
0.02992,0.01417,0.01732,0.03150,0.05984,0.02205,0.05039,0.03622,0.1197,0.05669,0.02205,0.1165,0.03622,0.02362,0.01732,0.03937, 1.000,0.007874,0.07874
0.02362,0.04094,0.05039,0.08504,0.05669,0.1071,0.01575,0.03307,0.01260,0.02047,0.07717,0.03780,0.03937,0.02677,0.06929,0.02205,0.007874, 1.000,0.1055
0.04724,0.04094,0.03150,0.1055,0.1528,0.1480,0.03622,0.04724,0.1024,0.02520,0.05354,0.02047,0.03937,0.004724,0.03622,0.07402,0.07874,0.1055, 1.000
