Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06610,0.02507,0.04330,0.1031,0.04444,0.04046,0.02222,0.03704,0.02450,0.02507,0.02051,0.05983,0.07863,0.02507,0.05641,0.03248,0.04957,0.05926
0.06610, 1.000,0.02906,0.03305,0.02165,0.05983,0.2051,0.01823,0.04729,0.03704,0.04786,0.03191,0.02678,0.03647,0.03932,0.06895,0.02279,0.01083,0.02906
0.02507,0.02906, 1.000,0.03818,0.04330,0.03761,0.04103,0.09630,0.03248,0.02222,0.03134,0.02678,0.02906,0.04957,0.05014,0.04217,0.01368,0.04501,0.01880
0.04330,0.03305,0.03818, 1.000,0.09972,0.02792,0.02621,0.01481,0.05983,0.02393,0.01709,0.02564,0.05470,0.02507,0.02849,0.03077,0.02507,0.05812,0.02792
0.1031,0.02165,0.04330,0.09972, 1.000,0.03020,0.02792,0.04558,0.01595,0.03191,0.02222,0.02621,0.1362,0.04387,0.02222,0.02906,0.05755,0.04672,0.06211
0.04444,0.05983,0.03761,0.02792,0.03020, 1.000,0.04160,0.02051,0.02621,0.03704,0.01880,0.01311,0.02336,0.07009,0.03419,0.04615,0.02051,0.04330,0.02165
0.04046,0.2051,0.04103,0.02621,0.02792,0.04160, 1.000,0.03362,0.09174,0.1094,0.07806,0.03818,0.03191,0.03248,0.04103,0.06268,0.03248,0.01083,0.03020
0.02222,0.01823,0.09630,0.01481,0.04558,0.02051,0.03362, 1.000,0.02906,0.01937,0.02735,0.02165,0.04103,0.02621,0.05242,0.04615,0.02108,0.02108,0.01652
0.03704,0.04729,0.03248,0.05983,0.01595,0.02621,0.09174,0.02906, 1.000,0.06952,0.04330,0.04786,0.04558,0.02450,0.03305,0.02963,0.05299,0.01026,0.06097
0.02450,0.03704,0.02222,0.02393,0.03191,0.03704,0.1094,0.01937,0.06952, 1.000,0.1385,0.06781,0.02450,0.02393,0.02450,0.03191,0.06724,0.02393,0.02849
0.02507,0.04786,0.03134,0.01709,0.02222,0.01880,0.07806,0.02735,0.04330,0.1385, 1.000,0.03191,0.02678,0.03362,0.02849,0.04900,0.03248,0.03020,0.02279
0.02051,0.03191,0.02678,0.02564,0.02621,0.01311,0.03818,0.02165,0.04786,0.06781,0.03191, 1.000,0.02849,0.04046,0.01652,0.02906,0.03590,0.02336,0.02564
0.05983,0.02678,0.02906,0.05470,0.1362,0.02336,0.03191,0.04103,0.04558,0.02450,0.02678,0.02849, 1.000,0.03647,0.02963,0.01823,0.03077,0.03761,0.02108
0.07863,0.03647,0.04957,0.02507,0.04387,0.07009,0.03248,0.02621,0.02450,0.02393,0.03362,0.04046,0.03647, 1.000,0.05641,0.01595,0.02792,0.09744,0.02279
0.02507,0.03932,0.05014,0.02849,0.02222,0.03419,0.04103,0.05242,0.03305,0.02450,0.02849,0.01652,0.02963,0.05641, 1.000,0.06097,0.02906,0.03191,0.02222
0.05641,0.06895,0.04217,0.03077,0.02906,0.04615,0.06268,0.04615,0.02963,0.03191,0.04900,0.02906,0.01823,0.01595,0.06097, 1.000,0.02165,0.01538,0.06781
0.03248,0.02279,0.01368,0.02507,0.05755,0.02051,0.03248,0.02108,0.05299,0.06724,0.03248,0.03590,0.03077,0.02792,0.02906,0.02165, 1.000,0.01368,0.1094
0.04957,0.01083,0.04501,0.05812,0.04672,0.04330,0.01083,0.02108,0.01026,0.02393,0.03020,0.02336,0.03761,0.09744,0.03191,0.01538,0.01368, 1.000,0.02279
0.05926,0.02906,0.01880,0.02792,0.06211,0.02165,0.03020,0.01652,0.06097,0.02849,0.02279,0.02564,0.02108,0.02279,0.02222,0.06781,0.1094,0.02279, 1.000
