Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.08626,0.04054,0.02884,0.02748,0.03510,0.06367,0.01959,0.02286,0.01905,0.02585,0.02367,0.03837,0.05170,0.05088,0.06503,0.05088,0.06095,0.07129
0.08626, 1.000,0.01932,0.02122,0.05796,0.05224,0.08299,0.02422,0.02340,0.02340,0.02748,0.02313,0.04871,0.06014,0.04054,0.04571,0.03755,0.07592,0.05333
0.04054,0.01932, 1.000,0.03265,0.02476,0.02068,0.02340,0.02857,0.02204,0.01959,0.02340,0.03102,0.02667,0.02884,0.03946,0.03129,0.03483,0.03184,0.03293
0.02884,0.02122,0.03265, 1.000,0.02503,0.02177,0.02231,0.02286,0.02340,0.02449,0.01796,0.02721,0.02993,0.02721,0.03429,0.03374,0.02884,0.03320,0.03401
0.02748,0.05796,0.02476,0.02503, 1.000,0.02150,0.02884,0.02422,0.02177,0.02204,0.02231,0.02367,0.03020,0.03755,0.03401,0.03837,0.03156,0.03129,0.03537
0.03510,0.05224,0.02068,0.02177,0.02150, 1.000,0.02449,0.02476,0.01986,0.01796,0.02150,0.02014,0.03537,0.02966,0.04109,0.02748,0.02830,0.03810,0.03374
0.06367,0.08299,0.02340,0.02231,0.02884,0.02449, 1.000,0.02558,0.02476,0.02395,0.02204,0.02503,0.04381,0.03156,0.05932,0.02367,0.02476,0.03755,0.03565
0.01959,0.02422,0.02857,0.02286,0.02422,0.02476,0.02558, 1.000,0.02150,0.02150,0.03211,0.02776,0.01878,0.02068,0.02612,0.02476,0.02395,0.02259,0.02313
0.02286,0.02340,0.02204,0.02340,0.02177,0.01986,0.02476,0.02150, 1.000,0.02585,0.01823,0.03347,0.01932,0.02340,0.02150,0.01769,0.02367,0.02340,0.02694
0.01905,0.02340,0.01959,0.02449,0.02204,0.01796,0.02395,0.02150,0.02585, 1.000,0.02231,0.02259,0.02231,0.02150,0.02476,0.02585,0.01986,0.02476,0.02449
0.02585,0.02748,0.02340,0.01796,0.02231,0.02150,0.02204,0.03211,0.01823,0.02231, 1.000,0.02340,0.02395,0.02694,0.02259,0.02068,0.01986,0.01986,0.02367
0.02367,0.02313,0.03102,0.02721,0.02367,0.02014,0.02503,0.02776,0.03347,0.02259,0.02340, 1.000,0.02395,0.02748,0.03238,0.02395,0.03075,0.01850,0.02857
0.03837,0.04871,0.02667,0.02993,0.03020,0.03537,0.04381,0.01878,0.01932,0.02231,0.02395,0.02395, 1.000,0.03891,0.03020,0.02857,0.02231,0.03565,0.02912
0.05170,0.06014,0.02884,0.02721,0.03755,0.02966,0.03156,0.02068,0.02340,0.02150,0.02694,0.02748,0.03891, 1.000,0.03129,0.02776,0.02939,0.04245,0.02966
0.05088,0.04054,0.03946,0.03429,0.03401,0.04109,0.05932,0.02612,0.02150,0.02476,0.02259,0.03238,0.03020,0.03129, 1.000,0.04707,0.02259,0.03456,0.03483
0.06503,0.04571,0.03129,0.03374,0.03837,0.02748,0.02367,0.02476,0.01769,0.02585,0.02068,0.02395,0.02857,0.02776,0.04707, 1.000,0.03646,0.03401,0.02912
0.05088,0.03755,0.03483,0.02884,0.03156,0.02830,0.02476,0.02395,0.02367,0.01986,0.01986,0.03075,0.02231,0.02939,0.02259,0.03646, 1.000,0.03265,0.03918
0.06095,0.07592,0.03184,0.03320,0.03129,0.03810,0.03755,0.02259,0.02340,0.02476,0.01986,0.01850,0.03565,0.04245,0.03456,0.03401,0.03265, 1.000,0.04082
0.07129,0.05333,0.03293,0.03401,0.03537,0.03374,0.03565,0.02313,0.02694,0.02449,0.02367,0.02857,0.02912,0.02966,0.03483,0.02912,0.03918,0.04082, 1.000
