Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07493,0.02947,0.04196,0.06743,0.07343,0.06494,0.03596,0.02198,0.04096,0.01199,0.01698,0.1169,0.04745,0.05395,0.04346,0.06444,0.1109,0.05844
0.07493, 1.000,0.03946,0.04296,0.05844,0.06543,0.07343,0.03247,0.02098,0.04046,0.02647,0.03397,0.08891,0.08042,0.07443,0.03447,0.04446,0.07642,0.05944
0.02947,0.03946, 1.000,0.06843,0.05694,0.03696,0.01249,0.02797,0.01648,0.03546,0.02647,0.03497,0.03696,0.02847,0.03097,0.03946,0.05544,0.05245,0.03097
0.04196,0.04296,0.06843, 1.000,0.08741,0.04296,0.02148,0.01948,0.04196,0.06743,0.01748,0.06743,0.05345,0.03397,0.01998,0.05495,0.09241,0.06643,0.07343
0.06743,0.05844,0.05694,0.08741, 1.000,0.03896,0.03247,0.02997,0.03297,0.04496,0.03546,0.02398,0.08042,0.04396,0.03696,0.04396,0.07293,0.09940,0.07992
0.07343,0.06543,0.03696,0.04296,0.03896, 1.000,0.04096,0.04895,0.01998,0.02697,0.02697,0.02697,0.07443,0.06094,0.04246,0.03746,0.04845,0.08242,0.08042
0.06494,0.07343,0.01249,0.02148,0.03247,0.04096, 1.000,0.03746,0.03497,0.02897,0.02697,0.02448,0.03996,0.04595,0.05195,0.02248,0.01998,0.02947,0.03197
0.03596,0.03247,0.02797,0.01948,0.02997,0.04895,0.03746, 1.000,0.02298,0.03596,0.02298,0.01998,0.04146,0.02597,0.01848,0.03197,0.02947,0.03596,0.02847
0.02198,0.02098,0.01648,0.04196,0.03297,0.01998,0.03497,0.02298, 1.000,0.03946,0.03397,0.04496,0.02448,0.02697,0.02897,0.02148,0.02098,0.02647,0.03397
0.04096,0.04046,0.03546,0.06743,0.04496,0.02697,0.02897,0.03596,0.03946, 1.000,0.03746,0.03696,0.04446,0.02947,0.03097,0.02647,0.04096,0.04645,0.05095
0.01199,0.02647,0.02647,0.01748,0.03546,0.02697,0.02697,0.02298,0.03397,0.03746, 1.000,0.02048,0.02248,0.03097,0.01798,0.02048,0.02997,0.02597,0.03297
0.01698,0.03397,0.03497,0.06743,0.02398,0.02697,0.02448,0.01998,0.04496,0.03696,0.02048, 1.000,0.02448,0.02398,0.02348,0.02797,0.03047,0.02398,0.03097
0.1169,0.08891,0.03696,0.05345,0.08042,0.07443,0.03996,0.04146,0.02448,0.04446,0.02248,0.02448, 1.000,0.05095,0.02947,0.02847,0.06593,0.1009,0.06244
0.04745,0.08042,0.02847,0.03397,0.04396,0.06094,0.04595,0.02597,0.02697,0.02947,0.03097,0.02398,0.05095, 1.000,0.04096,0.02847,0.02697,0.04745,0.03596
0.05395,0.07443,0.03097,0.01998,0.03696,0.04246,0.05195,0.01848,0.02897,0.03097,0.01798,0.02348,0.02947,0.04096, 1.000,0.02947,0.02847,0.03796,0.02547
0.04346,0.03447,0.03946,0.05495,0.04396,0.03746,0.02248,0.03197,0.02148,0.02647,0.02048,0.02797,0.02847,0.02847,0.02947, 1.000,0.03646,0.04196,0.02797
0.06444,0.04446,0.05544,0.09241,0.07293,0.04845,0.01998,0.02947,0.02098,0.04096,0.02997,0.03047,0.06593,0.02697,0.02847,0.03646, 1.000,0.06743,0.05844
0.1109,0.07642,0.05245,0.06643,0.09940,0.08242,0.02947,0.03596,0.02647,0.04645,0.02597,0.02398,0.1009,0.04745,0.03796,0.04196,0.06743, 1.000,0.09790
0.05844,0.05944,0.03097,0.07343,0.07992,0.08042,0.03197,0.02847,0.03397,0.05095,0.03297,0.03097,0.06244,0.03596,0.02547,0.02797,0.05844,0.09790, 1.000
