Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1557,0.07612,0.04960,0.05467,0.04798,0.1153,0.02537,0.02030,0.02053,0.02653,0.02722,0.05513,0.08443,0.1075,0.09273,0.06505,0.09573,0.07382
0.1557, 1.000,0.06159,0.03922,0.03737,0.03622,0.05260,0.03114,0.01915,0.02584,0.02284,0.02491,0.03922,0.05260,0.07290,0.06182,0.05675,0.08789,0.06090
0.07612,0.06159, 1.000,0.04614,0.03414,0.02168,0.02215,0.02445,0.02099,0.02122,0.03230,0.02399,0.03068,0.03114,0.06113,0.06736,0.04014,0.04198,0.03829
0.04960,0.03922,0.04614, 1.000,0.04268,0.02745,0.02491,0.02445,0.02422,0.02122,0.02030,0.01615,0.03737,0.03183,0.04475,0.05329,0.04498,0.06690,0.05721
0.05467,0.03737,0.03414,0.04268, 1.000,0.02930,0.02514,0.02076,0.02376,0.01892,0.02376,0.02168,0.03506,0.03160,0.03668,0.03899,0.04152,0.06436,0.05352
0.04798,0.03622,0.02168,0.02745,0.02930, 1.000,0.02745,0.02561,0.02238,0.01938,0.02145,0.02261,0.02791,0.03322,0.03091,0.02953,0.03068,0.05606,0.04175
0.1153,0.05260,0.02215,0.02491,0.02514,0.02745, 1.000,0.01892,0.02007,0.02099,0.02584,0.01845,0.03945,0.03829,0.03714,0.03230,0.03230,0.04406,0.03875
0.02537,0.03114,0.02445,0.02445,0.02076,0.02561,0.01892, 1.000,0.01961,0.02653,0.02099,0.02537,0.02537,0.02261,0.02791,0.02676,0.02399,0.02007,0.02630
0.02030,0.01915,0.02099,0.02422,0.02376,0.02238,0.02007,0.01961, 1.000,0.01845,0.02284,0.02007,0.02215,0.02307,0.02191,0.02099,0.02653,0.02468,0.02607
0.02053,0.02584,0.02122,0.02122,0.01892,0.01938,0.02099,0.02653,0.01845, 1.000,0.01961,0.02768,0.02215,0.01961,0.01845,0.02076,0.01984,0.02422,0.02930
0.02653,0.02284,0.03230,0.02030,0.02376,0.02145,0.02584,0.02099,0.02284,0.01961, 1.000,0.02445,0.02099,0.01984,0.01938,0.02191,0.02330,0.02145,0.02122
0.02722,0.02491,0.02399,0.01615,0.02168,0.02261,0.01845,0.02537,0.02007,0.02768,0.02445, 1.000,0.02284,0.03183,0.01892,0.02191,0.02238,0.01776,0.02399
0.05513,0.03922,0.03068,0.03737,0.03506,0.02791,0.03945,0.02537,0.02215,0.02215,0.02099,0.02284, 1.000,0.03206,0.03299,0.02630,0.02860,0.04337,0.03829
0.08443,0.05260,0.03114,0.03183,0.03160,0.03322,0.03829,0.02261,0.02307,0.01961,0.01984,0.03183,0.03206, 1.000,0.03599,0.03137,0.02491,0.03645,0.03068
0.1075,0.07290,0.06113,0.04475,0.03668,0.03091,0.03714,0.02791,0.02191,0.01845,0.01938,0.01892,0.03299,0.03599, 1.000,0.05629,0.03783,0.04060,0.03737
0.09273,0.06182,0.06736,0.05329,0.03899,0.02953,0.03230,0.02676,0.02099,0.02076,0.02191,0.02191,0.02630,0.03137,0.05629, 1.000,0.04268,0.04498,0.03737
0.06505,0.05675,0.04014,0.04498,0.04152,0.03068,0.03230,0.02399,0.02653,0.01984,0.02330,0.02238,0.02860,0.02491,0.03783,0.04268, 1.000,0.04983,0.04429
0.09573,0.08789,0.04198,0.06690,0.06436,0.05606,0.04406,0.02007,0.02468,0.02422,0.02145,0.01776,0.04337,0.03645,0.04060,0.04498,0.04983, 1.000,0.1176
0.07382,0.06090,0.03829,0.05721,0.05352,0.04175,0.03875,0.02630,0.02607,0.02930,0.02122,0.02399,0.03829,0.03068,0.03737,0.03737,0.04429,0.1176, 1.000
