Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3082,0.1808,0.4107,0.1936,0.08541,0.1110,0.02776,0.04626,0.06833,0.04840,0.04911,0.1388,0.1751,0.2747,0.2726,0.4057,0.4327,0.4612
0.3082, 1.000,0.1310,0.2947,0.2221,0.09466,0.08470,0.02633,0.03772,0.05765,0.04199,0.05480,0.2242,0.1900,0.2534,0.1851,0.2278,0.2747,0.3502
0.1808,0.1310, 1.000,0.2135,0.05267,0.01993,0.02206,0.07687,0.04555,0.03701,0.09893,0.1210,0.04911,0.08327,0.1559,0.2036,0.2441,0.1075,0.1609
0.4107,0.2947,0.2135, 1.000,0.1708,0.07473,0.07046,0.04342,0.04413,0.06548,0.05196,0.08968,0.1480,0.1210,0.1915,0.2149,0.3936,0.3986,0.3701
0.1936,0.2221,0.05267,0.1708, 1.000,0.1110,0.09964,0.03132,0.04342,0.07687,0.03915,0.04270,0.1651,0.1267,0.1125,0.06406,0.1246,0.2235,0.1843
0.08541,0.09466,0.01993,0.07473,0.1110, 1.000,0.2178,0.03345,0.02989,0.05765,0.02562,0.01495,0.1609,0.08043,0.04484,0.05694,0.06406,0.09537,0.09466
0.1110,0.08470,0.02206,0.07046,0.09964,0.2178, 1.000,0.02847,0.04342,0.04698,0.05765,0.02491,0.1893,0.1139,0.06050,0.04199,0.08826,0.1110,0.1089
0.02776,0.02633,0.07687,0.04342,0.03132,0.03345,0.02847, 1.000,0.02420,0.04698,0.09039,0.07544,0.01210,0.02918,0.03843,0.05694,0.04199,0.02847,0.03060
0.04626,0.03772,0.04555,0.04413,0.04342,0.02989,0.04342,0.02420, 1.000,0.04555,0.03416,0.07473,0.04199,0.02918,0.02776,0.03772,0.06121,0.03701,0.06477
0.06833,0.05765,0.03701,0.06548,0.07687,0.05765,0.04698,0.04698,0.04555, 1.000,0.04342,0.03416,0.09964,0.04342,0.04982,0.04769,0.05196,0.07117,0.07117
0.04840,0.04199,0.09893,0.05196,0.03915,0.02562,0.05765,0.09039,0.03416,0.04342, 1.000,0.09822,0.03274,0.04270,0.04128,0.07402,0.05979,0.04057,0.04413
0.04911,0.05480,0.1210,0.08968,0.04270,0.01495,0.02491,0.07544,0.07473,0.03416,0.09822, 1.000,0.02989,0.04342,0.05053,0.07046,0.08754,0.04413,0.05196
0.1388,0.2242,0.04911,0.1480,0.1651,0.1609,0.1893,0.01210,0.04199,0.09964,0.03274,0.02989, 1.000,0.1167,0.08256,0.07829,0.1345,0.1943,0.1630
0.1751,0.1900,0.08327,0.1210,0.1267,0.08043,0.1139,0.02918,0.02918,0.04342,0.04270,0.04342,0.1167, 1.000,0.1402,0.09253,0.1217,0.1495,0.1473
0.2747,0.2534,0.1559,0.1915,0.1125,0.04484,0.06050,0.03843,0.02776,0.04982,0.04128,0.05053,0.08256,0.1402, 1.000,0.1786,0.1687,0.1580,0.2206
0.2726,0.1851,0.2036,0.2149,0.06406,0.05694,0.04199,0.05694,0.03772,0.04769,0.07402,0.07046,0.07829,0.09253,0.1786, 1.000,0.2420,0.1751,0.1950
0.4057,0.2278,0.2441,0.3936,0.1246,0.06406,0.08826,0.04199,0.06121,0.05196,0.05979,0.08754,0.1345,0.1217,0.1687,0.2420, 1.000,0.3587,0.3893
0.4327,0.2747,0.1075,0.3986,0.2235,0.09537,0.1110,0.02847,0.03701,0.07117,0.04057,0.04413,0.1943,0.1495,0.1580,0.1751,0.3587, 1.000,0.3523
0.4612,0.3502,0.1609,0.3701,0.1843,0.09466,0.1089,0.03060,0.06477,0.07117,0.04413,0.05196,0.1630,0.1473,0.2206,0.1950,0.3893,0.3523, 1.000
