Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03385,0.02798,0.01796,0.02003,0.02211,0.02729,0.02280,0.02245,0.01969,0.01416,0.03558,0.02418,0.02073,0.02107,0.02176,0.02660,0.02591,0.02280
0.03385, 1.000,0.02245,0.01969,0.02349,0.03040,0.3889,0.02038,0.02763,0.02832,0.04145,0.1648,0.04111,0.04352,0.03834,0.03212,0.02453,0.04421,0.07150
0.02798,0.02245, 1.000,0.1209,0.02694,0.02487,0.02591,0.02763,0.02556,0.02729,0.02245,0.02142,0.02383,0.02625,0.04974,0.03558,0.03351,0.02694,0.03731
0.01796,0.01969,0.1209, 1.000,0.1095,0.03351,0.02453,0.02107,0.02902,0.04352,0.02142,0.02142,0.02453,0.02936,0.03592,0.03869,0.03869,0.03282,0.06528
0.02003,0.02349,0.02694,0.1095, 1.000,0.03800,0.02591,0.03489,0.01969,0.02349,0.02729,0.01969,0.03074,0.02383,0.02383,0.02625,0.02971,0.04007,0.04870
0.02211,0.03040,0.02487,0.03351,0.03800, 1.000,0.02902,0.02314,0.02142,0.02003,0.02660,0.02591,0.02902,0.02556,0.02487,0.02453,0.02625,0.03627,0.03765
0.02729,0.3889,0.02591,0.02453,0.02591,0.02902, 1.000,0.02107,0.03489,0.02211,0.06183,0.1931,0.06079,0.05838,0.03489,0.03109,0.02107,0.06459,0.05941
0.02280,0.02038,0.02763,0.02107,0.03489,0.02314,0.02107, 1.000,0.03247,0.02625,0.02867,0.02176,0.03903,0.02211,0.03316,0.03420,0.02902,0.02660,0.02073
0.02245,0.02763,0.02556,0.02902,0.01969,0.02142,0.03489,0.03247, 1.000,0.03247,0.01727,0.03351,0.02314,0.03074,0.02453,0.01762,0.03143,0.02245,0.02418
0.01969,0.02832,0.02729,0.04352,0.02349,0.02003,0.02211,0.02625,0.03247, 1.000,0.02142,0.03938,0.02729,0.02211,0.02487,0.02176,0.02245,0.02073,0.02625
0.01416,0.04145,0.02245,0.02142,0.02729,0.02660,0.06183,0.02867,0.01727,0.02142, 1.000,0.02522,0.07530,0.03834,0.02107,0.01865,0.02073,0.08774,0.04456
0.03558,0.1648,0.02142,0.02142,0.01969,0.02591,0.1931,0.02176,0.03351,0.03938,0.02522, 1.000,0.03592,0.03696,0.03143,0.02142,0.02314,0.03074,0.02522
0.02418,0.04111,0.02383,0.02453,0.03074,0.02902,0.06079,0.03903,0.02314,0.02729,0.07530,0.03592, 1.000,0.04007,0.02176,0.02245,0.02038,0.06218,0.02418
0.02073,0.04352,0.02625,0.02936,0.02383,0.02556,0.05838,0.02211,0.03074,0.02211,0.03834,0.03696,0.04007, 1.000,0.03903,0.02073,0.01727,0.03282,0.02314
0.02107,0.03834,0.04974,0.03592,0.02383,0.02487,0.03489,0.03316,0.02453,0.02487,0.02107,0.03143,0.02176,0.03903, 1.000,0.03731,0.02107,0.02660,0.03005
0.02176,0.03212,0.03558,0.03869,0.02625,0.02453,0.03109,0.03420,0.01762,0.02176,0.01865,0.02142,0.02245,0.02073,0.03731, 1.000,0.03005,0.02556,0.04491
0.02660,0.02453,0.03351,0.03869,0.02971,0.02625,0.02107,0.02902,0.03143,0.02245,0.02073,0.02314,0.02038,0.01727,0.02107,0.03005, 1.000,0.01969,0.1385
0.02591,0.04421,0.02694,0.03282,0.04007,0.03627,0.06459,0.02660,0.02245,0.02073,0.08774,0.03074,0.06218,0.03282,0.02660,0.02556,0.01969, 1.000,0.06632
0.02280,0.07150,0.03731,0.06528,0.04870,0.03765,0.05941,0.02073,0.02418,0.02625,0.04456,0.02522,0.02418,0.02314,0.03005,0.04491,0.1385,0.06632, 1.000
