Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1238,0.09660,0.07415,0.09796,0.1184,0.06667,0.04762,0.02993,0.02177,0.03333,0.02313,0.02993,0.03605,0.1299,0.1095,0.03878,0.04150,0.05646
0.1238, 1.000,0.1415,0.1558,0.2211,0.3449,0.1259,0.02381,0.02789,0.03265,0.02993,0.03333,0.09456,0.1327,0.1605,0.07551,0.03469,0.1293,0.04830
0.09660,0.1415, 1.000,0.3884,0.2109,0.1184,0.04422,0.05238,0.03129,0.02517,0.02245,0.02041,0.04694,0.05170,0.09048,0.1313,0.05102,0.07959,0.07211
0.07415,0.1558,0.3884, 1.000,0.4095,0.1401,0.05102,0.02653,0.03401,0.04286,0.03333,0.03333,0.05306,0.06395,0.08912,0.1306,0.06939,0.07619,0.1041
0.09796,0.2211,0.2109,0.4095, 1.000,0.2463,0.06599,0.02653,0.02653,0.05986,0.03878,0.02313,0.05170,0.06667,0.09320,0.1122,0.04966,0.09116,0.1122
0.1184,0.3449,0.1184,0.1401,0.2463, 1.000,0.1286,0.01769,0.02313,0.04694,0.03946,0.03061,0.08776,0.1156,0.09592,0.06599,0.03265,0.1313,0.05510
0.06667,0.1259,0.04422,0.05102,0.06599,0.1286, 1.000,0.01905,0.02517,0.03129,0.04014,0.08912,0.08163,0.1299,0.08435,0.03129,0.02925,0.07347,0.03537
0.04762,0.02381,0.05238,0.02653,0.02653,0.01769,0.01905, 1.000,0.03129,0.01565,0.02449,0.01905,0.02041,0.02449,0.03537,0.06735,0.04558,0.02245,0.04694
0.02993,0.02789,0.03129,0.03401,0.02653,0.02313,0.02517,0.03129, 1.000,0.06190,0.02449,0.05918,0.02449,0.02109,0.01769,0.02653,0.08980,0.02245,0.07755
0.02177,0.03265,0.02517,0.04286,0.05986,0.04694,0.03129,0.01565,0.06190, 1.000,0.02517,0.03810,0.04014,0.03265,0.02789,0.02517,0.06395,0.04830,0.06531
0.03333,0.02993,0.02245,0.03333,0.03878,0.03946,0.04014,0.02449,0.02449,0.02517, 1.000,0.04014,0.04150,0.04626,0.02313,0.03946,0.02585,0.03673,0.03401
0.02313,0.03333,0.02041,0.03333,0.02313,0.03061,0.08912,0.01905,0.05918,0.03810,0.04014, 1.000,0.04626,0.07347,0.04422,0.02449,0.04966,0.04150,0.03537
0.02993,0.09456,0.04694,0.05306,0.05170,0.08776,0.08163,0.02041,0.02449,0.04014,0.04150,0.04626, 1.000,0.4027,0.05782,0.02313,0.02381,0.3680,0.02245
0.03605,0.1327,0.05170,0.06395,0.06667,0.1156,0.1299,0.02449,0.02109,0.03265,0.04626,0.07347,0.4027, 1.000,0.06939,0.02993,0.02381,0.2578,0.02245
0.1299,0.1605,0.09048,0.08912,0.09320,0.09592,0.08435,0.03537,0.01769,0.02789,0.02313,0.04422,0.05782,0.06939, 1.000,0.08163,0.04286,0.06803,0.04966
0.1095,0.07551,0.1313,0.1306,0.1122,0.06599,0.03129,0.06735,0.02653,0.02517,0.03946,0.02449,0.02313,0.02993,0.08163, 1.000,0.07959,0.03673,0.1435
0.03878,0.03469,0.05102,0.06939,0.04966,0.03265,0.02925,0.04558,0.08980,0.06395,0.02585,0.04966,0.02381,0.02381,0.04286,0.07959, 1.000,0.01905,0.2170
0.04150,0.1293,0.07959,0.07619,0.09116,0.1313,0.07347,0.02245,0.02245,0.04830,0.03673,0.04150,0.3680,0.2578,0.06803,0.03673,0.01905, 1.000,0.03333
0.05646,0.04830,0.07211,0.1041,0.1122,0.05510,0.03537,0.04694,0.07755,0.06531,0.03401,0.03537,0.02245,0.02245,0.04966,0.1435,0.2170,0.03333, 1.000
