Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4667,0.5224,0.3754,0.2521,0.2567,0.4680,0.02389,0.02503,0.03754,0.03140,0.02435,0.2503,0.3044,0.2567,0.4168,0.2974,0.3538,0.3461
0.4667, 1.000,0.5272,0.3217,0.2694,0.2762,0.6100,0.02526,0.02093,0.03527,0.02776,0.02412,0.2314,0.3561,0.2692,0.4856,0.2792,0.3154,0.3333
0.5224,0.5272, 1.000,0.3470,0.2009,0.2036,0.6344,0.02503,0.02298,0.02708,0.02571,0.02048,0.1957,0.3543,0.3593,0.4994,0.2774,0.2278,0.2810
0.3754,0.3217,0.3470, 1.000,0.2305,0.1738,0.2407,0.02617,0.02184,0.03754,0.02617,0.03117,0.1886,0.2239,0.1497,0.3163,0.2744,0.2610,0.2919
0.2521,0.2694,0.2009,0.2305, 1.000,0.1895,0.2114,0.03185,0.02184,0.03754,0.02685,0.03140,0.2446,0.1636,0.1140,0.1727,0.2114,0.2840,0.2523
0.2567,0.2762,0.2036,0.1738,0.1895, 1.000,0.2532,0.02207,0.02435,0.03458,0.02435,0.02366,0.1916,0.2152,0.1493,0.2344,0.1795,0.2205,0.2175
0.4680,0.6100,0.6344,0.2407,0.2114,0.2532, 1.000,0.02662,0.02207,0.03049,0.02594,0.02526,0.2328,0.3741,0.3497,0.4796,0.2435,0.2410,0.2532
0.02389,0.02526,0.02503,0.02617,0.03185,0.02207,0.02662, 1.000,0.02412,0.05142,0.04164,0.03595,0.02526,0.02435,0.02435,0.02344,0.02548,0.02799,0.02753
0.02503,0.02093,0.02298,0.02184,0.02184,0.02435,0.02207,0.02412, 1.000,0.02344,0.02025,0.03390,0.02526,0.02366,0.02685,0.01934,0.02435,0.02412,0.02617
0.03754,0.03527,0.02708,0.03754,0.03754,0.03458,0.03049,0.05142,0.02344, 1.000,0.02480,0.04801,0.04437,0.02912,0.02639,0.02912,0.04073,0.05165,0.04437
0.03140,0.02776,0.02571,0.02617,0.02685,0.02435,0.02594,0.04164,0.02025,0.02480, 1.000,0.02389,0.02844,0.02730,0.02298,0.02662,0.02867,0.02730,0.02799
0.02435,0.02412,0.02048,0.03117,0.03140,0.02366,0.02526,0.03595,0.03390,0.04801,0.02389, 1.000,0.02662,0.02457,0.02162,0.02708,0.02503,0.04005,0.03436
0.2503,0.2314,0.1957,0.1886,0.2446,0.1916,0.2328,0.02526,0.02526,0.04437,0.02844,0.02662, 1.000,0.1684,0.1060,0.2173,0.1834,0.2036,0.2168
0.3044,0.3561,0.3543,0.2239,0.1636,0.2152,0.3741,0.02435,0.02366,0.02912,0.02730,0.02457,0.1684, 1.000,0.2696,0.2580,0.1652,0.1568,0.1631
0.2567,0.2692,0.3593,0.1497,0.1140,0.1493,0.3497,0.02435,0.02685,0.02639,0.02298,0.02162,0.1060,0.2696, 1.000,0.3276,0.1274,0.09238,0.1063
0.4168,0.4856,0.4994,0.3163,0.1727,0.2344,0.4796,0.02344,0.01934,0.02912,0.02662,0.02708,0.2173,0.2580,0.3276, 1.000,0.2171,0.2018,0.2025
0.2974,0.2792,0.2774,0.2744,0.2114,0.1795,0.2435,0.02548,0.02435,0.04073,0.02867,0.02503,0.1834,0.1652,0.1274,0.2171, 1.000,0.2953,0.2826
0.3538,0.3154,0.2278,0.2610,0.2840,0.2205,0.2410,0.02799,0.02412,0.05165,0.02730,0.04005,0.2036,0.1568,0.09238,0.2018,0.2953, 1.000,0.4444
0.3461,0.3333,0.2810,0.2919,0.2523,0.2175,0.2532,0.02753,0.02617,0.04437,0.02799,0.03436,0.2168,0.1631,0.1063,0.2025,0.2826,0.4444, 1.000
