Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.5527,0.2877,0.4448,0.3992,0.3495,0.3343,0.01672,0.03293,0.08359,0.04002,0.05724,0.4230,0.3875,0.4291,0.4818,0.5390,0.5729,0.5861
0.5527, 1.000,0.2077,0.3845,0.4113,0.4387,0.4802,0.02381,0.03090,0.08865,0.04103,0.05370,0.4595,0.4093,0.4412,0.4271,0.4422,0.6155,0.5811
0.2877,0.2077, 1.000,0.3232,0.2031,0.1449,0.1236,0.02128,0.03546,0.09777,0.03293,0.1120,0.2112,0.2001,0.2097,0.2624,0.2361,0.2609,0.2447
0.4448,0.3845,0.3232, 1.000,0.3232,0.2634,0.2123,0.01368,0.03343,0.07903,0.03394,0.05420,0.3810,0.3399,0.3126,0.3516,0.4027,0.4585,0.4433
0.3992,0.4113,0.2031,0.3232, 1.000,0.2908,0.2199,0.01570,0.04002,0.08105,0.03546,0.05218,0.3212,0.2984,0.3070,0.3495,0.4022,0.4230,0.4422
0.3495,0.4387,0.1449,0.2634,0.2908, 1.000,0.2974,0.01874,0.02736,0.08460,0.04053,0.04661,0.3283,0.3024,0.2730,0.2619,0.3207,0.3779,0.3769
0.3343,0.4802,0.1236,0.2123,0.2199,0.2974, 1.000,0.02786,0.02736,0.06991,0.04965,0.04458,0.2766,0.2958,0.2953,0.2523,0.2781,0.3227,0.3171
0.01672,0.02381,0.02128,0.01368,0.01570,0.01874,0.02786, 1.000,0.02077,0.01976,0.02229,0.02482,0.02077,0.01672,0.02330,0.01672,0.02178,0.02432,0.01824
0.03293,0.03090,0.03546,0.03343,0.04002,0.02736,0.02736,0.02077, 1.000,0.03242,0.02381,0.04559,0.04610,0.02584,0.02938,0.03343,0.03546,0.03495,0.03293
0.08359,0.08865,0.09777,0.07903,0.08105,0.08460,0.06991,0.01976,0.03242, 1.000,0.03141,0.03597,0.08511,0.1013,0.09220,0.08257,0.09271,0.09321,0.09980
0.04002,0.04103,0.03293,0.03394,0.03546,0.04053,0.04965,0.02229,0.02381,0.03141, 1.000,0.03191,0.03445,0.04103,0.03495,0.04103,0.03141,0.03546,0.03293
0.05724,0.05370,0.1120,0.05420,0.05218,0.04661,0.04458,0.02482,0.04559,0.03597,0.03191, 1.000,0.05319,0.03546,0.05420,0.07447,0.04965,0.04813,0.04407
0.4230,0.4595,0.2112,0.3810,0.3212,0.3283,0.2766,0.02077,0.04610,0.08511,0.03445,0.05319, 1.000,0.2756,0.3151,0.3278,0.4311,0.4098,0.4681
0.3875,0.4093,0.2001,0.3399,0.2984,0.3024,0.2958,0.01672,0.02584,0.1013,0.04103,0.03546,0.2756, 1.000,0.3470,0.3166,0.3202,0.3911,0.3799
0.4291,0.4412,0.2097,0.3126,0.3070,0.2730,0.2953,0.02330,0.02938,0.09220,0.03495,0.05420,0.3151,0.3470, 1.000,0.3257,0.3227,0.3713,0.3627
0.4818,0.4271,0.2624,0.3516,0.3495,0.2619,0.2523,0.01672,0.03343,0.08257,0.04103,0.07447,0.3278,0.3166,0.3257, 1.000,0.3678,0.3850,0.3652
0.5390,0.4422,0.2361,0.4027,0.4022,0.3207,0.2781,0.02178,0.03546,0.09271,0.03141,0.04965,0.4311,0.3202,0.3227,0.3678, 1.000,0.5051,0.4453
0.5729,0.6155,0.2609,0.4585,0.4230,0.3779,0.3227,0.02432,0.03495,0.09321,0.03546,0.04813,0.4098,0.3911,0.3713,0.3850,0.5051, 1.000,0.6277
0.5861,0.5811,0.2447,0.4433,0.4422,0.3769,0.3171,0.01824,0.03293,0.09980,0.03293,0.04407,0.4681,0.3799,0.3627,0.3652,0.4453,0.6277, 1.000
