Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03020,0.01766,0.03818,0.03134,0.04387,0.08262,0.07749,0.02963,0.04501,0.1214,0.07863,0.09516,0.05755,0.02678,0.02792,0.03362,0.04786,0.04615
0.03020, 1.000,0.1208,0.2068,0.2467,0.1892,0.09060,0.02165,0.07236,0.06724,0.04046,0.03533,0.1060,0.1350,0.09915,0.1709,0.09402,0.1071,0.1168
0.01766,0.1208, 1.000,0.1510,0.07123,0.05242,0.02450,0.05242,0.05812,0.03134,0.01937,0.04672,0.03704,0.03704,0.1105,0.2046,0.1094,0.04786,0.05698
0.03818,0.2068,0.1510, 1.000,0.3521,0.1544,0.05470,0.02279,0.1755,0.1396,0.03761,0.02963,0.06952,0.07806,0.05812,0.2661,0.1789,0.2205,0.2274
0.03134,0.2467,0.07123,0.3521, 1.000,0.2479,0.09174,0.02165,0.1755,0.2028,0.07350,0.02792,0.1368,0.1094,0.05698,0.1499,0.1185,0.2746,0.2638
0.04387,0.1892,0.05242,0.1544,0.2479, 1.000,0.2319,0.03077,0.1094,0.1430,0.09801,0.02735,0.2467,0.2063,0.03818,0.07806,0.05926,0.2627,0.2074
0.08262,0.09060,0.02450,0.05470,0.09174,0.2319, 1.000,0.04274,0.02735,0.06154,0.1516,0.04160,0.2011,0.1823,0.03419,0.04615,0.03818,0.1128,0.1071
0.07749,0.02165,0.05242,0.02279,0.02165,0.03077,0.04274, 1.000,0.02963,0.02507,0.06724,0.06895,0.06097,0.03077,0.03818,0.02621,0.03590,0.02222,0.01937
0.02963,0.07236,0.05812,0.1755,0.1755,0.1094,0.02735,0.02963, 1.000,0.1499,0.05071,0.03761,0.05869,0.04330,0.02621,0.1105,0.1692,0.1744,0.1909
0.04501,0.06724,0.03134,0.1396,0.2028,0.1430,0.06154,0.02507,0.1499, 1.000,0.1191,0.02450,0.1009,0.05641,0.02621,0.08262,0.07464,0.2530,0.2234
0.1214,0.04046,0.01937,0.03761,0.07350,0.09801,0.1516,0.06724,0.05071,0.1191, 1.000,0.05356,0.1140,0.06952,0.02222,0.02564,0.03305,0.1111,0.08661
0.07863,0.03533,0.04672,0.02963,0.02792,0.02735,0.04160,0.06895,0.03761,0.02450,0.05356, 1.000,0.03533,0.04444,0.03020,0.03020,0.08490,0.02051,0.01595
0.09516,0.1060,0.03704,0.06952,0.1368,0.2467,0.2011,0.06097,0.05869,0.1009,0.1140,0.03533, 1.000,0.2701,0.03818,0.02564,0.03932,0.1481,0.1202
0.05755,0.1350,0.03704,0.07806,0.1094,0.2063,0.1823,0.03077,0.04330,0.05641,0.06952,0.04444,0.2701, 1.000,0.05242,0.03704,0.02450,0.08718,0.08319
0.02678,0.09915,0.1105,0.05812,0.05698,0.03818,0.03419,0.03818,0.02621,0.02621,0.02222,0.03020,0.03818,0.05242, 1.000,0.07977,0.02735,0.04103,0.03989
0.02792,0.1709,0.2046,0.2661,0.1499,0.07806,0.04615,0.02621,0.1105,0.08262,0.02564,0.03020,0.02564,0.03704,0.07977, 1.000,0.2319,0.1071,0.1202
0.03362,0.09402,0.1094,0.1789,0.1185,0.05926,0.03818,0.03590,0.1692,0.07464,0.03305,0.08490,0.03932,0.02450,0.02735,0.2319, 1.000,0.08205,0.1071
0.04786,0.1071,0.04786,0.2205,0.2746,0.2627,0.1128,0.02222,0.1744,0.2530,0.1111,0.02051,0.1481,0.08718,0.04103,0.1071,0.08205, 1.000,0.5937
0.04615,0.1168,0.05698,0.2274,0.2638,0.2074,0.1071,0.01937,0.1909,0.2234,0.08661,0.01595,0.1202,0.08319,0.03989,0.1202,0.1071,0.5937, 1.000
