Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1772,0.05638,0.09128,0.05503,0.04698,0.06040,0.01611,0.002685,0.005369,0.01611,0.04161,0.03893,0.1705,0.1624,0.09933,0.02953,0.03893,0.04832
0.1772, 1.000,0.03356,0.08725,0.07919,0.2134,0.2081,0.02148,0.006711,0.02953,0.02685,0.04564,0.08054,0.2107,0.1651,0.08188,0.01477,0.08859,0.05772
0.05638,0.03356, 1.000,0.02685,0.01342,0.01074,0.03893,0.04698,0.02819,0.05772,0.04027,0.04564,0.02148,0.03624,0.08993,0.08993,0.03490,0.02685,0.01611
0.09128,0.08725,0.02685, 1.000,0.2698,0.04698,0.05101,0.02282,0.03490,0.02416,0.02013,0.01745,0.07248,0.05369,0.03758,0.05906,0.1517,0.1074,0.1718
0.05503,0.07919,0.01342,0.2698, 1.000,0.1315,0.02685,0.02550,0.01879,0.02148,0.04027,0.01477,0.1101,0.03893,0.02282,0.03893,0.07248,0.09262,0.1235
0.04698,0.2134,0.01074,0.04698,0.1315, 1.000,0.1074,0.06711,0.02282,0.01342,0.04295,0.03758,0.1423,0.09396,0.07383,0.04027,0.04295,0.1262,0.1034
0.06040,0.2081,0.03893,0.05101,0.02685,0.1074, 1.000,0.01611,0.02953,0.02416,0.02148,0.1463,0.06980,0.2470,0.1584,0.05503,0.04430,0.09799,0.04832
0.01611,0.02148,0.04698,0.02282,0.02550,0.06711,0.01611, 1.000,0.03087,0.03490,0.04966,0.02282,0.07517,0.01879,0.04161,0.02416,0.009396,0.04430,0.02013
0.002685,0.006711,0.02819,0.03490,0.01879,0.02282,0.02953,0.03087, 1.000,0.1664,0.008054,0.08188,0.01879,0.02013,0.03356,0.03758,0.07919,0.02013,0.02416
0.005369,0.02953,0.05772,0.02416,0.02148,0.01342,0.02416,0.03490,0.1664, 1.000,0.05772,0.04832,0.009396,0.01745,0.01745,0.02013,0.03356,0.03221,0.008054
0.01611,0.02685,0.04027,0.02013,0.04027,0.04295,0.02148,0.04966,0.008054,0.05772, 1.000,0.02953,0.09262,0.01611,0.01611,0.02953,0.03624,0.1087,0.03758
0.04161,0.04564,0.04564,0.01745,0.01477,0.03758,0.1463,0.02282,0.08188,0.04832,0.02953, 1.000,0.02550,0.1289,0.1060,0.05906,0.04966,0.03087,0.03490
0.03893,0.08054,0.02148,0.07248,0.1101,0.1423,0.06980,0.07517,0.01879,0.009396,0.09262,0.02550, 1.000,0.05906,0.03221,0.03758,0.03758,0.3503,0.05772
0.1705,0.2107,0.03624,0.05369,0.03893,0.09396,0.2470,0.01879,0.02013,0.01745,0.01611,0.1289,0.05906, 1.000,0.2255,0.06846,0.03087,0.06980,0.02685
0.1624,0.1651,0.08993,0.03758,0.02282,0.07383,0.1584,0.04161,0.03356,0.01745,0.01611,0.1060,0.03221,0.2255, 1.000,0.1570,0.006711,0.04295,0.006711
0.09933,0.08188,0.08993,0.05906,0.03893,0.04027,0.05503,0.02416,0.03758,0.02013,0.02953,0.05906,0.03758,0.06846,0.1570, 1.000,0.07517,0.03624,0.04161
0.02953,0.01477,0.03490,0.1517,0.07248,0.04295,0.04430,0.009396,0.07919,0.03356,0.03624,0.04966,0.03758,0.03087,0.006711,0.07517, 1.000,0.06443,0.1060
0.03893,0.08859,0.02685,0.1074,0.09262,0.1262,0.09799,0.04430,0.02013,0.03221,0.1087,0.03087,0.3503,0.06980,0.04295,0.03624,0.06443, 1.000,0.1275
0.04832,0.05772,0.01611,0.1718,0.1235,0.1034,0.04832,0.02013,0.02416,0.008054,0.03758,0.03490,0.05772,0.02685,0.006711,0.04161,0.1060,0.1275, 1.000
