Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.08641,0.2048,0.4134,0.08901,0.03985,0.01825,0.07076,0.02682,0.02495,0.03203,0.04804,0.02719,0.03501,0.07002,0.1244,0.04991,0.04618,0.05885
0.08641, 1.000,0.03054,0.06778,0.05847,0.09125,0.02570,0.02011,0.02793,0.02272,0.02272,0.02048,0.07784,0.1009,0.04655,0.04097,0.02272,0.1322,0.04022
0.2048,0.03054, 1.000,0.1430,0.05177,0.02533,0.03426,0.1322,0.02682,0.02384,0.04469,0.04842,0.02086,0.02197,0.08194,0.1236,0.05177,0.02793,0.03501
0.4134,0.06778,0.1430, 1.000,0.1464,0.05028,0.02309,0.04432,0.02495,0.02719,0.02197,0.04618,0.02831,0.03464,0.04953,0.07076,0.07523,0.04097,0.06927
0.08901,0.05847,0.05177,0.1464, 1.000,0.1281,0.01825,0.01937,0.03613,0.03426,0.01750,0.02980,0.03911,0.04581,0.03017,0.03873,0.06145,0.07076,0.06965
0.03985,0.09125,0.02533,0.05028,0.1281, 1.000,0.03538,0.02123,0.02421,0.03017,0.03389,0.02458,0.1728,0.1382,0.03389,0.02607,0.02793,0.1259,0.04879
0.01825,0.02570,0.03426,0.02309,0.01825,0.03538, 1.000,0.04134,0.03352,0.02086,0.05251,0.2391,0.04730,0.04693,0.02346,0.01750,0.03017,0.02980,0.02458
0.07076,0.02011,0.1322,0.04432,0.01937,0.02123,0.04134, 1.000,0.04693,0.02123,0.09534,0.05847,0.03352,0.02086,0.04283,0.1110,0.04134,0.01713,0.03128
0.02682,0.02793,0.02682,0.02495,0.03613,0.02421,0.03352,0.04693, 1.000,0.04693,0.02942,0.05512,0.02086,0.03575,0.01974,0.03389,0.09088,0.02533,0.04693
0.02495,0.02272,0.02384,0.02719,0.03426,0.03017,0.02086,0.02123,0.04693, 1.000,0.03315,0.02421,0.04246,0.02197,0.02309,0.01899,0.03836,0.03240,0.03911
0.03203,0.02272,0.04469,0.02197,0.01750,0.03389,0.05251,0.09534,0.02942,0.03315, 1.000,0.05102,0.04246,0.03054,0.01750,0.03128,0.02235,0.01862,0.02048
0.04804,0.02048,0.04842,0.04618,0.02980,0.02458,0.2391,0.05847,0.05512,0.02421,0.05102, 1.000,0.02756,0.03315,0.01937,0.02607,0.05512,0.02421,0.02533
0.02719,0.07784,0.02086,0.02831,0.03911,0.1728,0.04730,0.03352,0.02086,0.04246,0.04246,0.02756, 1.000,0.08901,0.02235,0.02011,0.01937,0.1806,0.01788
0.03501,0.1009,0.02197,0.03464,0.04581,0.1382,0.04693,0.02086,0.03575,0.02197,0.03054,0.03315,0.08901, 1.000,0.05102,0.02384,0.01937,0.05438,0.02607
0.07002,0.04655,0.08194,0.04953,0.03017,0.03389,0.02346,0.04283,0.01974,0.02309,0.01750,0.01937,0.02235,0.05102, 1.000,0.06965,0.01862,0.03575,0.03128
0.1244,0.04097,0.1236,0.07076,0.03873,0.02607,0.01750,0.1110,0.03389,0.01899,0.03128,0.02607,0.02011,0.02384,0.06965, 1.000,0.04246,0.02123,0.04283
0.04991,0.02272,0.05177,0.07523,0.06145,0.02793,0.03017,0.04134,0.09088,0.03836,0.02235,0.05512,0.01937,0.01937,0.01862,0.04246, 1.000,0.02644,0.08566
0.04618,0.1322,0.02793,0.04097,0.07076,0.1259,0.02980,0.01713,0.02533,0.03240,0.01862,0.02421,0.1806,0.05438,0.03575,0.02123,0.02644, 1.000,0.03799
0.05885,0.04022,0.03501,0.06927,0.06965,0.04879,0.02458,0.03128,0.04693,0.03911,0.02048,0.02533,0.01788,0.02607,0.03128,0.04283,0.08566,0.03799, 1.000
