Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.7565,0.4145,0.5739,0.3681,0.3884,0.3710,0.07826,0.06377,0.04638,0.01739,0.02609,0.04928,0.08986,0.2609,0.2435,0.07826,0.2058,0.1855
0.7565, 1.000,0.3739,0.5304,0.3884,0.4667,0.4145,0.08696,0.06087,0.04928,0.02609,0.02319,0.05217,0.1188,0.2725,0.1971,0.07536,0.2174,0.1971
0.4145,0.3739, 1.000,0.3333,0.1681,0.1855,0.2841,0.2000,0.05217,0.05797,0.04928,0.02319,0.05507,0.06667,0.2261,0.2493,0.06957,0.1130,0.1420
0.5739,0.5304,0.3333, 1.000,0.5188,0.3681,0.2058,0.07536,0.07826,0.06087,0.02029,0.04348,0.04928,0.08696,0.1362,0.2261,0.1159,0.1565,0.2870
0.3681,0.3884,0.1681,0.5188, 1.000,0.5536,0.1536,0.08116,0.06377,0.06957,0.03768,0.05797,0.05797,0.09565,0.1217,0.1507,0.07826,0.1710,0.1971
0.3884,0.4667,0.1855,0.3681,0.5536, 1.000,0.2435,0.07826,0.02899,0.06377,0.03188,0.04638,0.07536,0.1623,0.1420,0.1217,0.08116,0.2667,0.1739
0.3710,0.4145,0.2841,0.2058,0.1536,0.2435, 1.000,0.07536,0.04348,0.04348,0.02899,0.07246,0.09275,0.1565,0.4290,0.1072,0.07246,0.1942,0.09855
0.07826,0.08696,0.2000,0.07536,0.08116,0.07826,0.07536, 1.000,0.07246,0.06377,0.08116,0.01449,0.06667,0.03188,0.1043,0.2696,0.08116,0.05797,0.1246
0.06377,0.06087,0.05217,0.07826,0.06377,0.02899,0.04348,0.07246, 1.000,0.05797,0.04348,0.03188,0.02029,0.01159,0.03768,0.07536,0.1826,0.008696,0.09275
0.04638,0.04928,0.05797,0.06087,0.06957,0.06377,0.04348,0.06377,0.05797, 1.000,0.1014,0.05507,0.06087,0.03478,0.04638,0.03478,0.04348,0.07246,0.04058
0.01739,0.02609,0.04928,0.02029,0.03768,0.03188,0.02899,0.08116,0.04348,0.1014, 1.000,0.02899,0.1275,0.04058,0.04058,0.05217,0.02899,0.03478,0.02319
0.02609,0.02319,0.02319,0.04348,0.05797,0.04638,0.07246,0.01449,0.03188,0.05507,0.02899, 1.000,0.1014,0.1681,0.06377,0.01449,0.04638,0.08116,0.03478
0.04928,0.05217,0.05507,0.04928,0.05797,0.07536,0.09275,0.06667,0.02029,0.06087,0.1275,0.1014, 1.000,0.1884,0.07536,0.06957,0.02029,0.1855,0.04348
0.08986,0.1188,0.06667,0.08696,0.09565,0.1623,0.1565,0.03188,0.01159,0.03478,0.04058,0.1681,0.1884, 1.000,0.1623,0.04348,0.02609,0.2696,0.05797
0.2609,0.2725,0.2261,0.1362,0.1217,0.1420,0.4290,0.1043,0.03768,0.04638,0.04058,0.06377,0.07536,0.1623, 1.000,0.1217,0.04348,0.1652,0.07246
0.2435,0.1971,0.2493,0.2261,0.1507,0.1217,0.1072,0.2696,0.07536,0.03478,0.05217,0.01449,0.06957,0.04348,0.1217, 1.000,0.1594,0.07826,0.3043
0.07826,0.07536,0.06957,0.1159,0.07826,0.08116,0.07246,0.08116,0.1826,0.04348,0.02899,0.04638,0.02029,0.02609,0.04348,0.1594, 1.000,0.04348,0.2899
0.2058,0.2174,0.1130,0.1565,0.1710,0.2667,0.1942,0.05797,0.008696,0.07246,0.03478,0.08116,0.1855,0.2696,0.1652,0.07826,0.04348, 1.000,0.09275
0.1855,0.1971,0.1420,0.2870,0.1971,0.1739,0.09855,0.1246,0.09275,0.04058,0.02319,0.03478,0.04348,0.05797,0.07246,0.3043,0.2899,0.09275, 1.000
