Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1167,0.07134,0.05837,0.06355,0.03087,0.02231,0.02179,0.02750,0.02023,0.02231,0.02412,0.03087,0.03606,0.03813,0.04565,0.02776,0.04254,0.03294
0.1167, 1.000,0.02646,0.02231,0.03813,0.07004,0.05370,0.02283,0.03009,0.02983,0.02542,0.02075,0.03035,0.04099,0.03554,0.03061,0.02853,0.03061,0.04280
0.07134,0.02646, 1.000,0.1593,0.02594,0.02283,0.02257,0.07419,0.02516,0.02101,0.02957,0.02905,0.02594,0.02490,0.03087,0.03943,0.03009,0.02802,0.04228
0.05837,0.02231,0.1593, 1.000,0.07056,0.02542,0.02283,0.05888,0.04047,0.02049,0.02309,0.02827,0.03735,0.02438,0.03035,0.04021,0.03606,0.05006,0.05525
0.06355,0.03813,0.02594,0.07056, 1.000,0.07756,0.02361,0.02049,0.01997,0.03268,0.02205,0.02075,0.04877,0.03191,0.02905,0.03528,0.03320,0.05863,0.05422
0.03087,0.07004,0.02283,0.02542,0.07756, 1.000,0.04721,0.02750,0.02490,0.02568,0.03243,0.02283,0.03865,0.03502,0.03320,0.02983,0.02827,0.04150,0.05240
0.02231,0.05370,0.02257,0.02283,0.02361,0.04721, 1.000,0.01946,0.02983,0.02438,0.02335,0.08249,0.02179,0.03113,0.02698,0.03061,0.02387,0.02594,0.03268
0.02179,0.02283,0.07419,0.05888,0.02049,0.02750,0.01946, 1.000,0.04981,0.03165,0.03268,0.02646,0.02620,0.01946,0.03113,0.03320,0.02283,0.02464,0.02879
0.02750,0.03009,0.02516,0.04047,0.01997,0.02490,0.02983,0.04981, 1.000,0.03684,0.02283,0.03476,0.01738,0.02983,0.02335,0.03035,0.03191,0.02023,0.03709
0.02023,0.02983,0.02101,0.02049,0.03268,0.02568,0.02438,0.03165,0.03684, 1.000,0.03891,0.02438,0.02516,0.01971,0.02776,0.02438,0.02750,0.02283,0.03191
0.02231,0.02542,0.02957,0.02309,0.02205,0.03243,0.02335,0.03268,0.02283,0.03891, 1.000,0.02776,0.03294,0.02283,0.02412,0.03476,0.01920,0.03320,0.02335
0.02412,0.02075,0.02905,0.02827,0.02075,0.02283,0.08249,0.02646,0.03476,0.02438,0.02776, 1.000,0.02309,0.03061,0.02646,0.02361,0.02283,0.02464,0.01946
0.03087,0.03035,0.02594,0.03735,0.04877,0.03865,0.02179,0.02620,0.01738,0.02516,0.03294,0.02309, 1.000,0.06278,0.02387,0.01816,0.02335,0.3943,0.03217
0.03606,0.04099,0.02490,0.02438,0.03191,0.03502,0.03113,0.01946,0.02983,0.01971,0.02283,0.03061,0.06278, 1.000,0.04695,0.02490,0.02542,0.04877,0.01816
0.03813,0.03554,0.03087,0.03035,0.02905,0.03320,0.02698,0.03113,0.02335,0.02776,0.02412,0.02646,0.02387,0.04695, 1.000,0.03813,0.02257,0.02879,0.02620
0.04565,0.03061,0.03943,0.04021,0.03528,0.02983,0.03061,0.03320,0.03035,0.02438,0.03476,0.02361,0.01816,0.02490,0.03813, 1.000,0.04125,0.01894,0.06355
0.02776,0.02853,0.03009,0.03606,0.03320,0.02827,0.02387,0.02283,0.03191,0.02750,0.01920,0.02283,0.02335,0.02542,0.02257,0.04125, 1.000,0.02568,0.1232
0.04254,0.03061,0.02802,0.05006,0.05863,0.04150,0.02594,0.02464,0.02023,0.02283,0.03320,0.02464,0.3943,0.04877,0.02879,0.01894,0.02568, 1.000,0.04721
0.03294,0.04280,0.04228,0.05525,0.05422,0.05240,0.03268,0.02879,0.03709,0.03191,0.02335,0.01946,0.03217,0.01816,0.02620,0.06355,0.1232,0.04721, 1.000
