Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3967,0.3100,0.3900,0.2800,0.1400,0.07000,0.05333,0.07000,0.03667,0.02667,0.02333,0.1000,0.1367,0.1867,0.2133,0.1533,0.1267,0.1900
0.3967, 1.000,0.1333,0.3000,0.3900,0.3933,0.1867,0.07000,0.06000,0.03667,0.01333,0.02667,0.1533,0.2000,0.1400,0.1633,0.1500,0.1467,0.1900
0.3100,0.1333, 1.000,0.2933,0.05667,0.03333,0.04000,0.04333,0.03000,0.05000,0.02333,0.01667,0.04333,0.02667,0.1600,0.2667,0.1167,0.05000,0.09000
0.3900,0.3000,0.2933, 1.000,0.3333,0.1267,0.05333,0.04667,0.06667,0.03333,0.01333,0.01333,0.08000,0.09000,0.1233,0.2333,0.1933,0.1200,0.2633
0.2800,0.3900,0.05667,0.3333, 1.000,0.3000,0.09333,0.05333,0.06333,0.06000,0.01000,0.02667,0.1433,0.1633,0.06000,0.1400,0.1700,0.1967,0.2467
0.1400,0.3933,0.03333,0.1267,0.3000, 1.000,0.3233,0.05333,0.05333,0.04333,0.02000,0.05333,0.2233,0.2167,0.06000,0.1467,0.1267,0.1767,0.2000
0.07000,0.1867,0.04000,0.05333,0.09333,0.3233, 1.000,0.03667,0.04667,0.04333,0.04000,0.08000,0.1733,0.1833,0.1000,0.08333,0.03000,0.1267,0.1000
0.05333,0.07000,0.04333,0.04667,0.05333,0.05333,0.03667, 1.000,0.2233,0.08000,0.05667,0.03667,0.08333,0.06333,0.05000,0.06333,0.02667,0.02000,0.04333
0.07000,0.06000,0.03000,0.06667,0.06333,0.05333,0.04667,0.2233, 1.000,0.04667,0.01333,0.06000,0.05000,0.08000,0.04000,0.05333,0.04333,0.01667,0.06667
0.03667,0.03667,0.05000,0.03333,0.06000,0.04333,0.04333,0.08000,0.04667, 1.000,0.05000,0.03333,0.07000,0.06000,0.08667,0.03667,0.06333,0.04333,0.07333
0.02667,0.01333,0.02333,0.01333,0.01000,0.02000,0.04000,0.05667,0.01333,0.05000, 1.000,0.09000,0.04667,0.02667,0.04000,0.04000,0.01333,0.02667,0.02667
0.02333,0.02667,0.01667,0.01333,0.02667,0.05333,0.08000,0.03667,0.06000,0.03333,0.09000, 1.000,0.04000,0.05667,0.02000,0.01000,0.02000,0.01333,0.04000
0.1000,0.1533,0.04333,0.08000,0.1433,0.2233,0.1733,0.08333,0.05000,0.07000,0.04667,0.04000, 1.000,0.2900,0.03000,0.06667,0.05333,0.3167,0.1300
0.1367,0.2000,0.02667,0.09000,0.1633,0.2167,0.1833,0.06333,0.08000,0.06000,0.02667,0.05667,0.2900, 1.000,0.1100,0.06667,0.04000,0.1200,0.06333
0.1867,0.1400,0.1600,0.1233,0.06000,0.06000,0.1000,0.05000,0.04000,0.08667,0.04000,0.02000,0.03000,0.1100, 1.000,0.1233,0.05333,0.06333,0.09333
0.2133,0.1633,0.2667,0.2333,0.1400,0.1467,0.08333,0.06333,0.05333,0.03667,0.04000,0.01000,0.06667,0.06667,0.1233, 1.000,0.3400,0.08000,0.2767
0.1533,0.1500,0.1167,0.1933,0.1700,0.1267,0.03000,0.02667,0.04333,0.06333,0.01333,0.02000,0.05333,0.04000,0.05333,0.3400, 1.000,0.08000,0.3567
0.1267,0.1467,0.05000,0.1200,0.1967,0.1767,0.1267,0.02000,0.01667,0.04333,0.02667,0.01333,0.3167,0.1200,0.06333,0.08000,0.08000, 1.000,0.2367
0.1900,0.1900,0.09000,0.2633,0.2467,0.2000,0.1000,0.04333,0.06667,0.07333,0.02667,0.04000,0.1300,0.06333,0.09333,0.2767,0.3567,0.2367, 1.000
