Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1664,0.1697,0.3109,0.04202,0.06723,0.1277,0.006723,0.03866,0.04202,0.01681,0.01176,0.03193,0.1059,0.2067,0.1546,0.05042,0.05042,0.04202
0.1664, 1.000,0.07227,0.07563,0.04202,0.07899,0.1227,0.01345,0.08067,0.03866,0.03193,0.02185,0.04370,0.07899,0.1294,0.06387,0.06387,0.02185,0.04706
0.1697,0.07227, 1.000,0.08403,0.003361,0.02521,0.1193,0.09244,0.02857,0.06723,0.03193,0.04202,0.02017,0.06891,0.2050,0.1647,0.01345,0.04370,0.05378
0.3109,0.07563,0.08403, 1.000,0.06218,0.05714,0.07563,0.03866,0.03866,0.06723,0.01345,0.006723,0.01345,0.06555,0.1076,0.09916,0.06218,0.1143,0.1311
0.04202,0.04202,0.003361,0.06218, 1.000,0.1160,0.03193,0.03866,0.03361,0.04874,0.02857,0.04538,0.09748,0.01681,0.02353,0.01008,0.05882,0.1025,0.06555
0.06723,0.07899,0.02521,0.05714,0.1160, 1.000,0.05882,0.05546,0.03866,0.02521,0.03529,0.01513,0.08403,0.04202,0.02185,0.03529,0.04706,0.1563,0.1059
0.1277,0.1227,0.1193,0.07563,0.03193,0.05882, 1.000,0.02521,0.06723,0.04874,0.01849,0.05714,0.03697,0.07395,0.1227,0.05378,0.07395,0.09244,0.06555
0.006723,0.01345,0.09244,0.03866,0.03866,0.05546,0.02521, 1.000,0.02521,0.04538,0.09076,0.05210,0.04706,0.01008,0.04706,0.03529,0.01176,0.06555,0.03866
0.03866,0.08067,0.02857,0.03866,0.03361,0.03866,0.06723,0.02521, 1.000,0.05378,0.01681,0.07563,0.05882,0.06387,0.05378,0.03697,0.06218,0.04370,0.05546
0.04202,0.03866,0.06723,0.06723,0.04874,0.02521,0.04874,0.04538,0.05378, 1.000,0.06723,0.02689,0.08739,0.03025,0.06218,0.06218,0.03697,0.06891,0.07731
0.01681,0.03193,0.03193,0.01345,0.02857,0.03529,0.01849,0.09076,0.01681,0.06723, 1.000,0.01345,0.1092,0.02353,0.02857,0.006723,0.03361,0.08067,0.01681
0.01176,0.02185,0.04202,0.006723,0.04538,0.01513,0.05714,0.05210,0.07563,0.02689,0.01345, 1.000,0.02521,0.02857,0.03361,0.03193,0.04706,0.03025,0.005042
0.03193,0.04370,0.02017,0.01345,0.09748,0.08403,0.03697,0.04706,0.05882,0.08739,0.1092,0.02521, 1.000,0.05042,0.03361,0.03025,0.04874,0.09076,0.03529
0.1059,0.07899,0.06891,0.06555,0.01681,0.04202,0.07395,0.01008,0.06387,0.03025,0.02353,0.02857,0.05042, 1.000,0.07395,0.08067,0.02857,0.05546,0.04874
0.2067,0.1294,0.2050,0.1076,0.02353,0.02185,0.1227,0.04706,0.05378,0.06218,0.02857,0.03361,0.03361,0.07395, 1.000,0.1546,0.03866,0.05042,0.04538
0.1546,0.06387,0.1647,0.09916,0.01008,0.03529,0.05378,0.03529,0.03697,0.06218,0.006723,0.03193,0.03025,0.08067,0.1546, 1.000,0.04706,0.01176,0.05042
0.05042,0.06387,0.01345,0.06218,0.05882,0.04706,0.07395,0.01176,0.06218,0.03697,0.03361,0.04706,0.04874,0.02857,0.03866,0.04706, 1.000,0.03529,0.08235
0.05042,0.02185,0.04370,0.1143,0.1025,0.1563,0.09244,0.06555,0.04370,0.06891,0.08067,0.03025,0.09076,0.05546,0.05042,0.01176,0.03529, 1.000,0.2840
0.04202,0.04706,0.05378,0.1311,0.06555,0.1059,0.06555,0.03866,0.05546,0.07731,0.01681,0.005042,0.03529,0.04874,0.04538,0.05042,0.08235,0.2840, 1.000
