Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1268,0.3045,0.09124,0.03814,0.03051,0.05311,0.02740,0.02034,0.02655,0.03249,0.01977,0.04040,0.06215,0.08559,0.08531,0.03757,0.05452,0.04322
0.1268, 1.000,0.05141,0.02853,0.03418,0.1034,0.1763,0.01949,0.02768,0.02542,0.02571,0.02345,0.06130,0.07345,0.05904,0.05424,0.03531,0.05226,0.04576
0.3045,0.05141, 1.000,0.06497,0.02514,0.02232,0.03475,0.05198,0.02006,0.03136,0.05056,0.01808,0.02712,0.04011,0.07881,0.08220,0.03503,0.03559,0.02938
0.09124,0.02853,0.06497, 1.000,0.08249,0.02062,0.01808,0.02655,0.02232,0.02062,0.02797,0.04576,0.03164,0.02938,0.02797,0.04294,0.04915,0.04944,0.04887
0.03814,0.03418,0.02514,0.08249, 1.000,0.09915,0.02542,0.02825,0.02006,0.02627,0.02542,0.03475,0.03898,0.03249,0.02119,0.02910,0.05254,0.05847,0.05650
0.03051,0.1034,0.02232,0.02062,0.09915, 1.000,0.04237,0.04266,0.02938,0.02090,0.02684,0.02429,0.05904,0.04915,0.02345,0.02768,0.04463,0.05282,0.05367
0.05311,0.1763,0.03475,0.01808,0.02542,0.04237, 1.000,0.02316,0.03164,0.02768,0.01949,0.04040,0.04859,0.05113,0.04802,0.03644,0.02740,0.03503,0.03446
0.02740,0.01949,0.05198,0.02655,0.02825,0.04266,0.02316, 1.000,0.07938,0.02684,0.04915,0.02599,0.02429,0.02627,0.02825,0.03333,0.02316,0.02542,0.02147
0.02034,0.02768,0.02006,0.02232,0.02006,0.02938,0.03164,0.07938, 1.000,0.02373,0.01921,0.03672,0.02316,0.02966,0.01949,0.02316,0.03249,0.02062,0.02825
0.02655,0.02542,0.03136,0.02062,0.02627,0.02090,0.02768,0.02684,0.02373, 1.000,0.04463,0.02627,0.02288,0.02458,0.02853,0.02401,0.02571,0.03418,0.03051
0.03249,0.02571,0.05056,0.02797,0.02542,0.02684,0.01949,0.04915,0.01921,0.04463, 1.000,0.02994,0.03390,0.01864,0.02797,0.04096,0.02345,0.02345,0.02401
0.01977,0.02345,0.01808,0.04576,0.03475,0.02429,0.04040,0.02599,0.03672,0.02627,0.02994, 1.000,0.01893,0.02655,0.02260,0.02373,0.05734,0.02006,0.03107
0.04040,0.06130,0.02712,0.03164,0.03898,0.05904,0.04859,0.02429,0.02316,0.02288,0.03390,0.01893, 1.000,0.09689,0.02599,0.02232,0.04266,0.1596,0.06243
0.06215,0.07345,0.04011,0.02938,0.03249,0.04915,0.05113,0.02627,0.02966,0.02458,0.01864,0.02655,0.09689, 1.000,0.05621,0.02627,0.02260,0.08023,0.02881
0.08559,0.05904,0.07881,0.02797,0.02119,0.02345,0.04802,0.02825,0.01949,0.02853,0.02797,0.02260,0.02599,0.05621, 1.000,0.07006,0.01893,0.03644,0.02373
0.08531,0.05424,0.08220,0.04294,0.02910,0.02768,0.03644,0.03333,0.02316,0.02401,0.04096,0.02373,0.02232,0.02627,0.07006, 1.000,0.04350,0.02994,0.04633
0.03757,0.03531,0.03503,0.04915,0.05254,0.04463,0.02740,0.02316,0.03249,0.02571,0.02345,0.05734,0.04266,0.02260,0.01893,0.04350, 1.000,0.05056,0.2093
0.05452,0.05226,0.03559,0.04944,0.05847,0.05282,0.03503,0.02542,0.02062,0.03418,0.02345,0.02006,0.1596,0.08023,0.03644,0.02994,0.05056, 1.000,0.1223
0.04322,0.04576,0.02938,0.04887,0.05650,0.05367,0.03446,0.02147,0.02825,0.03051,0.02401,0.03107,0.06243,0.02881,0.02373,0.04633,0.2093,0.1223, 1.000
