Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2721,0.2208,0.2586,0.1133,0.07763,0.09740,0.02479,0.03630,0.02125,0.02450,0.02745,0.06523,0.06848,0.1145,0.1251,0.04841,0.09681,0.09711
0.2721, 1.000,0.07645,0.1744,0.1868,0.1328,0.1275,0.02450,0.03837,0.03424,0.03158,0.02981,0.08117,0.06464,0.06198,0.07704,0.07969,0.09593,0.1045
0.2208,0.07645, 1.000,0.07910,0.04103,0.03453,0.06877,0.03483,0.02804,0.02450,0.02184,0.03483,0.03365,0.06051,0.1936,0.1071,0.03424,0.05962,0.04427
0.2586,0.1744,0.07910, 1.000,0.2772,0.08353,0.05962,0.01978,0.05549,0.04398,0.02952,0.02420,0.06553,0.04575,0.05224,0.08501,0.08353,0.1015,0.1145
0.1133,0.1868,0.04103,0.2772, 1.000,0.1668,0.07172,0.03011,0.03601,0.06730,0.04132,0.02538,0.08707,0.04811,0.03985,0.05401,0.08914,0.1066,0.1343
0.07763,0.1328,0.03453,0.08353,0.1668, 1.000,0.1603,0.03630,0.02656,0.03896,0.06346,0.02509,0.09386,0.06700,0.04959,0.04014,0.06434,0.1030,0.1160
0.09740,0.1275,0.06877,0.05962,0.07172,0.1603, 1.000,0.02863,0.03188,0.02863,0.06228,0.04664,0.1018,0.1361,0.1116,0.05519,0.03749,0.1175,0.1039
0.02479,0.02450,0.03483,0.01978,0.03011,0.03630,0.02863, 1.000,0.02893,0.05283,0.08383,0.02096,0.07527,0.03867,0.02715,0.03365,0.02037,0.03749,0.02627
0.03630,0.03837,0.02804,0.05549,0.03601,0.02656,0.03188,0.02893, 1.000,0.05667,0.02273,0.06257,0.02834,0.03808,0.02686,0.03867,0.06995,0.02627,0.04811
0.02125,0.03424,0.02450,0.04398,0.06730,0.03896,0.02863,0.05283,0.05667, 1.000,0.05697,0.03808,0.04309,0.02893,0.02922,0.02361,0.04427,0.03276,0.03985
0.02450,0.03158,0.02184,0.02952,0.04132,0.06346,0.06228,0.08383,0.02273,0.05697, 1.000,0.04191,0.08323,0.05136,0.02597,0.02479,0.02715,0.08176,0.05224
0.02745,0.02981,0.03483,0.02420,0.02538,0.02509,0.04664,0.02096,0.06257,0.03808,0.04191, 1.000,0.03158,0.07851,0.04929,0.03453,0.05195,0.03571,0.02627
0.06523,0.08117,0.03365,0.06553,0.08707,0.09386,0.1018,0.07527,0.02834,0.04309,0.08323,0.03158, 1.000,0.1296,0.04014,0.02686,0.03158,0.1933,0.04604
0.06848,0.06464,0.06051,0.04575,0.04811,0.06700,0.1361,0.03867,0.03808,0.02893,0.05136,0.07851,0.1296, 1.000,0.1063,0.03335,0.02509,0.1272,0.04368
0.1145,0.06198,0.1936,0.05224,0.03985,0.04959,0.1116,0.02715,0.02686,0.02922,0.02597,0.04929,0.04014,0.1063, 1.000,0.09681,0.02893,0.06169,0.05460
0.1251,0.07704,0.1071,0.08501,0.05401,0.04014,0.05519,0.03365,0.03867,0.02361,0.02479,0.03453,0.02686,0.03335,0.09681, 1.000,0.07084,0.03247,0.07409
0.04841,0.07969,0.03424,0.08353,0.08914,0.06434,0.03749,0.02037,0.06995,0.04427,0.02715,0.05195,0.03158,0.02509,0.02893,0.07084, 1.000,0.03453,0.1399
0.09681,0.09593,0.05962,0.1015,0.1066,0.1030,0.1175,0.03749,0.02627,0.03276,0.08176,0.03571,0.1933,0.1272,0.06169,0.03247,0.03453, 1.000,0.09711
0.09711,0.1045,0.04427,0.1145,0.1343,0.1160,0.1039,0.02627,0.04811,0.03985,0.05224,0.02627,0.04604,0.04368,0.05460,0.07409,0.1399,0.09711, 1.000
