Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2183,0.1685,0.2493,0.1232,0.08993,0.09106,0.06232,0.04126,0.04980,0.04183,0.03102,0.06005,0.1002,0.1278,0.1921,0.05692,0.07940,0.1016
0.2183, 1.000,0.06118,0.1073,0.1873,0.2706,0.2439,0.03159,0.03529,0.04155,0.04553,0.02703,0.08367,0.1238,0.08708,0.09789,0.04354,0.1076,0.09021
0.1685,0.06118, 1.000,0.1084,0.05037,0.03728,0.05179,0.2262,0.03159,0.03216,0.04496,0.02675,0.03472,0.04610,0.09676,0.09932,0.04496,0.03984,0.04923
0.2493,0.1073,0.1084, 1.000,0.2117,0.09562,0.04781,0.04439,0.07257,0.05862,0.04553,0.03301,0.05834,0.05692,0.07086,0.1338,0.1056,0.1010,0.1867
0.1232,0.1873,0.05037,0.2117, 1.000,0.3028,0.06801,0.03130,0.04269,0.08253,0.05692,0.02931,0.1010,0.05976,0.05692,0.08253,0.08765,0.1628,0.1955
0.08993,0.2706,0.03728,0.09562,0.3028, 1.000,0.1477,0.03244,0.03301,0.05350,0.07371,0.03187,0.1403,0.09249,0.05748,0.06232,0.05151,0.1858,0.09505
0.09106,0.2439,0.05179,0.04781,0.06801,0.1477, 1.000,0.04013,0.03614,0.03330,0.04553,0.06744,0.06261,0.1443,0.08736,0.05748,0.03671,0.07655,0.04582
0.06232,0.03159,0.2262,0.04439,0.03130,0.03244,0.04013, 1.000,0.02760,0.05948,0.07541,0.02846,0.04639,0.02960,0.08395,0.07570,0.03956,0.03728,0.02960
0.04126,0.03529,0.03159,0.07257,0.04269,0.03301,0.03614,0.02760, 1.000,0.08196,0.02732,0.04354,0.02903,0.04297,0.03842,0.04354,0.09676,0.03699,0.06403
0.04980,0.04155,0.03216,0.05862,0.08253,0.05350,0.03330,0.05948,0.08196, 1.000,0.07114,0.03756,0.06033,0.05578,0.07257,0.03699,0.05293,0.05976,0.07114
0.04183,0.04553,0.04496,0.04553,0.05692,0.07371,0.04553,0.07541,0.02732,0.07114, 1.000,0.03187,0.08423,0.03557,0.04582,0.05322,0.03557,0.06517,0.04781
0.03102,0.02703,0.02675,0.03301,0.02931,0.03187,0.06744,0.02846,0.04354,0.03756,0.03187, 1.000,0.03728,0.05805,0.03671,0.02504,0.04866,0.03017,0.02618
0.06005,0.08367,0.03472,0.05834,0.1010,0.1403,0.06261,0.04639,0.02903,0.06033,0.08423,0.03728, 1.000,0.09761,0.04667,0.04496,0.04382,0.3432,0.05464
0.1002,0.1238,0.04610,0.05692,0.05976,0.09249,0.1443,0.02960,0.04297,0.05578,0.03557,0.05805,0.09761, 1.000,0.1229,0.05208,0.02903,0.1067,0.03671
0.1278,0.08708,0.09676,0.07086,0.05692,0.05748,0.08736,0.08395,0.03842,0.07257,0.04582,0.03671,0.04667,0.1229, 1.000,0.1044,0.03756,0.06005,0.05322
0.1921,0.09789,0.09932,0.1338,0.08253,0.06232,0.05748,0.07570,0.04354,0.03699,0.05322,0.02504,0.04496,0.05208,0.1044, 1.000,0.08793,0.05009,0.1155
0.05692,0.04354,0.04496,0.1056,0.08765,0.05151,0.03671,0.03956,0.09676,0.05293,0.03557,0.04866,0.04382,0.02903,0.03756,0.08793, 1.000,0.04724,0.1485
0.07940,0.1076,0.03984,0.1010,0.1628,0.1858,0.07655,0.03728,0.03699,0.05976,0.06517,0.03017,0.3432,0.1067,0.06005,0.05009,0.04724, 1.000,0.09818
0.1016,0.09021,0.04923,0.1867,0.1955,0.09505,0.04582,0.02960,0.06403,0.07114,0.04781,0.02618,0.05464,0.03671,0.05322,0.1155,0.1485,0.09818, 1.000
